Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-16,1699.471435546875,1734.8448501205812,1672.9896576928836,1702.4675228342082,103044,8520,72.28420738151283
2021-08-17,1686.955322265625,1709.7161468790996,1666.562462481548,1699.4714044168036,124149,13516,72.62693482549622
2021-08-18,1702.274169921875,1706.6233628772407,1647.86088642187,1680.721455417966,79837,10217,67.83692467092713
2021-08-20,1657.1875,1746.5392051737692,1626.6465244098263,1704.8836254494297,161033,6944,48.468709214696375
2021-08-23,1618.818115234375,1673.8596465731923,1569.9138736171117,1657.5259849910976,82244,17848,58.84244224430772
2021-08-24,1640.032470703125,1667.1907426837124,1606.3504088598622,1623.6021851230537,76587,17245,76.30999984570853
2021-08-25,1673.08642578125,1688.2603497577577,1632.1557052658063,1644.8650390166852,82301,11507,49.78111947573894
2021-08-26,1678.160400390625,1716.1916565965487,1664.6779481355009,1685.0708090076762,91908,14562,49.44246251248187
2021-08-27,1788.050048828125,1802.498988163459,1676.8556270582312,1691.3529379549882,540087,5561,70.0994940278682
2021-08-30,1857.2987060546875,1860.48816152335,1770.604837356248,1812.1637936915747,656830,11807,54.960400947782865
2021-08-31,1832.218505859375,1860.4882625764458,1822.7952536203516,1860.4882625764458,149686,7747,66.03519891396579
2021-09-01,1820.0889892578125,1847.199007494827,1795.250310750368,1845.9908982682116,130632,9839,74.04505299949251
2021-09-02,1830.865478515625,1853.6745587547396,1809.6027546016423,1842.6083246367323,199503,8559,77.56226444637934
2021-09-03,1786.7452392578125,1836.3260909039886,1781.236308176869,1836.3260909039886,202306,9334,52.85687611947667
2021-09-06,1789.789794921875,1809.98940660914,1778.336942016189,1792.8342540434946,87428,14035,54.70038722100118
2021-09-07,1807.6214599609375,1835.35960158726,1773.5527785728643,1805.9783605673354,238450,4663,49.81157716807935
2021-09-08,1813.855224609375,1834.39308182155,1796.3618262974767,1797.66656068919,238158,10531,66.68198323813327
2021-09-09,1806.7999267578125,1849.3253748060522,1790.0313929983122,1822.0704757487235,227286,8251,62.619648592205465
2021-09-13,1798.633056640625,1813.565239822365,1777.4187053405808,1802.499006251889,80818,4372,61.428716893011625
2021-09-14,1843.3814697265625,1852.7563503377557,1807.9596828339238,1824.7282156691094,163938,3620,76.0845139876178
2021-09-15,1842.0284423828125,1860.4883289599852,1826.8545187303935,1854.6894042982917,159852,10765,74.43079820082203
2021-09-16,1844.1064453125,1878.7549971588874,1818.8327746366865,1836.3261740674436,248127,5470,71.4463424505683
2021-09-17,1781.4295654296875,1850.8234093804733,1773.5527873398821,1837.292585499885,115350,5677,56.84510395684636
2021-09-20,1812.308837890625,1821.490468019308,1778.3367828186142,1781.429495249141,105956,15765,50.13625396461191
2021-09-21,1812.163818359375,1841.158439453125,1792.012580295102,1808.2978688802084,118562,13776,77.46694737748459
2021-09-22,1806.5098876953125,1840.191948878,1802.5955666627083,1807.3313783623214,138187,11728,58.37767704218126
2021-09-23,1834.48974609375,1842.0283951524273,1794.7671367755393,1826.6612215970754,119769,17785,61.091410525542656
2021-09-24,1815.7396240234375,1853.9642435240096,1808.394344217373,1839.2253123556316,56336,15543,75.12698812949873
2021-09-27,1792.8341064453125,1844.1063096192488,1783.265857699128,1824.7281902796497,134399,4843,62.17272096591759
2021-09-28,1740.3056640625,1807.2349204989607,1730.0125490435346,1807.2349204989607,87735,6985,73.54793865376138
2021-09-29,1759.53857421875,1777.1769681756546,1736.8743753056558,1740.547074389817,152524,12178,60.13625092708506
2021-09-30,1807.9111328125,1816.029649786886,1760.2633793667792,1773.2142148965816,70990,15746,49.80753846134026
2021-10-01,1796.6033935546875,1811.0523325272575,1758.3305173440351,1807.3313797530607,67958,8367,55.73634485976462
2021-10-04,1810.4239501953125,1829.94706430306,1783.169055722375,1797.7629902519182,169391,13320,58.64861002599861
2021-10-05,1815.01513671875,1841.7385394435405,1795.7337584630848,1795.7337584630848,159998,8609,53.82709938818899
2021-10-06,1810.5689697265625,1832.4115592297214,1797.763012931771,1816.0296465972042,60478,13176,70.23868452731499
2021-10-07,1808.781494140625,1834.3934148431238,1800.5663497643518,1816.9966385168982,64748,14452,76.84227183046542
2021-10-08,1778.0950927734375,1824.244863492248,1765.7723791260064,1814.9666085771235,62953,12906,64.85730269078378
2021-10-11,1769.251953125,1807.3799549088546,1759.5388247615347,1784.5225024648048,66749,16416,72.08191618755967
2021-10-12,1766.400634765625,1797.666477047422,1758.0404955641186,1778.5299802612808,83711,13378,60.54495389435531
2021-10-13,1746.2977294921875,1814.0968439805793,1739.677314419309,1773.456001749183,132820,14959,47.94871998263208
2021-10-14,1758.0406494140625,1784.619053954407,1750.8886187782305,1763.259705174233,92662,13309,48.74871391325593
2021-10-18,1768.1888427734375,1796.6518518372975,1765.7726240760155,1776.21073604065,92011,5352,54.44594907944501
2021-10-19,1784.3773193359375,1801.532470273358,1759.9735130728461,1781.1396102196877,93823,4169,64.65785770697816
2021-10-20,1768.913330078125,1795.6367267523613,1754.4160209940262,1794.7668646114346,93490,15845,69.58528923097823
2021-10-21,1812.163818359375,1815.7397744358382,1763.8878214300476,1778.046767013963,114209,3731,75.58240456451809
2021-10-22,1845.3143310546875,1874.0189579480475,1817.3344516891157,1824.7281034584391,338028,13110,62.207793578315474
2021-10-25,1788.19482421875,1903.9800544150437,1768.6718271977309,1855.6556875517176,335087,12064,75.13172571238101
2021-10-26,1783.7491455078125,1806.2199778559166,1757.1707416552163,1802.4023997670392,206780,15167,60.68543520799645
2021-10-27,1816.706298828125,1868.0751271752758,1803.513840345153,1855.704159377485,529236,14090,73.96937352595299
2021-10-28,1917.1728515625,1932.0084103068905,1815.8366661435387,1816.706410463989,1355503,5892,65.87102253015824
2021-10-29,2048.856201171875,2081.5718885572105,1888.8060561562895,1930.9931297056883,960349,14877,77.33742818036683
2021-11-01,2010.003662109375,2097.277515595265,1963.9988885889738,2034.4558388608446,485302,9807,53.70018434980574
2021-11-02,1993.3319091796875,2044.120869706237,1972.8907948661613,2019.958684485123,118552,7333,74.52836337270378
2021-11-03,1999.614013671875,2072.873804121557,1983.4253500891564,1996.956173382175,385323,5129,51.224596644674016
2021-11-04,2035.0841064453125,2052.5292512672468,1990.964050866681,2006.6694711708478,42743,6759,52.67372125812472
2021-11-08,2016.9625244140625,2053.157667454928,2001.7887189463258,2039.2884784431153,194599,9741,61.698798453375815
2021-11-09,2111.8232421875,2134.3905803509515,2014.5945198931338,2024.7426371204078,595914,4409,62.62202238414158
2021-11-10,2097.9541015625,2147.631694303768,2078.9143474319008,2111.82328980268,207186,11457,64.94180012039249
2021-11-11,2099.5009765625,2131.1050726246135,2060.696359401741,2108.730979964509,123304,17831,52.253167329393094
2021-11-12,2137.193603515625,2157.1998452108946,2081.330585421891,2087.8060037153004,258341,9672,71.4711513899573
2021-11-15,2076.111572265625,2156.233279249082,2065.383468290134,2155.2667918984553,91793,9273,62.14184637898481
2021-11-16,2103.99462890625,2116.558964692223,2068.4762181266724,2076.111609910369,384464,7009,51.547376909106546
2021-11-17,2118.25048828125,2135.9372557354445,2077.9963805374678,2084.9066713930724,216359,16429,60.218042741545275
2021-11-18,2077.512939453125,2148.4046453097894,2052.8191403610654,2126.272179281706,110299,12562,58.313630857712354
2021-11-22,2029.4300537109375,2111.4363584891857,1911.953476710429,2085.824445367575,240928,4036,52.901330791414566
2021-11-23,2032.716064453125,2082.780154333746,2009.665483670707,2010.2936060390678,107742,16506,53.641161586558155
2021-11-24,2015.8992919921875,2039.191494745064,1986.807929381365,2034.4558012776358,214763,12378,71.17935947552766
2021-11-25,1978.351318359375,2031.0248811833508,1971.6342781818462,2023.9694760353448,248082,11036,72.34323126911661
2021-11-26,1928.1424560546875,1994.0568527240353,1908.8127071218084,1974.5338534935972,87944,9361,65.93589073765814
2021-11-29,2013.5316162109375,2047.986797586707,1888.5647483830392,1889.4828642199209,141832,14613,68.24085158398503
2021-11-30,1992.752197265625,2091.9620373394173,1954.2375788867184,2035.4225228167304,239856,17638,52.16432111576788
2021-12-01,1950.2750244140625,2017.7357767876695,1940.996768606679,1987.0981721998976,122697,11678,75.93813803133799
2021-12-02,2042.043212890625,2067.316766683221,1950.2751537922734,1950.2751537922734,299002,15085,71.7352664598325
2021-12-03,2008.7471923828125,2059.101277163054,1994.9266121926162,2020.2485333001578,54725,9005,70.15586642053503
2021-12-06,1985.6966552734375,2016.914244233979,1966.8017801689919,2008.3607367032753,57116,8900,67.25601613630786
2021-12-07,1996.4730224609375,2027.642241852088,1966.8019057671768,1995.6032781637916,132978,14371,52.89538388869628
2021-12-08,2022.6165771484375,2048.4217444399383,2007.9260153459857,2007.9260153459857,176891,6355,75.29081358275033
2021-12-09,2223.307373046875,2295.4074226861453,2029.768284039338,2033.8758552167762,1034082,4752,56.621062721947936
2021-12-10,2188.513916015625,2292.508051875465,2160.437646558836,2222.920960924776,481269,6373,49.81800678184643
2021-12-13,2230.266357421875,2277.0442519146886,2188.6590288018715,2192.911478861643,264261,4747,61.2079842281267
2021-12-14,2196.39111328125,2241.9609024057154,2184.310020092489,2227.753584007503,71628,11145,52.49909948274968
2021-12-15,2157.248046875,2216.735387980655,2147.0031870083335,2207.36027230922,63111,10317,62.44961819205682
2021-12-16,2160.0029296875,2198.7591748005,2120.473683302109,2145.699102724029,270580,12539,56.74619462650579
2021-12-17,2126.030517578125,2186.822476635062,2097.2775193292564,2155.266759495042,169226,6049,78.24265250682707
2021-12-20,2050.547607421875,2140.76928781795,2007.0075449852172,2140.76928781795,102709,13433,59.09823725585005
2021-12-21,2127.23876953125,2145.602030149648,2029.7202851570828,2055.718701859595,240790,12648,69.9595157931304
2021-12-22,2207.891845703125,2253.8483636021265,2129.171503008355,2129.171503008355,961653,4816,63.35895176802144
2021-12-23,2187.934326171875,2229.6381650589387,2179.42918946026,2200.643541695831,93625,14485,57.41112503939281
2021-12-24,2169.32958984375,2266.799713745454,2157.2001243898385,2206.974231202597,220693,5075,78.76095464777643
2021-12-27,2121.9228515625,2191.751558474543,2102.399855437677,2174.016422266299,134745,9458,68.7012250181177
2021-12-28,2133.134033203125,2183.1978823278287,2112.3061864637416,2138.1597195449,182668,8580,71.54752730508287
2021-12-29,2151.981201171875,2175.128530027699,2118.8306321248783,2118.8306321248783,182349,14184,73.12471251760343
2021-12-30,2160.48583984375,2169.8125848302066,2138.450115888094,2151.980939489768,197252,8706,49.60998227456268
2021-12-31,2158.746337890625,2207.2155863222233,2147.5349897352953,2169.7641998000618,198115,14831,62.975278614510856
2022-01-03,2131.53955078125,2192.573370568251,2112.3549178117796,2175.9979703812223,113948,5850,58.39336436495334
2022-01-04,2145.360595703125,2162.6606273081325,2116.6075930126563,2149.3714243839663,353471,5162,46.33875026215397
2022-01-05,2151.59423828125,2174.499942848403,2126.2723151741266,2154.832065508347,222632,8721,52.41532681050992
2022-01-06,2150.67578125,2211.0812351666946,2126.3203494225495,2140.5760365468896,423469,6025,78.16843292616691
2022-01-07,2152.46435546875,2188.0792774384004,2142.2194938239695,2161.9841155465674,111305,5591,66.37767717477087
2022-01-10,2204.4609375,2219.731485066074,2148.50141342325,2167.782789172462,289826,13766,74.52309923268606
2022-01-11,2261.049072265625,2269.3125873542785,2194.216557869121,2205.524414115189,255404,4540,54.97954814507587
2022-01-12,2238.819580078125,2281.4417666987433,2218.5233456795117,2275.1112273493154,231632,3695,51.20550707757393
2022-01-13,2229.203125,2248.919373018375,2219.0550075872534,2242.2507045306743,128523,10149,75.74847647736196
2022-01-14,2263.07861328125,2275.1113341908745,2213.256140737936,2213.256140737936,190526,3046,53.88575091096659
2022-01-17,2242.63720703125,2305.942129993958,2236.4517822245334,2270.9553342658764,135524,8388,75.8733577307641
2022-01-18,2289.173583984375,2323.0490116682463,2225.8202931048045,2255.6846568441338,320744,4954,63.12743655541604
2022-01-19,2265.543212890625,2289.173782672322,2226.786973695804,2289.173782672322,242338,3465,57.59551597301414
2022-01-20,2309.179931640625,2334.0669812334872,2264.1898977091414,2270.0855650059334,209114,5573,62.07320747539862
2022-01-21,2277.769287109375,2309.1801290871217,2247.7598047357887,2309.1801290871217,415539,12840,45.43347869698088
2022-01-24,2327.688232421875,2352.4304050175947,2208.423777923256,2269.988980032892,276068,9410,55.21806076471995
2022-01-25,2319.71484375,2385.3878571514533,2281.0072087259705,2349.3861983195156,390068,6108,53.285924592759685
2022-01-27,2149.90283203125,2324.40217785581,2064.320326274355,2324.40217785581,794479,8443,48.78490239109833
2022-01-28,2194.40966796875,2238.239966466967,2116.607431337398,2165.898289327447,265768,17940,64.82376101053038
2022-01-31,2223.93603515625,2255.3468778623387,2121.5367351261716,2199.725476894094,415951,12655,69.4611012241161
2022-02-01,2210.45361328125,2294.3929094726554,2157.73167397463,2234.374178447932,725023,9317,64.26839128424959
2022-02-02,2219.7314453125,2297.533676838861,2188.0306131012985,2210.4533083455212,324514,10017,48.67922889541252
2022-02-03,2228.526611328125,2254.7666488798445,2196.4874136329904,2220.9879626963975,161075,16589,68.17711073905555
2022-02-04,2257.134521484375,2285.7426421716204,2203.5912152859596,2227.753399664095,203322,15070,67.96909056415545
2022-02-07,2182.328369140625,2265.9295223428676,2149.274549979594,2265.446278682739,191104,15069,76.24680273160705
2022-02-08,2146.810302734375,2208.3755076682896,2122.406494003236,2194.50655398452,122629,5744,70.81681692103832
2022-02-09,2165.8984375,2174.596824799197,2137.5803072119547,2165.8984375,123789,15133,72.58568582881037
2022-02-10,2162.998779296875,2242.154002171792,2136.9036197611217,2136.9036197611217,369714,5666,45.78047813287114
2022-02-11,2106.217529296875,2174.4997652769225,2097.32589298765,2149.4678376304923,242245,4763,48.27288632789016
2022-02-14,2020.9251708984375,2064.8036048548292,1939.3053564534894,2024.7911205319112,289217,9448,58.7947522474525
2022-02-15,1977.2882080078125,2064.368698461098,1957.6685847311112,2039.288397821834,378170,5719,77.63883583181607
2022-02-16,1965.15869140625,2014.1595507514833,1943.8959706209657,1989.9973680409328,565198,10252,69.49275901376598
2022-02-17,1987.001220703125,1998.6958118581647,1955.4938751088944,1965.158748473779,350822,17517,50.771362298580996
2022-02-18,1996.424560546875,2009.3756330040121,1961.969379860445,1961.969379860445,177031,3831,70.91432206827363
2022-02-21,2030.6865234375,2047.889808297201,1957.1367468632154,1977.4329797936489,375444,7712,67.51619773001852
2022-02-22,1998.01953125,2052.094456308537,1961.9695025580263,1961.9695025580263,306750,13076,60.016483057843956
