Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,901.5,912.0,875.0,908.4000244140625,2606211,7034,62.02609325369935
2021-08-12,913.7000122070312,920.0,885.0,890.0,2615374,10285,64.25901562328362
2021-08-13,919.0999755859375,921.0,902.0499877929688,902.0499877929688,2478660,11087,46.032362552841896
2021-08-16,925.25,930.0,905.0,919.0,2532972,3448,64.76517469981658
2021-08-17,936.8499755859375,940.0,927.0,927.0,2111296,9874,61.774503640696494
2021-08-18,942.5,955.0,929.0499877929688,950.0,2934048,10083,58.01820637967456
2021-08-20,935.8499755859375,938.9500122070312,925.0,938.9500122070312,2465015,6697,69.87913156251355
2021-08-23,933.6500244140625,953.0,914.0,935.0,2179201,16296,49.08414861127335
2021-08-24,949.7000122070312,977.0,933.6500244140625,936.0,2838887,15632,69.03902434374541
2021-08-25,997.1500244140625,997.1500244140625,954.0,954.0,2263117,6080,46.588630469907145
2021-08-26,1046.449951171875,1047.0,1017.0999755859375,1040.0,1686596,3786,51.759392908336686
2021-08-27,1049.0999755859375,1060.0,998.0,1050.0,2132213,12785,56.04308070810383
2021-08-30,1060.3499755859375,1063.0,1015.0,1040.0,2426934,7956,62.50029528239454
2021-08-31,1068.3499755859375,1100.0,1040.0,1053.949951171875,2737522,11872,65.6364312243553
2021-09-01,1079.800048828125,1098.800048828125,1065.0999755859375,1075.0,1520928,7724,51.9257204766157
2021-09-02,1085.3499755859375,1090.0,1059.0,1060.0,1483278,4791,46.04510189579131
2021-09-03,1081.3499755859375,1097.5,1061.199951171875,1097.0,1093470,16040,48.37054610305133
2021-09-06,1112.75,1135.0,1085.199951171875,1099.0,674863,9943,73.20549340510097
2021-09-07,1110.050048828125,1130.0,1080.0,1120.0,244582,7420,73.85376353306813
2021-09-08,1158.300048828125,1165.550048828125,1091.550048828125,1091.550048828125,742832,10988,51.28533229512103
2021-09-09,1215.949951171875,1216.199951171875,1148.5,1170.0,582097,16816,50.66474748026608
2021-09-13,1185.199951171875,1219.9000244140625,1166.050048828125,1215.0,713024,13936,78.86714086230282
2021-09-14,1149.4000244140625,1208.4000244140625,1133.0999755859375,1189.0,903673,14640,62.707464384218554
2021-09-15,1126.949951171875,1169.0,1120.0,1160.5,568745,13776,70.73960849915218
2021-09-16,1169.6500244140625,1180.25,1110.449951171875,1137.0,581390,17128,53.43083054370999
2021-09-17,1153.25,1184.0,1120.0,1184.0,821213,15819,54.21241144424117
2021-09-20,1131.1500244140625,1145.949951171875,1112.050048828125,1145.949951171875,1781350,6739,73.51208969013577
2021-09-21,1120.699951171875,1127.0,1097.25,1115.0,1798120,9128,54.33875367701493
2021-09-22,1141.550048828125,1163.5,1127.050048828125,1147.4000244140625,2248068,12930,64.14561886869498
2021-09-23,1149.199951171875,1160.0,1118.75,1150.0,2615150,16396,63.6450047722939
2021-09-24,1151.800048828125,1159.0,1125.25,1149.199951171875,3334805,11462,54.918904565753536
2021-09-27,1153.449951171875,1159.5,1127.0,1157.0,3249556,10289,52.330529384820025
2021-09-28,1144.5,1160.0,1132.25,1158.0,3469774,16108,68.56122186985719
2021-09-29,1138.6500244140625,1149.800048828125,1111.25,1130.0,3694509,15516,69.45427836917983
2021-09-30,1146.5999755859375,1159.0,1125.0,1139.0,1551279,4576,60.04080355918583
2021-10-01,1151.050048828125,1189.9000244140625,1146.5999755859375,1147.949951171875,447943,13709,76.6136177953611
2021-10-04,1176.0999755859375,1180.0,1152.25,1161.0,278908,4035,61.00726785630076
2021-10-05,1222.199951171875,1230.0,1199.300048828125,1203.0,583547,5814,67.04680450669319
2021-10-06,1214.5999755859375,1264.800048828125,1203.300048828125,1231.9000244140625,375503,4800,58.194299399262704
2021-10-07,1205.6500244140625,1237.0,1202.0999755859375,1225.0,179544,3464,55.97175330806053
2021-10-08,1176.550048828125,1220.0,1152.050048828125,1219.800048828125,174740,14994,77.5515738407759
2021-10-11,1162.0999755859375,1211.199951171875,1159.0,1199.300048828125,181216,4475,47.490385422546964
2021-10-12,1208.3499755859375,1220.0,1150.0,1185.0,418421,6270,63.08524043523836
2021-10-13,1193.5,1220.0,1180.0,1208.3499755859375,265060,13899,61.9925215702328
2021-10-14,1206.550048828125,1212.25,1196.0999755859375,1203.0,250393,8885,45.11323456699279
2021-10-18,1203.6500244140625,1237.0,1200.0999755859375,1221.0,254046,8191,69.39858937400629
2021-10-19,1181.3499755859375,1214.4000244140625,1170.0999755859375,1210.0,176429,5148,46.108313996343256
2021-10-20,1179.1500244140625,1210.0,1122.300048828125,1195.0,241623,7414,55.93865716267655
2021-10-21,1198.949951171875,1203.949951171875,1173.0999755859375,1190.0,271740,9904,60.299490520477235
2021-10-22,1202.1500244140625,1210.0,1177.0,1200.9000244140625,301252,14895,71.92907551306155
2021-10-25,1202.4000244140625,1212.0,1148.550048828125,1212.0,218738,9444,52.58103135399857
2021-10-26,1179.949951171875,1199.800048828125,1172.0,1188.0,138432,13053,73.49306485882134
2021-10-27,1206.0999755859375,1211.0,1180.0999755859375,1190.0,381133,9031,68.647476610857
2021-10-28,1147.1500244140625,1208.5999755859375,1145.800048828125,1204.5,314777,13826,45.677052577575026
2021-10-29,1152.8499755859375,1189.1500244140625,1106.0,1155.0,364243,11408,55.941326880771555
2021-11-01,1172.3499755859375,1178.050048828125,1141.0,1155.0,1215021,17403,47.28063846703182
2021-11-02,1174.25,1184.449951171875,1135.800048828125,1178.0,1638199,9604,63.67004793011981
2021-11-03,1204.5,1220.0,1162.4000244140625,1175.0,1848796,12237,60.080724948089454
2021-11-04,1200.4000244140625,1224.800048828125,1195.0999755859375,1215.0,37041,8912,61.33669207812521
2021-11-08,1226.0,1235.0,1201.0,1224.3499755859375,1615093,12706,74.93281221166731
2021-11-09,1230.800048828125,1235.0,1203.050048828125,1215.0,2220381,12463,67.79506656543755
2021-11-10,1228.8499755859375,1232.4000244140625,1206.800048828125,1223.0,1819508,16192,49.412128607543096
2021-11-11,1230.800048828125,1248.0,1211.5,1231.949951171875,1536247,13883,71.7665694184966
