Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-13,337.2615966796875,343.6012702738919,334.64827942872705,343.50447527613665,548162,6206,72.43594975163118
2021-08-16,332.0833435058594,339.2457296071469,329.1796710698496,338.76178420114525,988760,8165,56.66307397351875
2021-08-17,348.73101806640625,350.9087722080474,338.76175536641,339.7296460960283,3464574,15915,55.18303214325144
2021-08-18,348.73101806640625,356.5709388838508,338.90693306831656,347.4727719329748,1732994,13476,45.39501548970475
2021-08-20,345.68218994140625,352.31224776428724,341.95580449020895,346.0693403500942,1177227,11165,62.96874627006042
2021-08-23,345.6338195800781,349.4085878907517,338.7617888137482,344.472338774786,1168392,4366,45.67417480557757
2021-08-24,347.4244079589844,353.57049079356557,338.76177364638244,345.2950364238484,1071662,11301,78.86504459460244
2021-08-25,358.0711975097656,361.94276053930685,345.4886176637567,346.50489114393855,2844456,14903,57.616130769961146
2021-08-26,356.0870361328125,366.78224769762454,352.0702950317399,360.5393399294106,2161183,3765,76.73195639574203
2021-08-27,358.1195983886719,360.3941476913798,351.34436274348076,355.119130981122,853862,14627,62.40475474479632
2021-08-30,357.10333251953125,364.89484186361443,355.99023443807596,359.958592737233,824322,10420,72.92104886100118
2021-08-31,357.2000732421875,362.3782947168729,355.21590899882,362.3782947168729,708813,4800,63.5847762292227
2021-09-01,358.50677490234375,366.24990191767597,356.7645831389682,360.0554062129473,1013694,17840,65.78425630884274
2021-09-02,357.7808532714844,361.70082900755426,354.73200294633125,358.89392186159614,843359,7084,74.96140183878208
2021-09-03,358.1195983886719,360.68450311824324,354.5868028526446,359.57143459835567,482089,9599,70.48312559644023
2021-09-06,353.0865478515625,362.52348304002106,352.3122470357877,359.7650179227717,2139141,17746,61.66200737276162
2021-09-07,346.2629089355469,365.37875086839676,343.69800440652347,357.44203506095124,1905277,8464,51.16309107044543
2021-09-08,343.64959716796875,350.3764496602196,342.19776105059213,348.0535177799533,513848,17456,47.338437067919635
2021-09-09,353.183349609375,354.24803540474016,343.8432092282348,345.1982504506616,648404,9800,76.43727220902889
2021-09-13,353.9092712402344,358.1196022006709,346.2629396953784,353.18335312766544,875083,5324,63.89399631797113
2021-09-14,348.5375061035156,356.7161661833373,347.47282024536605,355.5063026030958,795240,15783,70.02381397193696
2021-09-15,346.7952880859375,351.63474245240434,344.9563013342172,349.79575570068397,1012706,13323,69.58361446607206
2021-09-16,347.37603759765625,354.24806888520703,345.6822285251177,349.40861439223977,721373,8155,76.61542975034375
2021-09-17,346.4565734863281,351.3444109139961,341.13317332096454,348.4407380965251,1241100,16276,73.86877894333023
2021-09-20,338.1810607910156,343.9884059547,335.8581286330789,341.66547379676325,1161991,8554,77.29200484390213
2021-09-21,332.47052001953125,337.309974459408,328.5989564676299,334.11594634416366,1019606,12643,45.44848098531418
2021-09-22,334.64825439453125,338.2294622797705,332.4221173011235,335.37417251686213,501876,14537,72.96850639319257
2021-09-23,336.5840148925781,338.6649741382237,332.1317114480011,336.8259875848086,988085,6897,61.37442312789727
2021-09-24,348.3439025878906,357.73245542104047,344.03680613210514,346.5049159248764,2659116,14913,65.80185012172561
2021-09-27,343.2140808105469,347.4727943885525,338.76177725903443,347.4727943885525,1263010,5440,77.64073229727587
2021-09-28,341.3751220703125,346.40813687769065,339.34254533335667,345.48865827270765,542763,8135,68.12068380157834
2021-09-29,345.0531005859375,348.15036323376074,337.8907139427427,338.85860482797676,578639,12789,48.36677353594318
2021-09-30,354.73199462890625,356.329008615333,346.311332463842,346.50492244788114,1428587,17064,75.7120067175203
2021-10-01,354.49005126953125,356.18386038822524,350.0861593760016,352.1671189571454,1083594,13382,48.02430073340459
2021-10-04,380.1391296386719,382.31688404143955,358.1196128995763,358.1196128995763,5833642,16789,63.10062876784762
2021-10-05,372.15399169921875,381.83289915563535,368.76637408947295,381.83289915563535,1514770,15765,54.68989764123245
2021-10-06,366.5886535644531,375.8319992187934,361.9911721006085,373.60586211453176,877554,6383,74.56591356482264
2021-10-07,363.2978515625,370.21826552024316,361.16847978887785,369.68593734568054,628383,3711,63.667939557412794
2021-10-08,360.58770751953125,376.2675503726413,354.63518497744286,364.89483341604057,1738507,7759,64.72327053030135
2021-10-11,360.87811279296875,369.3955405396269,356.18383621788627,361.9911813736127,890535,11844,46.8099034131129
2021-10-12,365.7175598144531,370.7021917330923,359.32947436269063,363.8785731259251,1769682,9633,62.573977104785214
2021-10-13,373.3638916015625,377.187072235369,361.9911742293827,365.7175598716338,1829374,7692,45.200225442587005
2021-10-14,365.9595031738281,375.2512604004769,364.74963972081866,373.6058342893113,737933,5413,61.21584709342089
2021-10-18,377.5258483886719,385.2205931575214,362.23318338995574,366.4435148759737,2734065,13821,74.11715795073137
2021-10-19,358.1679992675781,380.0907507750995,351.10240783740585,379.8971607889229,864947,9905,46.23782644406986
2021-10-20,333.2447814941406,358.36155888102326,319.45233797204855,358.02279120276876,4175089,14355,58.90216631479588
2021-10-21,314.5161437988281,338.7617977975504,312.4351548393526,335.85812524499994,1857911,8769,52.22032948631503
2021-10-22,299.0299072265625,319.4039989829779,297.8200435940512,314.51616172270684,2097249,8253,74.70118021536678
2021-10-25,291.1415710449219,305.8535245470706,288.0443378860443,302.3691113978579,2116229,13795,51.53046672633754
2021-10-26,321.48492431640625,324.1466240247183,293.3677083036742,294.14200913101894,2617730,16237,68.87322694951972
2021-10-27,316.5002746582031,323.4690998602453,313.9353700830353,323.2755098955347,982635,4807,76.02201133965384
2021-10-28,314.8548889160156,319.93631599513714,302.9498430028623,319.25881010719877,931925,6668,68.70289451916157
