Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,183.49142456054688,190.46035681044356,179.46812301575562,188.66423874430046,379876,17863,76.24994973920666
2021-08-11,179.6357421875,184.497246595408,175.78008139865472,183.4435181898767,284036,15709,47.490953766963635
2021-08-12,184.066162109375,185.19173228410202,179.6596948316127,180.1147026099268,207456,13808,45.41764895109903
2021-08-13,184.3775177001953,190.53220409040915,177.79175126823006,186.10177939981435,1566572,9154,69.67461042216442
2021-08-16,181.26425170898438,183.44353591026567,179.25259351022694,181.98269897756242,284606,16527,64.5979505361803
2021-08-17,177.67202758789062,181.47978960317644,176.0674923209899,180.73739988798337,168220,7686,53.14786523903102
2021-08-18,186.00601196289062,187.70633142087732,179.61182796400254,184.88044158427994,1452320,12387,74.18876582045566
2021-08-20,179.7315216064453,187.92182171694327,179.180715069861,182.054503556573,441446,17020,65.51931897650886
2021-08-23,178.07911682128906,181.95873484312804,176.25905632553574,180.09077494130827,144496,15840,78.46684374195381
2021-08-24,180.8571014404297,181.62344800158283,178.77360175183503,179.65968950639194,159446,8741,74.05304919470646
2021-08-25,184.0901336669922,190.58010120798897,181.76715133915673,181.76715133915673,1255062,17985,53.70331978722953
2021-08-26,187.8500213623047,193.64548439533968,184.92833283300726,186.53286801536996,2452514,11491,74.0179377081129
2021-08-27,182.98849487304688,189.6700596388821,182.12636408506293,187.75420045061057,1538266,4767,48.31698764643613
2021-08-30,187.29917907714844,188.71213108301077,183.89854069273318,184.35354848234368,755338,11911,60.15358358862192
2021-08-31,188.28109741210938,189.83773327343832,186.84420277088267,187.9937155604944,422520,7008,48.63030137364629
2021-09-01,184.92831420898438,188.54449264146487,184.40144999990122,188.257110834979,160258,14638,53.90078662408276
2021-09-02,189.57427978515625,192.28044285261117,185.67071922216905,186.74839012331046,510914,16390,61.61842996492934
2021-09-03,189.3347930908203,191.53803425125713,188.06553920370516,190.2208809573581,241258,4658,74.35236041117466
2021-09-06,190.24481201171875,193.0228018239861,189.3347672575343,189.90953082682503,271624,11097,63.89396137288317
2021-09-07,189.57427978515625,190.72380710651805,186.70049071544585,190.62800829078887,234984,15775,78.01758854766749
2021-09-08,189.55035400390625,191.58595477337335,188.71216545177273,190.53222617538046,174196,9787,51.50591423741935
2021-09-09,189.3587646484375,191.58594837492643,187.56264638242257,189.31086523797418,269892,11186,78.30914834624991
2021-09-13,185.09596252441406,189.19110593267385,184.54514128201896,189.19110593267385,364896,12972,67.07012421584986
2021-09-14,188.712158203125,190.0053691949109,186.79629872898158,186.79629872898158,895364,14678,50.292279135688325
2021-09-15,192.1846466064453,195.1542345315891,190.1490459881839,190.6280108395395,1019844,17332,71.84263172911729
2021-09-16,193.21441650390625,197.76458255387928,191.56199655060328,193.81312256311324,1080200,17037,55.07189338116457
2021-09-17,192.61473083496094,197.14825899845889,191.1755174040646,195.25328879160423,496248,3255,51.593909769993175
2021-09-20,185.58657836914062,192.3748655857888,184.8429759647841,190.93565212754098,234078,16959,46.464517606576095
2021-09-21,182.2044219970703,187.1697114661821,181.34089975915379,185.65854022960983,277534,3285,52.59578870364078
2021-09-22,183.49974060058594,185.87444898218064,181.72470457389514,183.69163282606752,319334,16823,66.47559286839137
2021-09-23,186.9298553466797,188.9447602269893,184.60312378357963,184.60312378357963,406052,14877,52.4427265148604
2021-09-24,184.5551300048828,188.70485887790397,183.2598321414264,186.92982323397263,456372,9256,51.08828773589507
2021-09-27,182.6841583251953,187.0977521815501,182.44428941214204,185.8264498704551,310820,5676,48.225791585693315
2021-09-28,182.180419921875,185.0828276023102,181.34087881624424,183.739567689475,288190,8885,61.08058190306054
2021-09-29,181.72470092773438,183.4037834877758,180.4773941669112,181.2929397689542,268176,11206,46.37833341609433
2021-09-30,183.71559143066406,188.2731004082268,183.11591919677423,185.08283241158458,682798,7150,76.29796392516508
2021-10-01,181.19699096679688,185.1788092472864,180.38143076937743,183.25985785612284,266446,9146,48.59740661827091
2021-10-04,181.2929229736328,186.09030127217,180.69325068631568,181.34089968470553,356202,13873,56.346121823199155
2021-10-05,180.76519775390625,184.8669647411035,180.38141336887023,181.19697348761656,895938,16633,73.26707589678645
2021-10-06,180.4773406982422,183.69157471951587,179.9256305939006,181.6766850286653,282894,10323,48.9459487448883
2021-10-07,177.0712127685547,182.20439809237567,176.61545603362586,181.58074485130598,979464,3983,52.45118063711197
2021-10-08,178.342529296875,179.66180826275638,177.9827259425437,178.84624813676442,452958,10483,47.50638461537172
2021-10-11,180.54933166503906,182.25239507156192,178.36651579760164,178.36651579760164,791668,14858,78.0073799024574
2021-10-12,182.90003967285156,184.0993841952965,178.46246493980533,179.56585604428022,817108,8767,51.24979378787244
2021-10-13,181.72470092773438,185.7545107841842,181.34091648447156,183.7396058559593,391170,5701,68.6495428430487
2021-10-14,187.55348205566406,188.53693860186644,185.17877430106984,187.09772533009647,938992,6668,57.98459496224434
2021-10-18,198.20367431640625,198.82734225694978,188.6089180659164,189.49643594717395,2000002,13509,48.66556065350943
2021-10-19,205.6875762939453,218.28069320990113,200.00268058665532,200.00268058665532,6814746,8755,47.06499787077967
2021-10-20,202.66525268554688,208.47006873183258,198.63544319034335,206.28726745562798,1390994,17814,58.34184761119327
2021-10-21,213.0515594482422,215.85802850027196,200.5303999671804,201.4898755651095,1414148,3672,66.16684077746919
2021-10-22,206.55111694335938,215.37830473168466,204.24838121449687,214.9225479368047,1047646,5492,61.773720655686155
2021-10-25,205.83148193359375,208.68592748758635,198.13169667212222,206.62306095710133,709390,7940,57.152338990467186
2021-10-26,201.8257293701172,208.6859751094955,200.62638468557984,204.12846530825362,343164,6552,49.921862078854055
2021-10-27,203.48077392578125,207.22273734745866,200.5303895435976,202.4253596071812,486452,11701,64.93495914206429
2021-10-28,199.93075561523438,203.33689739123594,198.13173861809668,200.5304279476136,272144,10661,63.05960291828255
2021-10-29,194.50967407226562,199.09116366920256,191.96705524596476,198.46751045846062,425540,14177,61.11904420804331
2021-11-01,198.99522399902344,200.55437177392554,192.75863289941503,194.5096874974224,325406,6580,52.027304191447115
2021-11-02,198.73138427734375,203.72065448500643,196.45262972015033,199.06720659457818,225344,15698,77.65164150346453
2021-11-03,203.2888946533203,211.084633976309,198.73138551065,199.37903447480087,883076,14477,66.40669593521966
2021-11-04,205.39974975585938,209.14171362813914,203.88857851378575,206.28726767277146,166628,17484,67.31555001303661
2021-11-08,205.9754180908203,206.5750903138398,202.9290802697943,206.28724471870342,243616,16246,45.06415069977461
2021-11-09,206.33523559570312,209.26163917311018,204.8480454523878,206.2872588864795,409772,16163,66.81623651554501
2021-11-10,202.20950317382812,206.28727488670484,201.1300930145372,205.56766811384423,175824,13168,45.95896612295881
2021-11-11,210.2451171875,216.36177490373646,201.65781241985164,202.4014002468269,2564112,16387,76.33445702722179
2021-11-12,203.91253662109375,213.6272266226575,202.28143110447377,211.08462225620005,627340,4458,52.308464155735756
2021-11-15,201.72975158691406,204.84804739027896,196.69250451993997,203.88857175847437,364416,3814,48.43998426834483
2021-11-16,199.97874450683594,203.4088675288215,199.11520751136547,201.7297848959185,225974,14058,77.03772094961707
