Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,2595.97998046875,2614.6355115019796,2572.007741301929,2590.9481373755366,733892,8092,71.1834276809175
2021-08-11,2580.694580078125,2610.8378902657387,2561.469319249805,2597.1191702540946,361517,10910,63.758687527898445
2021-08-12,2484.140869140625,2601.2486662790398,2469.3777225964272,2595.6473254819807,2248827,13027,56.533207851594184
2021-08-13,2417.92041015625,2495.865638552806,2395.5621006580623,2444.6933158404872,4134045,7359,64.58524212219633
2021-08-16,2369.548828125,2427.1770880519994,2356.3996078646956,2424.7560831935666,1022752,10636,76.6449196180521
2021-08-17,2388.346923828125,2411.4647991644492,2346.1463361999536,2367.7926020142268,1298630,12710,68.66565439786427
2021-08-18,2458.601806640625,2467.4787467123765,2398.172879644272,2398.172879644272,1901521,6203,74.53639384930571
2021-08-20,2469.994873046875,2498.619288334624,2393.663562518264,2411.4647293193416,2187864,12872,70.93237115940393
2021-08-23,2415.261962890625,2489.741987676811,2406.7174040596437,2487.416015241131,1271399,12614,60.2188567816861
2021-08-24,2418.964599609375,2444.6933092875397,2390.5777680722426,2427.9838564785914,1277071,12271,64.86245350964887
2021-08-25,2448.9658203125,2452.5260536236733,2412.6039244038443,2429.503211544752,721584,3359,55.60615068311818
2021-08-26,2448.253662109375,2454.1873840243275,2417.6356570282205,2434.724776143283,440543,4391,75.52736713235014
2021-08-27,2445.737548828125,2455.7062003902515,2418.679780302353,2440.135976974007,541875,7197,62.54238295086586
2021-08-30,2424.70849609375,2476.213199955597,2416.9710157855875,2450.104824726089,926194,7962,57.390006934179
2021-08-31,2543.66796875,2561.374102635271,2416.211619098162,2424.7561788513576,2381821,9805,59.99117212601888
2021-09-01,2566.358154296875,2626.977144990174,2527.338141341331,2544.3797428889293,1997385,11058,63.24413757583954
2021-09-02,2594.8876953125,2608.748962118948,2550.5984886163615,2566.2159979998546,898434,17354,58.60616800685574
2021-09-03,2660.776123046875,2712.4231494540245,2575.7101870734227,2600.0620907830557,2305890,8852,48.90807601083183
2021-09-06,2700.93505859375,2741.8540957425353,2660.775815958178,2660.775815958178,1197932,6490,66.06229563883923
2021-09-07,2680.28564453125,2734.2588680259523,2664.00360544473,2700.9349953574874,545226,12818,75.21380891791378
2021-09-08,2658.3076171875,2680.2860320937634,2622.467934134347,2661.250836192369,616049,14913,49.75506555146599
2021-09-09,2675.58642578125,2689.590009793755,2631.7243988247083,2656.4086825077684,456149,15314,78.9280606672169
2021-09-13,2663.054443359375,2672.548398594168,2636.5188848353323,2672.548398594168,287427,3178,57.14716457909947
2021-09-14,2677.580078125,2724.7649864105183,2667.4688773442444,2676.1559849265277,672701,15463,49.03426880761836
2021-09-15,2698.134521484375,2707.628476578031,2659.446654477727,2677.580201421015,412751,4615,52.061359539136284
2021-09-16,2715.4609375,2737.486866538046,2699.6535952863487,2722.8662686883627,570872,11728,55.6706055543002
2021-09-17,2751.8701171875,2786.4280174620894,2719.3533243338534,2720.3027197456386,1375879,6426,77.7277065544881
2021-09-20,2670.6494140625,2713.8944233811458,2617.1508874759274,2711.568450874338,1190719,17705,72.77200840105934
2021-09-21,2709.95458984375,2715.176265416224,2647.6743802691294,2667.8015197549153,595121,3391,70.66415301071171
2021-09-22,2698.989013671875,2733.7842650498774,2682.0422117610365,2715.2710533226773,424342,5871,50.90876320181009
2021-09-23,2712.470458984375,2731.125987840515,2699.5110713408635,2707.2962998678126,452680,13877,49.38835493145812
2021-09-24,2782.677978515625,2798.8652167983405,2716.6949967664486,2716.6949967664486,806905,16086,62.2900409414149
2021-09-27,2733.64208984375,2842.490193760833,2723.19873909847,2814.957723614185,1331462,5093,54.82024041069343
2021-09-28,2737.15478515625,2795.6374097932217,2719.543452000441,2736.15787350856,838118,15922,77.84154612843605
2021-09-29,2699.368896484375,2743.753138429559,2691.5363831999307,2724.7652274369666,386614,10641,53.88417651088662
2021-09-30,2649.003173828125,2702.7865658649253,2631.2970411621027,2699.131300618909,861344,17144,65.14703423932983
2021-10-01,2632.151611328125,2652.7061637846086,2612.926351695624,2645.9653627546077,411006,14255,48.31215234618918
2021-10-04,2606.9453125,2630.775235022814,2570.963311599343,2620.3318833139538,874865,6369,72.80835282823162
2021-10-05,2620.4267578125,2647.8641965720713,2590.9479795429384,2591.84985896083,452282,15671,51.82265852716212
2021-10-06,2590.85302734375,2642.6426027030952,2576.279944230532,2629.8257623450954,589264,3382,71.7191622784969
2021-10-07,2678.197265625,2714.2267795186785,2607.1351494982314,2615.584676974413,897524,14579,47.78958057803357
2021-10-08,2675.34912109375,2727.565875901253,2672.073752831211,2696.283339151053,572893,3165,53.862302502043995
2021-10-11,2707.4384765625,2751.965030486404,2685.127683470813,2686.7891255095556,622401,16517,53.50525361027998
2021-10-12,2762.361083984375,2784.9565101833696,2707.7233296784584,2715.270977121299,786357,9449,51.915291614430686
2021-10-13,2758.705810546875,2809.973164506965,2710.761340639754,2763.6901366263282,687451,4743,56.012087345363305
2021-10-14,2708.815185546875,2775.6052514718676,2701.0301888290687,2757.993918646202,497012,17095,56.49789819397353
2021-10-18,2683.32421875,2735.208593100124,2670.5073787615056,2735.208593100124,360160,16802,68.4899007884762
2021-10-19,2566.880615234375,2698.846592214524,2551.263105323064,2698.846592214524,999095,14710,74.54258001125493
2021-10-20,2517.037109375,2573.8110022593505,2483.903301691444,2568.114629698098,1159620,3089,45.01280241474249
2021-10-21,2528.57275390625,2561.4692172998607,2465.01053582427,2541.531910567727,816204,6402,75.52689670822488
2021-10-22,2480.34326171875,2555.772687892399,2469.1878645854904,2555.772687892399,519029,4754,66.28938935869874
2021-10-25,2432.11376953125,2491.35595229992,2403.869255178345,2470.801633728927,457696,4033,54.83250142491169
2021-10-26,2459.171630859375,2480.7703779309127,2441.7976472973764,2449.345294971768,677512,17987,72.34394692599273
2021-10-27,2453.142822265625,2479.346229525266,2441.9874256748067,2460.8330181617803,430370,9015,68.49007663424194
2021-10-28,2399.596923828125,2458.8866214444447,2391.2897139038932,2453.1427327967776,1332301,9095,63.93029217569911
2021-10-29,2359.057861328125,2401.970489325676,2346.4783716113006,2401.970489325676,1628906,11649,53.529596387031695
2021-11-01,2430.452392578125,2437.1456769695737,2352.696996639343,2363.994709968567,1071806,3610,65.49307213647498
2021-11-02,2413.790283203125,2442.7943589682036,2398.1727752637707,2429.5028233966705,657518,12489,57.6874698678799
