Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-16,491.76434326171875,498.71132558717716,487.25567597214933,492.73047020651916,530890,17013,69.80106896896038
2021-08-17,490.8441467285156,500.73556008794344,487.3706279451274,494.22561866815334,455472,6298,49.31710775883463
2021-08-18,515.3425903320312,519.8742261152108,498.3891810045059,505.6121898235546,1710306,8345,51.085811736863874
2021-08-20,518.26416015625,540.5773530258267,509.7529422575455,511.5472102358348,3341314,14247,67.94026636211126
2021-08-23,511.7081298828125,532.7101425796204,506.80841841854976,524.4749544314734,1190970,15874,57.581064253778095
2021-08-24,533.6763305664062,537.816922786318,515.2736984779094,517.090935932498,1404384,13032,66.88129475363579
2021-08-25,574.2770385742188,579.6828108179576,538.2768957595321,538.4839028706776,6043016,16678,52.225818487290475
2021-08-26,593.3008422851562,603.1462616013417,575.5423137019669,578.2796827378379,5374274,3123,65.74160055625853
2021-08-27,635.5347900390625,643.6319353923398,582.0751202509275,595.0719767018451,8430452,17813,50.899894090734755
2021-08-30,644.0689086914062,670.3156774839363,621.0886510661043,639.9513434318156,6787604,17881,59.4941861911278
2021-08-31,632.95849609375,652.0281994123802,628.4498291743246,639.4683816799602,2507708,5588,60.82275011741571
2021-09-01,621.042724609375,635.8798440303825,616.2810556551714,627.5296400078818,1328524,7487,70.21076165568107
2021-09-02,634.8216552734375,657.8479663983804,621.5487708438922,621.5487708438922,3944170,8575,72.26420145112388
2021-09-03,641.584716796875,657.8940252381052,637.4210992778984,657.8940252381052,4806414,8787,48.41152171137809
2021-09-06,626.2184448242188,655.0875677775356,622.7219567025832,648.6926432538116,1917914,4738,57.974017968540736
2021-09-07,635.8109130859375,641.193660291184,616.5801408627486,625.6894658443379,2031434,7099,78.42065505179346
2021-09-08,629.346923828125,640.6185347672388,621.7558389099463,635.8108701165403,1335442,7518,59.535776258414344
2021-09-09,632.2683715820312,638.0421629468806,605.4465163640654,629.346909192557,1826452,11981,71.26135128457534
2021-09-13,646.5073852539062,649.9348525745952,626.1725018804999,632.153356538604,1949648,14126,70.97875454242407
2021-09-14,648.669677734375,663.2997909579916,630.2670478482507,649.7508771684804,4616986,15465,47.441453182421256
2021-09-15,645.4952392578125,655.5936594782606,641.8147134502152,650.5329364928144,1476220,15602,55.9159783626728
2021-09-16,658.7910766601562,684.0946909286968,644.0919995628502,645.0121309907972,5121110,10039,67.92122730601645
2021-09-17,658.1700439453125,681.633396953873,650.9930295512385,664.3349361639494,4214790,10512,47.87205912434253
2021-09-20,633.6025390625,666.6352829306662,628.5418157276226,655.1106132357289,2391458,7249,75.15359838001973
2021-09-21,625.34423828125,655.6855456053344,616.4879744689166,638.9621703658052,3610208,6762,57.88618487127847
2021-09-22,624.240234375,632.4984487165765,616.5111630661024,623.4351192702999,1233098,4189,70.82226636362503
2021-09-23,625.574462890625,639.2383944973346,623.5501621665708,630.4281794775889,1318724,9172,45.29777840462668
2021-09-24,617.132080078125,633.2343779830094,610.3461116753523,628.8177589325984,1244282,13028,77.08598128064335
2021-09-27,614.90087890625,624.769266431017,613.0835855617211,621.4568156121719,959318,7129,72.36191187524557
2021-09-28,619.5245361328125,628.6338605706907,614.5558596615458,616.4881133736433,949512,12990,78.17100954099948
2021-09-29,616.1199951171875,632.0383140958946,610.530241498876,620.6286616765381,2481174,11996,73.2330235508774
2021-09-30,623.1360473632812,634.4076585049048,617.431276856634,632.544425869553,1750880,12750,54.08208230153447
2021-10-01,615.5679321289062,629.1168450916629,610.3461974494226,622.6069600949751,1330144,10171,68.13657777100806
2021-10-04,619.0645141601562,626.7476465291294,614.6478938198728,616.5111827286114,859422,3082,57.049308190490535
2021-10-05,632.5902099609375,649.152571821733,616.4879137073864,619.0642698758841,2481466,9098,48.88100194278376
2021-10-06,619.66259765625,638.4792989059567,616.48813260702,630.7501714956899,1187436,4501,48.58507267893178
2021-10-07,624.378173828125,639.4222997019606,622.4688899476541,625.8273920101867,1441760,12934,51.788054950123914
2021-10-08,621.8477783203125,631.6701692095987,619.0183631984814,628.449709497678,906940,9110,58.63582500359835
2021-10-11,627.8977661132812,641.5847223512368,621.6408269047765,627.0696252885172,1121032,8048,62.493723440649674
2021-10-12,642.5968627929688,645.4492480963634,624.3092484768632,627.8977839388893,1573200,12451,76.66455274061961
2021-10-13,641.6306762695312,657.2958805502411,638.1111622320683,644.0920166725996,1867518,12434,55.720735833603634
2021-10-14,664.2197875976562,674.6862812204072,641.6305752307356,644.0919152462121,4466704,10907,55.03749573554386
2021-10-18,681.0812377929688,720.4628484155392,671.695886773108,678.5968719111878,7684378,11705,67.97842776403596
2021-10-19,657.9170532226562,700.6801425441123,646.4843743204787,691.4788274745902,3102698,11839,73.05786105188062
2021-10-20,648.6466674804688,670.7988430492752,635.0287334505002,655.1335828765978,2088236,13372,67.67755614382534
2021-10-21,630.8881225585938,657.38789588529,625.6893576376061,653.293299886324,1424668,3256,69.12715931791476
2021-10-22,610.5762329101562,642.6198216126575,595.8081344968492,636.7309579192004,2039040,13816,75.9543350902546
2021-10-25,608.68994140625,616.212004301915,590.8163441927844,609.5870470490826,1261996,8983,54.04372254332589
2021-10-26,609.541015625,614.1876676462819,604.2502604355376,606.3665512792506,1327718,8949,46.977141512619156
2021-10-27,605.95263671875,622.2620025612481,602.686180863701,610.0472334544028,1012222,8184,72.10011597976546
2021-10-28,582.7651977539062,606.3205952104183,579.6827800384821,605.9525201875183,1696902,11484,54.55451818912417
2021-10-29,601.121826171875,609.449004023693,567.6750725918852,575.082119053218,2039752,7800,73.23094879113958
2021-11-01,611.3814697265625,618.3054265114422,600.0178104566933,607.1258609591052,1588772,10626,75.3331688796646
2021-11-02,612.9915771484375,625.6663540503833,608.8509856644632,611.4273424668628,1884282,12373,73.79283682799172
2021-11-03,609.0120239257812,626.149472757687,605.607526214349,618.0523269577731,1889084,13161,59.30881997346431
2021-11-04,616.5341796875,618.7885133846944,609.5871972005353,612.3015967069376,147072,3155,60.285734624306016
2021-11-08,621.5948486328125,631.7622908853166,617.0632120448372,621.5258275354581,2097112,15572,55.88436965064345
2021-11-09,629.830078125,639.9515256916545,622.0319853048416,623.2971662506734,1575872,6824,75.1650827836092
2021-11-10,632.5443725585938,639.2613208692998,628.4497763997578,628.909842121866,1127294,11140,46.975060425824296
2021-11-11,641.814697265625,650.7859786954152,625.7353668529355,633.0044276037835,3241430,12435,74.64223039998434
2021-11-12,651.9821166992188,654.4434569572841,633.9705333477241,650.9929642140999,2760032,8369,72.70383976391005
2021-11-15,654.4435424804688,662.494693266696,647.7725889718805,655.5937068785013,1337682,11682,48.480712516390156
2021-11-16,657.6180419921875,669.85578059796,650.34898015067,652.8333466129844,1975778,15476,51.70426756039365
2021-11-17,646.8984375,657.8020294317315,642.1597939883843,655.5706656240171,1754686,5425,65.28657793610242
2021-11-18,636.5468139648438,652.5111255118334,628.6106816038675,648.6925582015398,788220,9273,60.574110512976816
2021-11-22,626.7706298828125,649.8889362769279,618.0984008058514,642.7119210463524,1234350,16620,49.90695439873155
