Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,1184.927978515625,1214.7968349420837,1179.844943820765,1206.276771509286,1823117,9828,46.870226444452854
2021-08-11,1197.417724609375,1203.7110055553712,1158.78663793402,1187.9778031903804,1973876,6691,60.85725133995429
2021-08-12,1192.7216796875,1215.667896921058,1187.057751959023,1214.1188056551284,2264764,3411,46.08728674528196
2021-08-13,1202.645751953125,1217.168704837022,1186.428454566107,1190.88213647955,1861705,13964,76.77323113694804
2021-08-16,1186.718994140625,1212.569924485491,1183.2819657657144,1203.1300039063894,843960,16551,71.99124723953184
2021-08-17,1185.46044921875,1204.437087081773,1177.8116691599491,1187.00954080567,1600498,7623,56.27659543722436
2021-08-18,1194.9000244140625,1225.7370667933249,1187.2512465681789,1188.9455908548205,2658601,7051,61.98566848768208
2021-08-20,1196.98193359375,1214.9903731814986,1185.6056194594441,1189.9140486010247,1989898,17674,56.39161630619006
2021-08-23,1219.1534423828125,1248.4898546013783,1201.8711520191637,1203.275108383103,3835797,14048,47.10588780051102
2021-08-24,1225.4468994140625,1239.0016574559763,1202.3554245302817,1229.513397739503,1492926,9297,57.669864055948025
2021-08-25,1165.951171875,1233.67650095239,1162.8045318014324,1224.7206792045436,2460031,17337,58.67402889824078
2021-08-26,1176.3592529296875,1182.0231812506179,1153.1225269458912,1169.2913681677094,1413269,4459,61.99362173926896
2021-08-27,1195.723388671875,1199.5477198462256,1176.3594471549216,1179.2640383824646,1169963,4372,53.094235399843484
2021-08-30,1226.2215576171875,1229.6102472750322,1190.882365471094,1190.882365471094,1105428,5861,76.412376214186
2021-08-31,1228.109375,1246.7471663034005,1214.6515319340022,1229.610127549022,4863922,5535,51.788992686589985
2021-09-01,1301.98291015625,1311.229238741769,1225.8826499208242,1229.6101847171872,5063369,10423,74.79029354440011
2021-09-02,1347.97216796875,1353.5393002839378,1299.078223287535,1307.8404527284188,2971890,7314,54.38850958008946
2021-09-03,1384.957275390625,1389.0237734803873,1342.8891653238888,1354.5075286864605,2720191,13504,63.116323400105635
2021-09-06,1384.957275390625,1394.010011394445,1375.2753059218155,1384.52163403977,1244690,6438,48.16914315439101
2021-09-07,1398.850830078125,1416.1331198908333,1385.1508212683996,1394.0098459183698,1787418,9455,77.57077736531254
2021-09-08,1387.0872802734375,1408.0971052412435,1372.8547152604535,1398.8508959734063,1078326,17116,66.38245096293656
2021-09-09,1407.7100830078125,1413.3741304192424,1369.708348000687,1383.5536133804414,1745952,15707,49.73139668705399
2021-09-13,1403.9822998046875,1416.230014216423,1389.4110073854956,1410.2272407169967,1437805,8024,57.75491690254471
2021-09-14,1418.94091796875,1424.6531847413933,1403.982205964009,1404.1759162437484,1024080,10472,66.49850596052885
2021-09-15,1405.04736328125,1422.7654147000858,1400.4484277794975,1419.376725383005,766614,17838,66.55926162248709
2021-09-16,1406.8870849609375,1430.0270176863764,1401.9977608573429,1410.0821824449613,1068097,16951,64.66105929697338
2021-09-17,1425.089111328125,1435.5455674531438,1401.0777797436745,1411.6311501139717,2099188,3347,69.4453900995041
2021-09-20,1362.4466552734375,1415.79439998767,1355.475684741436,1413.5674998017832,1682673,17692,76.35123258481997
2021-09-21,1366.22265625,1382.3431586773083,1347.7785757548393,1365.2544593256944,1677219,4117,67.28864048493287
2021-09-22,1375.2752685546875,1397.4954587947307,1364.1894610893507,1366.2226509849368,1337462,13082,53.27699546715762
2021-09-23,1392.5093994140625,1408.0973481947021,1378.422085139703,1382.1497383119543,1137902,12010,72.6221437360677
2021-09-24,1369.9017333984375,1402.8204259787385,1353.9748244577609,1396.1398441410004,972346,8133,58.578342593878794
2021-09-27,1344.389892578125,1378.7124264241888,1340.9527462061105,1378.7124264241888,1130126,4468,54.009155595861735
2021-09-28,1326.28466796875,1359.493873124127,1317.3773026347471,1345.600269485368,1033811,3912,45.82287059159135
2021-09-29,1324.3480224609375,1333.6426884768239,1308.0339293629775,1320.6204882687648,869402,7929,66.18047880760679
2021-09-30,1329.431396484375,1338.5809298691381,1318.0067417709715,1324.4936149784392,910972,16851,55.19995325741541
2021-10-01,1315.87646484375,1338.7258894646532,1291.816794022713,1329.4312222852475,839100,4565,64.60045971367259
2021-10-04,1345.6002197265625,1350.1022411653535,1312.1974236770802,1317.280457858523,802477,6828,76.28577490708273
2021-10-05,1345.3580322265625,1356.540635363712,1338.871042167813,1351.602854875354,913676,15276,64.49230898992028
2021-10-06,1325.848876953125,1365.6902035803266,1321.5887868962059,1353.3456929334939,738636,4886,74.09949469210099
2021-10-07,1349.860107421875,1363.221272280547,1331.5128229430557,1332.432562747834,728717,14789,64.58723197167748
2021-10-08,1327.8336181640625,1360.607178444333,1322.7022454028347,1356.250292305956,566246,7744,76.45941463161427
2021-10-11,1338.1934814453125,1365.0124905541613,1325.8005128084671,1338.4838696268603,836394,13211,62.03997096130469
2021-10-12,1375.08154296875,1382.5366112582806,1339.3067175013732,1342.8889984845318,1358251,3838,68.09267903422509
2021-10-13,1364.8671875,1392.2672083470222,1354.5075274530489,1392.2672083470222,1406850,8020,75.49374540766496
2021-10-14,1427.2191162109375,1432.7379098001027,1360.4135259188606,1368.7399961437302,1827348,4846,64.27120544750159
2021-10-18,1408.4361572265625,1456.60395895473,1394.3973004414686,1439.3701229176202,1694567,6608,70.65373513530292
2021-10-19,1378.5189208984375,1435.4004940304521,1366.222748219162,1423.0559824145682,951188,6843,68.29856995234363
2021-10-20,1361.962646484375,1388.2976752917884,1334.3206935777778,1384.5216834266396,1193058,12721,50.969616304557434
2021-10-21,1244.907470703125,1321.5401515176584,1171.8086135956387,1310.9384440203492,8213470,3905,53.31222716643412
2021-10-22,1248.3446044921875,1277.7778128315133,1225.1563368461786,1248.9739560921782,1631143,17616,48.12728107546276
