Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-16,913.442138671875,918.0757661142611,905.881905230199,911.2471841724075,3159376,14194,50.529165818801246
2021-08-17,929.1318359375,936.4481550071703,904.4190153559786,909.8655687476063,5295838,9355,65.04015798766457
2021-08-18,922.0591430664062,941.2848175162454,919.9048743951824,941.2848175162454,4871006,13713,49.83087319436486
2021-08-20,908.3208618164062,927.343308504303,900.0696610962343,900.3135780569937,3467046,4439,77.28497931372056
2021-08-23,945.5119018554688,957.7870346333183,915.393126644647,917.7912127949758,9383780,7492,58.806801940731816
2021-08-24,937.2203979492188,953.5601557066149,934.8628977515832,949.4548485055298,3947317,6871,78.52859689895939
2021-08-25,938.3990478515625,951.0400590899012,926.9775221697838,942.9108169389215,3447912,9866,78.82120580671972
2021-08-26,949.04833984375,952.7471847340217,938.9274730100641,942.9108215302227,4654833,7770,72.22036151147638
2021-08-27,945.39013671875,950.9180608438056,942.5855879875123,949.0482955337079,3050466,12345,56.07738210747467
2021-08-30,945.7559204101562,951.4057032272683,938.56156195198,946.2436550247294,2956868,5268,76.64377868515962
2021-08-31,961.1202392578125,970.1436772602776,944.6585256139183,947.8695362360799,7199002,9160,51.98657421466702
2021-09-01,946.772216796875,967.7862881286951,944.4147167018157,967.3798260169233,3200410,16206,61.72319677808747
2021-09-02,953.356689453125,960.8762369930452,938.1143633586921,952.7469964093476,5224479,5257,54.18576572263677
2021-09-03,954.9824829101562,959.7380685326482,941.5692367147806,953.9663278953551,4533364,6231,75.80658590637411
2021-09-06,975.631103515625,983.7196604828944,954.3731135501553,955.1860378376767,4331916,3139,54.98341432518228
2021-09-07,961.0388793945312,987.6621450011418,959.3317585459263,986.8899067610764,3721585,4117,74.26687286508698
2021-09-08,966.4041137695312,968.3144653679743,948.7230163509979,963.3149628028526,3118518,10622,58.09261179413561
2021-09-09,974.330322265625,979.5329576659167,961.6893114870039,969.005629156812,3388292,16654,65.9395032359066
2021-09-13,982.33740234375,987.7026810111067,956.3644204509025,969.0054286133656,3723138,9077,75.16641089942294
2021-09-14,1006.9287719726562,1008.5139347710274,981.1996962950998,988.5160154886837,5593286,3053,53.114420101750355
2021-09-15,1035.0555419921875,1047.8184098260426,1000.0998079999125,1006.9283898358796,6063895,6600,45.65542904172178
2021-09-16,1026.8046875,1052.9809101126114,1020.382565533003,1046.3961437414562,3616292,16741,70.57387792006227
2021-09-17,1026.9671630859375,1041.3558814736252,1023.0650873025429,1028.3490945075223,4817180,8004,56.18883229848656
2021-09-20,1037.4132080078125,1055.8259604580087,1016.1552209389872,1022.6586143529968,5453683,6867,67.88691106004819
2021-09-21,1056.39501953125,1068.9953448892604,1038.104224656719,1047.8593152564688,4645597,6745,50.013589682524376
2021-09-22,1069.4017333984375,1080.0917059583996,1056.4762193965553,1056.801408907616,5367303,13943,70.15058260197365
2021-09-23,1079.80712890625,1086.4323809782009,1068.101001941603,1078.6283294130694,3037295,17376,70.71433612874122
2021-09-24,1104.113525390625,1120.0062319943586,1086.8795733452785,1089.3183457611617,7951730,14990,65.13738229297594
2021-09-27,1052.8995361328125,1112.0397802197251,1048.7130552856215,1110.4546174944708,7653504,14198,73.5567473779161
2021-09-28,1031.600830078125,1060.8254159490268,1019.4069668384309,1060.8254159490268,8572321,16619,53.27286582890718
2021-09-29,1041.5184326171875,1057.9801474659955,1023.3090101468687,1032.4137213820281,4639821,3834,60.967233820998686
2021-09-30,1040.1773681640625,1049.8510883226977,1031.4790182758227,1049.8510883226977,3589722,9194,63.21052927925797
2021-10-01,1035.462158203125,1043.794630918793,1024.8128714571992,1035.6653892449706,3372796,7756,69.00469542975758
2021-10-04,1039.445556640625,1051.5987338360196,1035.4622081814077,1041.7623707827079,2706626,12933,73.849600693257
2021-10-05,1060.9879150390625,1067.8570840298491,1026.072765203731,1032.4136129136107,3710314,16156,78.87889309148036
2021-10-06,1036.8438720703125,1072.937717376587,1033.876778868972,1066.5562838482053,2861608,5127,61.41033963749128
2021-10-07,1061.9229736328125,1071.3121890576303,1043.8354093059747,1043.8354093059747,2421641,8635,70.62755660746106
2021-10-08,1074.8076171875,1087.6924443080463,1051.964469855613,1061.9227900669534,5197831,4428,53.509052111485616
2021-10-11,1059.158935546875,1077.0432675335217,1004.4897843604207,1056.8014355745806,5264998,13117,58.620514771939995
2021-10-12,1016.4398193359375,1064.1178465950989,1005.0182931278838,1062.451312183793,12811641,3022,70.25015453493506
2021-10-13,1028.633544921875,1033.064041043392,1010.8304863360627,1026.7231930318192,5705730,12859,47.490208047513754
2021-10-14,1017.0899047851562,1051.3139860900435,1011.3181641051686,1048.1842484680824,10360519,12537,62.421690015194955
2021-10-18,992.905517578125,1034.4459193246576,987.7027834809107,1008.0258860216702,23861603,13635,48.79467889326498
2021-10-19,1001.6036376953125,1018.5937690936113,995.8318971585586,999.8965171469608,10189780,3650,73.80270254329238
2021-10-20,1002.2544555664062,1027.0486483553173,992.0929011447214,1007.2132742774024,8222562,7986,71.31401937516351
2021-10-21,992.2555541992188,1015.3675393581352,974.4708858713615,1015.3675393581352,5998795,14158,76.78641394112725
2021-10-22,978.568603515625,1002.6230127470726,972.0120299577313,986.1496416919395,3812305,7438,56.75707268753925
2021-10-25,955.1287841796875,975.2902259850966,948.3673183272699,970.4138148733166,6690819,11761,76.42974258387358
2021-10-26,956.2762451171875,968.7336942295728,945.1710091964932,958.8988343896788,5126660,9854,54.30737406908336
2021-10-27,964.7587890625,968.2009499788339,951.9324727142291,958.898831748298,3536653,10222,50.31094264419164
2021-10-28,944.1466064453125,971.1924727757772,939.8848735871467,969.7992408920545,4096585,3489,62.206778302736836
2021-10-29,937.38525390625,961.3577292520492,932.6727160177596,944.1467213114754,3558520,4113,68.6765706620153
2021-11-01,974.63427734375,976.478313009798,937.1799040559331,937.1799040559331,4511112,10732,67.97293886924885
2021-11-02,959.4317016601562,979.4701911908604,957.9564324727629,976.10996698111,3016082,8946,68.20781755648963
2021-11-03,964.1029052734375,973.4050217050161,960.2918778239261,962.9965037675403,2063067,9264,66.0156522718202
2021-11-04,969.6353149414062,972.9546205385872,965.455519036149,971.1925212715081,256369,13590,69.66980417257216
2021-11-08,969.4304809570312,977.5852803718542,957.7106642764676,973.2004912175945,3808317,16145,52.58603583767913
2021-11-09,961.1936645507812,976.109828460409,959.2675911501873,973.6511135272593,3565461,14632,61.71841985346281
2021-11-10,958.2020263671875,962.9964995687368,952.424007351636,953.9812131897954,2401325,8109,76.59722919154028
2021-11-11,951.276611328125,957.0956490835044,944.3512720890272,955.6203803478462,2861259,5200,58.00324637343496
2021-11-12,960.8250732421875,965.578630163026,953.1620961753939,957.9975902751306,3812518,17996,66.82528821092532
2021-11-15,959.59521484375,968.405607955308,953.5713846788695,959.7181705706543,3619915,15200,74.98023066432755
2021-11-16,953.48974609375,963.4065437618493,951.0719495253959,959.6365339101803,3141207,11367,54.002948933256974
2021-11-17,944.51513671875,954.5959062035597,942.5072265585693,951.1127273227997,3172985,17541,78.80050384124885
2021-11-18,918.083984375,946.605113528011,912.5928951631516,940.8681128399624,5384530,9349,74.38989087521075
2021-11-22,909.8065185546875,922.7147727501467,903.1680078346689,918.0841726646058,3961223,16442,62.94782418012767
2021-11-23,911.8554077148438,917.9202579999888,893.333108232132,905.6266831160603,4545069,12276,71.3087852401567
2021-11-24,917.4691772460938,928.2875799128857,912.1419630675083,917.9199815408787,2675632,13989,63.679381487859146
2021-11-25,921.8540649414062,926.9353682327653,910.543938202124,915.0515814605503,3106454,8104,50.33428758255575
2021-11-26,909.7655029296875,922.8376300512562,904.233394579025,917.9202004062229,2207274,16832,61.83693825280574
2021-11-29,928.6976318359375,938.4095358441153,901.6107488836002,902.4303205306256,3661152,6080,68.72038534008689
2021-11-30,933.2052001953125,948.9819531207813,928.574600756168,928.574600756168,7421904,12733,51.09209641450331
