Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,409.8977966308594,422.23454924554727,406.345561456232,419.0663616672068,10417993,5559,78.01510569950233
2021-08-11,419.21038818359375,426.74686854978495,411.91392292907284,412.1539380407431,19239106,10448,72.24483481647471
2021-08-12,422.6905212402344,429.50575969637447,419.40373978267326,422.3521695825276,8349354,11561,56.56113982226398
2021-08-13,427.3306884765625,434.62930766387416,420.99880097429815,422.83552922292824,13343808,8152,54.12147315008116
2021-08-16,427.04071044921875,432.1158971608393,421.675524868927,427.86241324566805,8288547,17323,48.15416322625407
2021-08-17,422.06219482421875,429.07078591377103,414.7152520576473,425.44565259158884,8413999,5840,61.08731101661225
2021-08-18,412.7334899902344,425.0105894530125,410.2683818352763,424.18888673469314,12169397,11794,73.72962710858955
2021-08-20,390.2093505859375,402.14812906792366,387.74427169149413,402.14812906792366,23309477,15558,46.35261527905818
2021-08-23,393.30279541015625,401.9064390776213,386.1975283499933,397.31460363416085,15943020,4302,48.56600705259828
2021-08-24,406.8366394042969,409.6400699710734,398.81299319428246,401.18142545839635,15050015,4873,46.932243170191306
2021-08-25,416.358642578125,420.46712686139557,409.5917272880323,409.5917272880323,17974391,10599,47.395467050334474
2021-08-26,409.9784240722656,417.90536470438354,406.7882889935187,417.13201471636603,7695674,11153,55.817339559827886
2021-08-27,423.31890869140625,424.38228706497205,412.7818600836972,412.7818600836972,15558923,13807,48.417213720391906
2021-08-30,433.1308898925781,437.4327262942675,425.97729982694256,426.2673281750546,11735730,3169,63.054873931770175
2021-08-31,452.7066345214844,455.4617417286591,429.98913251728163,433.08259139926906,20847646,15259,78.72320044668156
2021-09-01,442.8462829589844,458.21684201227885,439.8978235532071,458.21684201227885,10038500,9761,54.28620320518571
2021-09-02,441.734619140625,449.5165607027638,440.52624128927346,444.73137261084685,5360608,9432,47.74218231864642
2021-09-03,445.9397277832031,449.03318672590507,435.0160043630942,442.0245955444997,8516918,16635,45.01747807633917
2021-09-06,453.625,459.18353755993604,446.3264103088216,451.4015967765894,12183840,7527,70.89418140523469
2021-09-07,446.90643310546875,456.67013161563835,445.55305587170716,454.35005214327407,5684070,15603,67.07659772884486
2021-09-08,441.106201171875,450.338224864145,440.04285235514254,449.37152266609013,6689343,5776,72.10950864063375
2021-09-09,448.11480712890625,451.11158994361267,440.8162170895019,442.9912971080356,6926659,4770,66.34173075212382
2021-09-13,462.4219970703125,464.5004008721641,452.94829793648614,460.1502410304893,16632808,10026,69.85530122889632
2021-09-14,462.03533935546875,467.3522015827979,457.44350379550264,467.013849904413,15253798,17493,51.62196966419125
2021-09-15,470.5906066894531,471.3639861298056,458.5551823192207,462.27699159088,12415050,11735,72.16105080955602
2021-09-16,467.2071838378906,471.7506961960813,464.4521060370549,466.9171849645641,8011765,9799,60.44461949501086
2021-09-17,457.2984619140625,469.28559274288585,454.4467081373518,467.88386275843817,12113274,16922,75.95624785186405
2021-09-20,429.60247802734375,448.5498482052622,427.66907350921764,446.61644368713604,18031539,15708,69.79602665690598
2021-09-21,435.9826965332031,437.38442653769874,424.18891777542154,430.18248327555517,18750888,6937,65.89056890301147
2021-09-22,447.5830993652344,448.9364764867914,437.14272785447054,437.8194016645447,13613171,7664,61.36640708935842
2021-09-23,467.1588134765625,468.6571900068604,452.41660570518627,457.7334675243711,12757667,15315,75.05288805590017
2021-09-24,462.8086853027344,469.47892468410004,457.8301747971489,464.9837652858804,9226843,15736,55.7860169010837
2021-09-27,465.3704528808594,473.6357747416121,456.57345658816257,459.086888314849,6825039,10766,46.754876099082566
2021-09-28,462.2286682128906,470.68731277733747,459.2318853812044,464.88709936171676,6148679,16949,75.80827022413474
2021-09-29,477.6959228515625,480.3543541053671,457.63685066376365,459.1835802026234,9508220,16219,49.44241895813136
2021-09-30,471.70233154296875,487.217889435746,469.4305755629767,478.7592455219309,14333358,14382,60.36370057655628
2021-10-01,468.2221984863281,469.81725115478173,457.68515081132773,467.0138207827407,8072310,15078,59.192523805352764
2021-10-04,488.8612976074219,492.4864307333379,464.9837422841583,469.817253118713,10303925,7124,54.948887336697
2021-10-05,478.8075866699219,489.3446642248723,477.7442378536915,479.4842900088047,8162109,13649,52.34288036583237
2021-10-06,460.0535888671875,481.9010653321783,458.2168605164544,481.41771421349006,11231113,8266,45.511490976385886
2021-10-07,461.600341796875,469.4306362176909,457.2501815076898,468.850608945517,9774465,5048,71.21195005515418
2021-10-08,457.87847900390625,474.40909208641466,456.91177682950706,464.935422577866,7086881,3000,51.08756049257101
2021-10-11,471.2673034667969,473.6840588691907,460.3919041560246,462.5669840181791,5565678,14275,68.11925481278038
2021-10-12,482.0460205078125,482.86772323441903,471.218974144142,476.39080703811874,8685800,3058,53.55648845844363
2021-10-13,491.133056640625,494.9515422534966,478.517604327111,483.3027921709464,8901206,12430,54.06979945609472
2021-10-14,498.9150085449219,505.92359987036053,491.42309559500245,494.371525662381,8876529,5074,73.97192210255866
2021-10-18,524.7260131835938,533.4746574738658,508.9687769973469,517.6207746557021,23481789,9167,68.20526383519118
2021-10-19,515.977294921875,529.4628022993197,508.53367624374965,529.4628022993197,11017925,7673,50.31378144687655
2021-10-20,495.8699035644531,513.3188664131497,493.5014713821336,513.3188664131497,9440844,17651,60.92883876212076
2021-10-21,477.3091735839844,503.45845422989584,475.23076991828,499.01164806193566,14173662,11875,61.43841412297837
2021-10-22,454.7850646972656,475.6174854398495,449.0331747699392,472.7173788213138,19392383,4594,58.86429497136054
2021-10-25,457.4918518066406,462.08368761452556,444.05469607963875,457.781850688679,9196105,4874,52.77522528639857
2021-10-26,469.8656005859375,471.7506817089041,456.8151206616133,459.23187620315485,8120433,8248,51.71220751755989
2021-10-27,463.8720703125,471.4606887075949,459.81190915165365,466.9171764324293,8972879,8125,55.43324482399041
2021-10-28,453.19000244140625,461.2619721192492,438.351146523307,440.6712260201679,12659503,8741,48.21537602329747
2021-10-29,444.4896545410156,458.41018965871297,441.44454854704793,453.8183542626223,8306338,6947,69.34348644783663
