Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,206.56910705566406,207.7778817392906,200.29656324159885,202.55076521754742,1527673,10642,45.68674044826354
2021-08-12,208.95399475097656,210.3587984010046,206.27511323201375,208.43129102529332,893026,11746,66.79206201942357
2021-08-13,209.67271423339844,211.04483635245606,208.4966209541306,209.67271423339844,605873,6252,46.18350996510783
2021-08-16,216.17396545410156,217.25205436750025,211.17553871752992,211.17553871752992,2768305,6519,67.31634458897794
2021-08-17,207.5492401123047,217.51343332033005,205.16437162753854,217.44809036049978,2585664,3603,58.44635248138693
2021-08-18,209.90142822265625,212.31897794000136,204.7069724510036,206.79782733843018,1471950,9105,70.19309809970919
2021-08-20,201.30935668945312,206.99383472391767,199.93723442600657,206.43846946907465,1087129,5113,66.57147236274469
2021-08-23,202.71412658691406,204.6742954177303,192.1618883689936,202.74678809148025,2182369,9852,63.91849741816393
2021-08-24,206.63446044921875,207.41853594307608,198.4017475231893,204.38025835928005,1537821,15359,76.80825227645897
2021-08-25,206.50376892089844,207.45119178847787,203.4981928027862,206.47110741782365,703209,4830,66.35779437098543
2021-08-26,206.01373291015625,207.1245032061364,203.85755520603962,205.8177240060977,641303,12705,56.7192699349459
2021-08-27,207.90858459472656,209.60738165103027,204.57629355220922,205.850391344437,711069,17850,77.6841791949977
2021-08-30,211.7309112548828,212.35163940756058,208.4966444032127,210.16278005953944,747758,11983,60.43079188288548
2021-08-31,210.22808837890625,212.93965103202834,208.46392861236734,212.35160442313762,845627,11194,52.38752076064184
2021-09-01,210.88150024414062,213.4623972238507,207.58189063299938,210.22811062293493,909890,6913,73.03210369783825
2021-09-02,212.4822998046875,213.00500349375582,208.03923868813646,211.04483474994825,1014427,6401,46.316737730064006
2021-09-03,212.38430786132812,213.5930827593129,210.52216322212715,211.73091818024128,635352,8013,63.14937802512334
2021-09-06,214.34445190429688,215.42256070424028,210.162762421051,213.65840079512225,690323,15674,55.20901535637674
2021-09-07,214.9325408935547,215.61859207420628,210.78351248233452,214.89985944598484,713935,6034,52.15357985675844
2021-09-08,215.58590698242188,215.9452632872855,211.92692122619167,214.9325173809475,611443,15137,78.48327120453064
2021-09-09,215.2592315673828,216.92536722524315,213.8217663387374,213.8217663387374,390563,9531,49.07100792215062
2021-09-13,219.14686584472656,220.71499688238947,212.41696100231715,212.67831285194964,1169181,16007,66.55335779175284
2021-09-14,217.57875061035156,221.36840255494445,216.30463283353237,220.8456988177142,571182,10003,68.3187607351226
2021-09-15,218.52618408203125,219.4735871438343,215.94528689807285,217.57876108035782,514511,7071,69.1916847148229
2021-09-16,218.82015991210938,219.2775405805914,215.94524983271828,218.78749841001792,487050,14972,60.80622410958033
2021-09-17,218.72218322753906,219.21222546031174,214.31180313258494,218.23214099476638,673375,8894,55.019093799985
2021-09-20,211.2082061767578,220.02896652752727,210.3914691072421,210.71816393504838,989401,3340,49.79781610530528
2021-09-21,208.16995239257812,211.95960449430328,204.0535855167005,211.76359556968208,855536,7297,47.89239876071426
2021-09-22,207.64723205566406,208.98669286182934,205.42571113455233,208.75800248615522,975106,16202,56.0260705983802
2021-09-23,210.7508087158203,212.05758792333398,208.43128359843084,210.32610946135202,517633,3758,60.800144264429605
2021-09-24,210.7834930419922,212.6783189308215,208.59463385150465,211.69823451178544,768446,12225,64.82900729867052
2021-09-27,210.22808837890625,211.76355781424687,208.20257677951219,210.78347348614008,601771,13901,56.092886256855145
2021-09-28,210.1954345703125,211.95957446155148,208.2352658423576,209.73805389117607,626305,13453,74.60381768026677
2021-09-29,210.29348754882812,212.12297080783472,207.7779331127901,209.08471256632964,1613303,8750,70.9690530771178
2021-09-30,203.59622192382812,209.9994326121015,202.61613743440648,209.9994326121015,1915795,16258,58.198340248071105
2021-10-01,200.03524780273438,205.4910556530388,199.54520553965082,203.53088660070458,2042841,8662,48.11660972751656
2021-10-04,202.3874053955078,204.51092135203857,200.45989832055662,201.79935881090321,1438742,14912,54.93769377240641
2021-10-05,203.89019775390625,206.4384329089604,203.5635029842702,203.5635029842702,1387444,9394,70.84568806959145
2021-10-06,205.58905029296875,206.20977843915944,203.69422428756994,205.16435100656605,764014,14570,55.84353960300215
2021-10-07,204.8049774169922,206.79780771443842,204.02090192364423,206.30776551606297,664318,15331,71.99312889117192
2021-10-08,206.1117706298828,207.45121142058767,205.16434767264417,206.47112695718332,669127,14701,56.19526522662892
2021-10-11,206.1444091796875,207.8105446059853,205.6217055000282,207.1244935339491,629602,11729,65.25755720295682
2021-10-12,208.2678985595703,209.05197391832868,204.6089134518057,206.43841597562036,630240,12430,66.25237438093514
2021-10-13,217.48072814941406,222.80584929863664,207.90857468218226,208.62728727641266,3029449,8352,65.40211116300452
2021-10-14,226.5301971435547,235.8736610600118,225.41942677480353,228.6863749889311,9464918,9481,78.54114001959286
2021-10-18,253.2864990234375,266.975020447313,240.12070129419254,243.06095477942756,8782614,3984,66.62655822127846
2021-10-19,241.29678344726562,256.39008795480686,238.48721600182196,254.95264272638858,2858310,4853,56.22858554553193
2021-10-20,235.1549072265625,241.10075642724033,229.04571062993125,241.10075642724033,1981348,17007,67.20054047256673
2021-10-21,223.491943359375,241.55818487601925,222.15250242365164,237.8338555359094,2189697,14795,55.44056319757249
2021-10-22,210.6201629638672,227.02024757940418,206.27512567003672,224.70070229963153,3860723,5876,45.815301529738605
2021-10-25,211.0448760986328,216.53334566864152,207.1898808018333,210.6201767755727,1885013,6199,75.74185890607012
2021-10-26,211.175537109375,213.9851045519723,210.3914615747636,211.6655793335398,828215,11227,66.30805534166353
2021-10-27,211.60020446777344,216.23927414482057,209.73804030883392,211.69820890985108,1132806,13860,57.697252944773226
2021-10-28,207.5492401123047,210.78352719512063,206.53649402448687,210.78352719512063,824077,16730,77.75876438119352
2021-10-29,203.432861328125,208.3659449626421,202.38743395250313,207.77789829506375,851684,6115,66.9314615768732
2021-11-01,206.1117706298828,208.30060997959032,204.21692471540553,205.7523943627129,545266,4834,45.76859633181833
2021-11-02,205.68702697753906,208.1045763427105,205.22966624620062,207.8758860071077,490874,5323,60.090426828835916
2021-11-03,206.3077850341797,207.41855543153105,204.7723153460305,206.14443761926745,441908,9651,61.27423747438654
2021-11-04,208.1372528076172,208.75798091460962,207.18984983468013,207.77789649717013,141805,11391,48.58150703175026
2021-11-08,209.5093994140625,211.04486916843237,206.30779393167964,209.73808979277646,443669,17092,74.99722646124793
2021-11-09,207.12448120117188,210.8814710021395,205.9810495226165,210.58743773742168,711829,10532,68.84575153515836
2021-11-10,206.63446044921875,208.10458704530018,205.81772345139578,207.12450264791258,424368,5392,67.78586300678356
2021-11-11,208.7579803466797,211.63289064204054,207.12450632205778,207.12450632205778,1091464,10239,63.673432246894336
2021-11-12,211.7309112548828,212.3189779005228,208.2679540343383,210.06477559855608,760512,3207,74.03211025263319
2021-11-15,214.60581970214844,215.61856559490462,208.59462747325242,211.04483844592178,1464062,5499,46.55886915859311
2021-11-16,215.32452392578125,216.36995122142503,212.0902575315964,214.6058113536516,902964,10712,61.80190339680864
2021-11-17,217.35008239746094,218.2321624913133,214.31182424296637,215.618603659082,870444,12640,64.39280751049169
2021-11-18,211.01217651367188,225.4194090277598,208.9539833489154,219.57156420891857,9391701,17328,64.96865877644204
2021-11-22,208.3006134033203,211.04485792190602,203.17152057909553,203.17152057909553,1309404,7305,66.04130278727872
2021-11-23,213.46240234375,215.25922384516247,206.83048157755033,213.03768312788432,1738021,8827,49.04219663522672
2021-11-24,215.78192138671875,216.6640013591651,212.5803162458661,214.96518436405896,736909,17957,69.04544542236785
2021-11-25,216.6966552734375,218.88551440546578,213.005008048304,215.78191382807483,755057,14288,71.06440970750647
