Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,45.56655502319336,47.405120647880466,44.970265723417214,47.30573657050783,43933750,14991,57.21789006242224
2021-08-11,46.610069274902344,46.9082139394413,43.82737562956511,45.61625119902907,55571095,12671,58.87688146434132
2021-08-12,45.616249084472656,46.51068303662775,45.36779457702153,46.36161260682603,31912922,3138,58.49946374977738
2021-08-13,45.21872329711914,46.11316109856317,44.92057862700952,45.86470657495263,24863835,6948,65.33477436599324
2021-08-16,44.57273864746094,45.41748627640691,44.473358357521434,44.72181287348524,16981980,15785,76.65866991817124
2021-08-17,43.87706756591797,44.82119166206337,43.479538837245755,44.02613799583386,23591111,9468,69.44332423408693
2021-08-18,44.37397766113281,44.8211927528793,43.33046567075096,44.12552314744475,33532201,7758,54.56685227016678
2021-08-20,41.541595458984375,43.87707024825723,41.243450789811185,43.67830587177006,48646738,4820,72.7268474615053
2021-08-23,40.69684982299805,42.33664732749581,40.49808545517907,41.79004815932989,42182140,6724,75.4891767650541
2021-08-24,42.634796142578125,42.83355672099675,40.597466093752054,40.994994832819344,38981298,7627,46.53740661234619
2021-08-25,42.286956787109375,43.18139453835675,42.08819242115274,42.8335559501539,30243270,13758,74.66400245743971
2021-08-26,41.939125061035156,42.634798497266935,41.591286447361654,42.386343969406674,22442384,6561,65.09728393484153
2021-08-27,42.237266540527344,42.68448541506179,41.59128330052036,42.33664682770613,25065857,15927,47.40342548322056
2021-08-30,43.181396484375,43.67830552610287,42.436032921783195,42.73417758859689,24515423,9770,62.16376863367416
2021-08-31,42.684486389160156,43.4298499333558,42.18757735969639,43.4298499333558,41496912,6887,73.68589717193231
2021-09-01,44.17521667480469,44.324287119764016,42.43603494580541,42.684489478519595,31044253,8731,63.04465692228055
2021-09-02,44.622432708740234,44.77150314406772,43.727994932315035,44.324284255855126,20603198,16728,48.690570362070844
2021-09-03,45.367794036865234,46.0634636165537,44.82119109408877,45.01995545590613,32446332,5406,75.44742524701098
2021-09-06,44.870887756347656,45.71563160654428,44.77150367383828,45.71563160654428,12844249,9293,72.89481077651675
2021-09-07,46.1131591796875,46.361613692959274,43.92675870467288,44.970266902191334,36580052,16286,72.29291524451551
2021-09-08,45.864707946777344,47.355435133028635,45.4174890326789,46.759141983858946,48977773,4228,67.46180364375192
2021-09-09,46.610069274902344,46.70944956604363,45.51686711677269,45.96408600913868,18657990,5219,51.48171867423783
2021-09-13,46.56037521362305,47.20635847765809,45.91439574070309,46.61006915017581,19601326,5386,73.2305799950214
2021-09-14,47.6535758972168,48.20017506238164,46.61006771079029,46.70944799859664,23597971,15833,56.41350432275904
