Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,52.232398986816406,52.382136963513915,51.05947911029813,51.309038596847465,16287054,14681,74.94656895447025
2021-08-12,51.9578971862793,52.65665927794991,51.78320380740136,52.2324063772123,13442644,8242,45.58296785370401
2021-08-13,52.232398986816406,52.40709234097687,51.78319648056341,51.90797907979796,10050325,13730,77.33838776814312
2021-08-16,53.505149841308594,53.629926737383045,52.05771499916429,52.28231912401847,32819128,8993,58.21051180499689
2021-08-17,52.7564811706543,54.02922274600092,52.2573678353671,53.55506479188205,25693791,15022,58.244708735833726
2021-08-18,53.00604248046875,53.15577477252444,52.25736959634869,53.105864008505876,18888795,6157,73.94201346993094
2021-08-20,51.658424377441406,52.656656704167325,51.40886486777985,52.6317013243932,15736258,3324,46.119374310123234
2021-08-23,51.40887451171875,52.35719625679483,51.00958264850813,52.35719625679483,10432123,8667,49.17331909241395
2021-08-24,52.85630416870117,53.006042171805724,51.73329484906055,51.85807175838036,17847588,9597,76.2424817661996
2021-08-25,52.95612716674805,53.38038009405845,52.60674609902949,53.15577593912476,11312487,4675,61.30512890256581
2021-08-26,52.706565856933594,52.93116426805375,52.25736332277316,52.856298131013695,11929699,8610,55.41198184616255
2021-08-27,52.881248474121094,53.13080795240906,52.55682286592262,52.78142696757374,8356207,6278,77.37233062365354
2021-08-30,53.580020904541016,54.00426810211517,52.95612494297394,53.1058629439488,19240269,10698,64.4505574929937
2021-08-31,55.3269157409668,55.551514132212525,53.604966181818156,53.90443641539874,33485407,4565,53.304582489781666
2021-09-01,55.277015686035156,55.75117364902297,54.703030484586186,55.401792594210704,17700178,17937,59.16640960246882
2021-09-02,54.97754669189453,55.07736822079063,54.40356147690022,54.802853304405495,17265598,7344,50.44312567642363
2021-09-03,56.44993209838867,56.64957513852454,54.95258644968828,55.25205672181243,22906791,9941,71.77521768166204
2021-09-06,55.701263427734375,56.79931736612561,55.52657004266809,56.774361984247676,11302936,15902,77.16896634753206
2021-09-07,55.82604217529297,56.125512479609476,55.25206266128055,55.70126526179482,11374723,11565,73.21393616876347
2021-09-08,56.200374603271484,56.35010688874711,55.4517017520522,55.4517017520522,12497221,5166,49.19633511924623
2021-09-09,56.30019760131836,57.22356385502767,56.10055454878924,56.22533145661994,19983877,5324,56.84041174879859
2021-09-13,56.89913558959961,57.023912491743665,56.15046275289435,56.30019503546722,13133424,7069,57.51701152775546
2021-09-14,57.523040771484375,57.84746076921224,56.899144736626525,56.899144736626525,13852611,6680,65.68505124766773
2021-09-15,58.097015380859375,58.321619533629956,57.49808049333929,57.622857404922456,19025859,16118,55.94093176687214
2021-09-16,59.07029342651367,59.39471911404048,57.97223945023872,58.2467543722877,21129102,4285,76.53413310815257
2021-09-17,59.020381927490234,59.61931681770107,57.94728334729138,59.24498036934896,52041975,3916,47.60730513117241
2021-09-20,57.19860076904297,58.74585706541737,57.09877354430402,58.146916564663435,13756386,4971,60.614469932208024
2021-09-21,57.39824676513672,57.72267241050801,56.57470781792049,57.1736483496706,14070891,10699,66.40967962845409
2021-09-22,58.12196350097656,58.296656867286366,57.4232014595777,57.4232014595777,11751877,3981,76.60844566441556
2021-09-23,58.89559555053711,59.22002121335898,58.29666069849102,58.396482221845275,13392397,9335,65.22421662873658
2021-09-24,58.521263122558594,59.369763264776985,57.89737284706737,58.895599572621705,11883868,5536,63.71900813839248
2021-09-27,59.22002029418945,59.31984181599436,58.646040831890815,58.97046077775675,14908830,14848,56.566003853675056
2021-09-28,61.3662223815918,61.840380361469066,59.24498059552472,59.24498059552472,30580264,7591,60.293838229966745
2021-09-29,63.61224365234375,63.88675858312847,60.89206686379309,61.01684378145834,29772804,11557,64.9736800840432
2021-09-30,62.53913497924805,64.13630211650137,62.06497705636101,63.6122334345652,17995564,15616,51.763068220336656
2021-10-01,63.5872802734375,64.3109977287391,62.38940487870671,62.71382482384428,20085250,16182,61.578274147996396
2021-10-04,63.013301849365234,64.06144507398321,62.63896539142461,63.78693014831446,11345266,13346,59.90157751313339
2021-10-05,64.83507537841797,65.18445646409772,63.01330379849954,63.01330379849954,30310881,4101,78.55324247614506
2021-10-06,64.93488311767578,67.3306394407505,64.56054672768786,65.33417488620157,38136735,13404,71.99808448910673
2021-10-07,66.00798797607422,66.33241364066575,64.81011255352742,65.13453821811895,19049433,8413,78.32406301871276
2021-10-08,65.78338623046875,67.10603849120018,65.30922259201608,66.65683594438423,13639896,17562,76.00147024165112
2021-10-11,65.65860748291016,66.8564886274556,65.48391981461764,65.95807776904653,9461719,8306,48.43149986575416
2021-10-12,65.50888061523438,66.1577320035547,64.53560353275388,65.80835092614538,14989111,5850,73.24211381379963
2021-10-13,65.50888061523438,66.05790475863697,65.03472262157925,65.8582616926437,13747222,13601,51.609580388172404
2021-10-14,67.0810775756836,67.63010730797738,65.3840890473278,65.88320231238778,21061104,8178,77.86676881893297
2021-10-18,68.05435943603516,69.87613069833466,67.72993379075768,69.87613069833466,22145724,5750,64.77172564299997
2021-10-19,66.7816162109375,68.50356605781474,66.55701778216257,68.20409577419427,15474921,15454,71.32103707457871
2021-10-20,65.15948486328125,67.03116674505287,64.71028235404003,66.48214272529577,16132831,9872,47.886962594385196
2021-10-21,65.70851135253906,67.6301097737072,65.23435344784875,65.90816009299394,27519955,16634,53.93757296851866
2021-10-22,65.23435974121094,66.70675006638169,64.88497869564902,66.15772597302474,16376905,12798,55.140892287732214
2021-10-25,65.10957336425781,66.08284450450921,64.11134113474277,65.68355275508715,15055837,8344,63.762121029987156
