Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,711.9573974609375,714.7136301424218,690.9532036084317,690.9532036084317,11909486,5130,55.63461845682255
2021-08-12,711.7672729492188,716.8994896442802,704.6391458653724,715.7114684636391,3506281,14799,68.94874669289382
2021-08-13,711.9098510742188,719.9883956743735,696.0854426333439,709.866489304196,5611264,16288,45.044404259666386
2021-08-16,723.8850708007812,732.3912558333366,702.5481993308863,708.0606058687666,9095337,15071,74.7350405659796
2021-08-17,707.347900390625,724.6455025696338,699.3643738437428,720.9863620652903,6482187,14520,77.06451866449618
2021-08-18,700.885009765625,711.76729573037,696.5606241314525,710.9118972493915,5905871,6328,51.412024416509155
2021-08-20,650.6553955078125,686.2010112614593,647.7091262807264,686.2010112614593,13126219,4320,72.30908057447444
2021-08-23,650.275390625,665.9572727557853,631.0769536267522,661.4903007894874,11781361,10939,65.80816188575565
2021-08-24,657.35595703125,662.4406648997519,649.1348265803882,655.8827642388106,8283854,6260,67.84395216860965
2021-08-25,649.942626953125,666.242301323129,646.2835447927642,661.490216434947,5539409,5303,50.34077943849256
2021-08-26,638.68017578125,651.0355958484467,636.1140384732169,649.134761991955,5659963,12978,52.58930332249357
2021-08-27,643.907470703125,647.6141199372792,638.4425733502941,639.5355760243986,4978277,6876,71.23560357065287
2021-08-30,652.5087890625,659.5894074153427,649.1823295150164,649.1823295150164,5891576,11840,62.72487335228177
2021-08-31,653.5067749023438,658.1163326436865,646.7113274411405,654.1245692210241,5399215,13116,78.98864969358988
2021-09-01,643.099609375,654.8372347183001,641.5313983089297,653.8868178319166,4316801,7112,71.79024141980068
2021-09-02,651.0831909179688,654.8373498811773,644.382762292363,647.2815227038545,3635439,7917,48.31889103698979
2021-09-03,656.6431274414062,660.7774181811789,648.5645829544735,652.0810794417054,4145359,7928,65.41871741514802
2021-09-06,652.6038208007812,662.4406130128566,647.8041688044427,662.4406130128566,5179490,5254,50.111618137095945
2021-09-07,649.8950805664062,663.2009174929264,648.6595501678556,655.2649593867186,3555927,9806,52.51002951075288
2021-09-08,652.9840087890625,657.2133761738752,647.8993008826535,650.0852484496467,3288571,3271,60.4515211849903
2021-09-09,654.789794921875,657.2133466374232,649.1823114939523,649.9426334819293,2381494,7498,58.33649739733622
2021-09-13,659.9696655273438,665.2919781489929,653.4117642534752,658.8766626454134,3778975,12348,75.87962895847323
2021-09-14,659.2567749023438,667.1927336445762,657.9261678995126,661.8704216509515,3185808,9423,70.33054099251876
2021-09-15,662.1079711914062,663.3910108311662,652.9839339448681,662.4405939102046,2871538,5917,63.476545309414576
2021-09-16,655.2650146484375,666.1948101884138,653.8868983916269,665.3394116817451,3372499,15877,62.43399898141861
2021-09-17,648.469482421875,657.6885385671436,635.5438349252506,657.6885385671436,7804735,3142,48.95746845069411
2021-09-20,601.8040771484375,636.6843938758597,596.9569154728041,636.6843938758597,10340874,9304,61.485067782993035
2021-09-21,635.781494140625,638.6802545274089,597.5272080621604,601.8515940170859,14289169,8051,47.38629249194402
2021-09-22,644.9053955078125,649.514952418317,633.1677696393541,638.4900812376928,8147214,12929,65.12447113963472
2021-09-23,643.669921875,653.1740920023532,640.6760850813433,651.3207672257491,4039612,14305,69.63772928675736
2021-09-24,626.4674072265625,645.3331620293284,618.4838809876074,643.6699322302837,7363339,15645,73.67648585237605
2021-09-27,616.488037109375,630.839311231014,614.2545222567671,627.7029465961558,5889365,13073,67.58407901905669
2021-09-28,628.0830688476562,634.7835552925086,615.9652517580705,617.7710673122161,4735779,16104,67.74216825353224
2021-09-29,646.093505859375,650.3703826298593,621.1925672827851,626.2298241084385,7345149,16044,64.52529388080205
2021-09-30,635.16357421875,649.3248085979947,633.3102497449931,649.3248085979947,4934499,17996,62.29364143027972
2021-10-01,640.8186645507812,652.6513678450352,626.2297867519417,627.2752222521552,5193048,16246,74.65397642874395
2021-10-04,647.3765258789062,652.7463468177307,629.2710366531168,641.0562299853709,5617530,4634,56.747037107906245
2021-10-05,645.665771484375,656.5955670815061,643.5749004728739,647.3765685066586,4186464,13854,75.62642530182087
2021-10-06,626.5624389648438,650.0852609055033,623.0458842850755,646.2835927130735,5994344,17823,70.47310577183703
2021-10-07,633.50048828125,636.7794387842232,626.3248509832882,632.9777704929742,3042177,5464,51.75405005804096
2021-10-08,632.8351440429688,649.1348189973203,631.5521042807018,636.8269070939172,3826818,10704,57.79812344440139
2021-10-11,639.0604248046875,644.382736891103,633.6430362113549,637.7773270276911,2257738,6343,46.136831722079705
