Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,299.1545715332031,304.1202025851606,287.2273347511633,296.769112291395,2076948,10279,52.67508595800987
2021-08-12,306.6030578613281,316.1448668144855,298.18097265793574,301.8808389638809,3039844,10493,67.02813636303199
2021-08-13,323.64190673828125,326.6115630551808,308.1121757479045,309.5239532669388,3008613,3898,59.50710201464041
2021-08-16,340.1453552246094,375.1481291717605,328.12074626593176,329.38648206642284,6806499,15047,67.32511672662741
2021-08-17,349.4349670410156,354.95981773999125,343.4700715734764,347.0392207973006,2092633,8143,58.59281110972954
2021-08-18,352.90625,366.59615740802593,349.58156416923396,353.0040410212404,2777906,15001,58.36500863397184
2021-08-20,324.7930908203125,351.9284466411306,319.3171211548116,351.9284466411306,3614664,14584,77.38366279474697
2021-08-23,324.6463928222656,335.06049553935236,319.80602051070275,335.06049553935236,2047082,10480,47.113258208049274
2021-08-24,308.12078857421875,327.237759499973,296.7288328879648,326.40658036371457,2883740,17215,62.00779747757225
2021-08-25,314.1345520019531,316.8236415521644,302.93814902896435,311.64104453750275,1306229,5065,70.26917089894025
2021-08-26,311.4942932128906,316.6280088055295,308.0229355583304,314.1833823328443,885839,16321,58.047809580496306
2021-08-27,327.7266540527344,330.9046688075261,309.0986102728399,311.54323700729503,1925459,16830,60.49078123292917
2021-08-30,328.2156066894531,340.2920697300988,326.11323349134466,331.9803381418636,1580313,7713,54.746546166947745
2021-08-31,329.3401184082031,331.39361093746925,322.98408857672575,330.4646706363121,941828,14511,55.3677479546117
2021-09-01,322.6418762207031,331.29583173491795,319.75720448820647,331.00248843809754,699580,15996,46.99496252576768
2021-09-02,322.6907043457031,326.11318151300605,318.68151083853604,322.6907043457031,851350,6316,61.13226438983705
2021-09-03,322.3973083496094,328.41108270563836,318.3881154983808,324.3040988401598,1073408,12524,63.6032423888034
2021-09-06,322.3973083496094,326.6020533877102,318.77924971375313,324.20630782590973,846764,8133,65.29733450257774
2021-09-07,322.1039733886719,323.9618835125687,315.84573567793075,323.668540276765,852973,9686,69.65982206944015
2021-09-08,322.4951477050781,330.3179532755264,319.2193717457609,330.3179532755264,711712,17294,49.313027090822665
2021-09-09,322.25067138671875,323.17964144553036,318.9748955660998,320.0505074131864,509732,13452,61.94533300844628
2021-09-13,320.1971740722656,323.4240689459586,317.6058462451992,320.73497993733764,1408510,9206,64.76451839150326
2021-09-14,322.4951477050781,324.59755057544413,317.948147935582,320.6372373504236,806165,8392,60.443279661988
2021-09-15,323.81524658203125,327.5799776668277,319.2682468902067,322.49514219624103,2075403,15646,77.5875240125931
2021-09-16,317.9970397949219,326.94436717500594,315.7968758567881,326.60211348296957,1059689,13360,50.45374867724824
2021-09-17,312.3743591308594,320.2949244335554,304.30709237752643,319.65932756677023,8357693,5327,53.66083475987955
2021-09-20,307.33837890625,317.50804727451236,303.182514569367,305.67605107647296,1027298,7466,64.19010100160781
2021-09-21,311.88543701171875,313.5966754311618,299.4667234025371,307.3384081953233,736528,5642,57.26852825655904
2021-09-22,330.6112365722656,336.282757133405,309.92970593227,314.77004765902853,4529467,13294,70.26288208711131
2021-09-23,340.4386901855469,342.24771981575674,330.61130331034764,336.86954136150916,2884658,8180,62.82665574456087
2021-09-24,361.07135009765625,367.4273792801472,347.13697842834927,349.0926797152696,5668307,15345,70.82590547869239
2021-09-27,342.6877136230469,361.5602160038371,336.57614810574063,361.5602160038371,2315706,17667,69.13136256194649
2021-09-28,333.5448303222656,345.37682800763275,327.57993596766266,345.2301265510591,1403944,14418,77.40011186515471
2021-09-29,341.2698669433594,345.9635379904545,322.8862871936653,327.57995824076045,1628189,16208,58.02788882555409
2021-09-30,334.1803894042969,343.22550601582503,332.4691511264402,343.22550601582503,656587,13161,49.59297202963127
2021-10-01,330.5623474121094,335.40271929189464,327.57991534339567,332.4691678112075,715129,9823,70.22891367656408
2021-10-04,333.5937194824219,341.12318088696475,330.5134961229749,333.25146581100967,760487,15679,50.18131881062452
2021-10-05,334.0826416015625,336.5761784624997,328.5577918439415,333.44704469876206,983394,4708,50.23319388108124
2021-10-06,328.3622131347656,338.727435260796,327.57994460668584,336.9673161518008,572636,11594,48.84938539406901
2021-10-07,331.6380615234375,337.3584941313837,329.5356884703661,331.6380615234375,655406,7519,77.11842811040114
2021-10-08,343.0788879394531,347.0391709208082,330.5135017991758,334.91382948585124,2110387,10623,78.98346910875048
2021-10-11,338.58074951171875,345.6701659274876,332.46918363605596,345.6701659274876,822735,3008,61.10614521142965
2021-10-12,332.4203186035156,339.55861594372163,329.73122949237023,337.35845212551175,785527,11531,72.99684834256372
2021-10-13,333.5937194824219,340.29200192542976,330.122361859203,335.40274902420236,935211,5574,59.68103691733821
2021-10-14,331.931396484375,346.6480360057962,331.0024264822624,339.4608281625965,1301163,17147,69.4352386029515
2021-10-18,329.53564453125,337.3095685569929,326.74876441777815,334.13155418094965,1274211,3133,78.14634673748736
2021-10-19,338.0918273925781,346.35467647013354,329.5356350869091,329.5356350869091,2118081,13679,75.62645925060377
2021-10-20,333.3492736816406,342.7366456946715,330.5135128239628,340.29201912052974,645950,11264,78.36649233734363
2021-10-21,330.31793212890625,337.94518497678536,323.08184340781565,337.35846862823576,670780,12107,53.76577537533454
