Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,1504.7694091796875,1518.6452355922174,1485.2386292390192,1511.3270809115156,1370930,9162,46.49421923954338
2021-08-12,1542.9278564453125,1546.301825088264,1503.5337967360995,1511.137001776484,1645811,3559,58.7818762870839
2021-08-13,1585.6483154296875,1593.6317033263667,1544.4009079765895,1545.3513085353443,5439442,17954,78.40493461477811
2021-08-16,1573.9583740234375,1593.8693357419647,1571.3447724339362,1590.970567572785,1794407,11695,62.19130132438765
2021-08-17,1557.4688720703125,1582.4168860394022,1544.448431186054,1575.7640823143115,1838525,3426,71.14637928636176
2021-08-18,1551.861572265625,1578.7103887962264,1546.3967689009894,1565.309763748694,1570228,12360,48.83442320183087
2021-08-20,1514.5584716796875,1542.500274344146,1511.1370524998101,1538.6036548332938,2416059,16532,67.04669918364064
2021-08-23,1502.3458251953125,1538.6986500023477,1490.1332000645866,1520.736054541613,1973841,7377,60.69143817366283
2021-08-24,1526.1531982421875,1533.3286525438227,1504.293986327736,1511.1368236512021,1580003,12210,45.43876910661096
2021-08-25,1514.74853515625,1545.3513883219048,1511.136966440239,1534.8494151991692,1795313,9539,72.68457974552622
2021-08-26,1516.6016845703125,1523.4445221552032,1506.384878611277,1514.7484498956483,2051262,5478,78.77167835334636
2021-08-27,1556.8511962890625,1584.0326301871237,1518.7877219508207,1524.442559102309,4903187,15978,50.61230469712726
2021-08-30,1577.7601318359375,1601.3775653237913,1563.50412176089,1565.0247396324205,3345934,11516,62.682209636610665
2021-08-31,1589.259765625,1592.8713341492767,1563.4089168708592,1577.7124916655296,3264644,3848,78.82605438932401
2021-09-01,1602.7554931640625,1632.7881270118999,1589.2597358925007,1589.3073023257566,3530101,7145,48.91713264592423
2021-09-02,1602.5653076171875,1625.1848863599346,1598.5736718464384,1604.181058107777,2400278,15440,50.17843753030315
2021-09-03,1607.6025390625,1619.767712574896,1589.16474508915,1612.8297421159104,2336258,14565,62.29845161884169
2021-09-06,1610.168701171875,1630.8874813151428,1606.3670986513268,1615.6810712329504,1850835,8828,70.93412771907835
2021-09-07,1598.28857421875,1620.432953657413,1596.1501729602578,1610.1685812103733,1734879,3955,65.25236429131176
2021-09-08,1583.89013671875,1610.643820295918,1575.76416533442,1598.5737793078977,1644392,7146,59.30170209137965
2021-09-09,1587.2164306640625,1597.2430865143183,1573.1028901665754,1573.1028901665754,1225239,8340,55.31471758085196
2021-09-13,1588.78466796875,1592.5388200222578,1578.1402274449588,1579.6133948103113,1578773,14672,72.64928472573698
2021-09-14,1612.30712890625,1614.54066323609,1592.301264924745,1592.871482108994,1407269,6224,48.69767888094094
2021-09-15,1631.837890625,1639.0609122493202,1612.829877921156,1615.6810798267327,2757989,8173,62.44275917421621
2021-09-16,1635.8770751953125,1642.7674797240945,1624.4722676993974,1624.8048847148882,2128381,8026,48.75182429963736
2021-09-17,1631.0775146484375,1655.3127307111897,1621.478491489468,1638.4906859680307,3473932,13333,55.4264681836259
2021-09-20,1619.815185546875,1648.9449861714284,1615.6333998427826,1615.8709999848822,1820374,17071,51.889859758734744
2021-09-21,1635.5443115234375,1644.905733633772,1608.4578961494306,1614.350333087675,2029747,12553,77.80880137320997
2021-09-22,1626.0404052734375,1644.1930334803994,1621.3834191430992,1635.5444112473126,1487933,17616,60.503386109011494
2021-09-23,1681.923828125,1686.9609975097574,1629.984530225494,1633.0733320519203,3702946,14470,74.21059337632738
2021-09-24,1681.0208740234375,1720.224894407023,1663.2008647581713,1691.7128795825972,3612494,11719,69.34118622349112
2021-09-27,1653.3167724609375,1694.3265793688959,1650.8457542357437,1684.1097734632917,1650711,10411,57.07089938304402
2021-09-28,1650.98828125,1671.8020757746851,1633.738488663936,1658.7340686664077,1442615,12009,54.47629659481851
2021-09-29,1635.639404296875,1655.5978165515144,1631.4576185260971,1646.0938107159718,1698747,7686,71.68607739556894
2021-09-30,1618.4844970703125,1648.232079347175,1612.8296604596544,1634.6413056901204,1792078,13271,52.66293885434709
2021-10-01,1612.7347412109375,1627.5609668149893,1603.800952700902,1613.304958346537,1563937,6713,52.31252735816673
2021-10-04,1630.174560546875,1638.4429990126325,1600.5221094810274,1612.3545500468,1588493,17220,72.19540273597913
2021-10-05,1631.552734375,1653.6971157216926,1621.383493920234,1629.4618993705988,1705242,12927,63.09576399503352
2021-10-06,1610.9765625,1649.800403302305,1606.176993126096,1631.5526424100342,1845661,10923,54.10618277774111
2021-10-07,1627.5133056640625,1643.5276470575257,1615.6808657301372,1625.1848708226673,1378863,5881,59.589281410171395
2021-10-08,1641.246826171875,1654.6474514844913,1634.6890388014504,1653.6970508805368,1755402,7311,68.4036549296791
2021-10-11,1631.74267578125,1660.2071249453134,1629.9368915903447,1647.7569013380526,1528151,5511,66.33135347493756
2021-10-12,1632.978271484375,1639.9638087367525,1615.681026896818,1625.660233239416,1671988,12447,55.406463669657086
2021-10-13,1665.1494140625,1676.411637945189,1638.5381973196136,1641.3418326773171,2105025,4851,50.327484764017385
2021-10-14,1700.5518798828125,1727.7333144773747,1679.7855334730561,1686.961104577681,4440909,8597,59.80255060563292
2021-10-18,1699.743896484375,1720.7002759951517,1693.6138590573655,1717.5164572073584,1918546,4830,70.57347551378194
2021-10-19,1754.487060546875,1791.5051172259816,1712.6694344683906,1720.03503906176,6639827,13107,49.80197171417666
2021-10-20,1717.0887451171875,1775.9661328396749,1707.204671531428,1762.9931412387405,3295376,10617,64.69525078550494
2021-10-21,1716.1859130859375,1735.9067258764862,1702.2150704309615,1724.9771187877484,2774633,17619,59.36504907916647
2021-10-22,1703.35546875,1740.658692155461,1692.996079047,1725.9274829125402,1520637,5002,50.45613727765421
2021-10-25,1695.6572265625,1722.8862265199737,1673.0376462381355,1703.3554480961882,2488386,12692,70.29571212404934
2021-10-26,1707.1568603515625,1722.0306510505943,1693.1860197169628,1696.4648549631393,1930107,7729,45.773463142170435
2021-10-27,1696.0374755859375,1724.0267274841826,1687.0561201029086,1711.6715194040864,1408879,17167,67.24109555957288
2021-10-28,1724.26416015625,1769.6457854270013,1702.1673478516432,1710.293318782839,6379424,6867,63.96115152405589
