Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,32.666744232177734,32.85688826146864,31.744546397866518,32.22941438030801,53219573,7996,78.09367380667238
2021-08-12,32.98048400878906,33.275205130985896,32.37202311496532,32.84738177276576,36126762,15916,57.98365288010918
2021-08-13,32.65724182128906,33.275209285993455,32.134347798615615,33.275209285993455,72456004,13200,56.14255001622851
2021-08-16,32.78083419799805,33.36077279227473,32.353007999483594,32.514629720167484,39753361,7410,49.77784955560616
2021-08-17,31.849124908447266,32.932944411812464,31.563907461667835,32.70477158678836,53041491,16665,70.74298752339246
2021-08-18,31.74454689025879,32.03927084798086,31.525880545432813,31.982226222809405,32955064,8432,63.99263277130475
2021-08-20,28.711748123168945,30.774812942685404,28.578648719554266,30.774812942685404,113703285,8653,73.61150154349818
2021-08-23,27.913143157958984,29.41528238645476,27.618419208418874,29.015978514336112,58478498,4868,71.09546398605488
2021-08-24,29.424785614013672,29.54837851007068,28.198357483990062,28.33145687259029,57021084,14667,74.45562157167177
2021-08-25,29.710006713867188,30.023743654594433,29.196616419041945,29.83359962521448,46794557,5186,61.543659438776906
2021-08-26,28.245899200439453,29.938182652862142,28.12230627627909,29.51986574485866,170784608,6287,54.75284109357159
2021-08-27,28.939918518066406,29.472321749673412,28.569139819303228,28.61667511437567,118759083,14523,58.22607096255925
2021-08-30,29.576906204223633,29.66247031468936,29.206124617540294,29.282182233731806,56972640,15130,76.75485016844485
2021-08-31,29.291688919067383,29.805076366591173,29.09203557130942,29.662467641335095,49625365,6123,64.73879396860048
2021-09-01,28.939918518066406,29.282177738385197,28.521601693232334,29.282177738385197,50825615,12425,72.93906234809783
2021-09-02,29.14908218383789,29.329719726094588,28.721255978861688,28.882880532985485,31373438,15718,61.955733780297535
2021-09-03,29.39626693725586,29.805077308104508,29.054007684428818,29.054007684428818,36345345,7695,49.030171341916386
2021-09-06,29.21563720703125,29.643460638158825,28.76879795423174,29.28218550538499,43437732,9947,53.60480711587208
2021-09-07,28.77829933166504,29.41528253290739,28.71174821414747,29.187109699417476,28997457,15303,53.57661537018809
2021-09-08,28.94942283630371,29.07301855760582,28.70223705569597,28.97794514360406,21590313,11707,77.73006848385316
2021-09-09,28.90189552307129,29.14908420291286,28.76879610392508,28.90189552307129,21970909,10184,70.45972925857582
2021-09-13,28.816328048706055,29.025487894261833,28.559632904068945,28.901892153252195,21472361,9771,55.142377846260196
2021-09-14,28.88287925720215,29.225138507465907,28.7307640348627,28.92090806278701,30669094,13304,76.55450786358404
2021-09-15,29.32971954345703,29.377254844492104,28.825835727089277,28.92090916015824,30837941,8853,68.5847192962161
2021-09-16,28.920909881591797,29.415284385285684,28.84485226563889,29.282182141868656,26924238,3493,61.528294790662855
2021-09-17,28.02722930908203,28.920907642849244,27.770536998360466,28.901891824833573,80907360,4275,59.164905073908706
2021-09-20,25.859588623046875,27.228625667796415,25.66944458905388,27.228625667796415,89290683,17539,70.88696269986663
2021-09-21,26.258892059326172,26.382484971551047,25.39373601175453,25.85958817929359,59720787,11323,73.46264202858279
2021-09-22,27.494827270507812,27.7039871230581,26.116283734058467,26.430020681885104,78727652,11485,45.99790343052383
2021-09-23,27.171579360961914,27.90363306251976,27.000448343286987,27.90363306251976,41861820,5547,53.8975742357976
2021-09-24,26.62016487121582,27.580394370176638,26.487065462359144,27.304683396475653,40101188,17376,63.77001352584109
2021-09-27,26.59164047241211,26.876855056367706,26.353958349617784,26.80079745651311,30566133,6476,72.32652110521809
2021-09-28,26.715238571166992,27.171584259235335,26.45854341387884,26.629674462403884,38076366,16600,48.80061289663112
2021-09-29,27.171579360961914,27.542360873425647,26.439525659404065,26.439525659404065,52056917,10281,73.13102326238732
2021-09-30,27.190595626831055,28.21737336378831,27.124047341203195,27.618418976146913,72724916,4086,55.39686611378125
2021-10-01,27.314189910888672,27.646939814290462,26.800799654271227,27.05749478257995,44581565,3981,76.06350949448804
2021-10-04,28.21737289428711,28.274417516446032,27.20961099213331,27.53285441437179,61629842,11164,70.21407817901104
2021-10-05,27.88462257385254,28.436038814723865,27.78004265541192,28.1413148768451,63747805,7541,62.436449070059155
2021-10-06,27.257150650024414,28.302944354903165,27.152570713336726,28.046249176123954,39836702,15492,66.77134385819494
2021-10-07,27.44729232788086,27.789551592974284,27.27616411083356,27.54236576146178,28177494,5727,52.469277992931936
2021-10-08,27.68497085571289,28.34096988454031,27.447291525209547,27.656451374371585,37034815,10090,78.46786334034752
2021-10-11,29.101545333862305,29.28218003550766,27.761027825870897,27.837085436352737,107476673,7004,48.90331856720063
2021-10-12,28.825836181640625,29.43429710368053,28.388506309423867,29.43429710368053,66394259,3860,69.10628737127018
2021-10-13,28.825836181640625,29.472325911308026,28.59766333587566,28.825836181640625,59123966,16836,54.5842063219497
2021-10-14,29.196619033813477,29.35824076551117,28.958939683552284,29.054010291257168,38375225,11831,71.50639422693513
2021-10-18,29.957195281982422,30.34698987018429,29.519865389828883,29.586413682961627,92894485,8302,55.38033936461354
2021-10-19,28.968442916870117,30.223393481886166,28.806821203367715,30.223393481886166,58258416,10014,59.86661543779577
2021-10-20,28.359981536865234,29.06351583246999,28.169837515215114,28.99696471714279,47338188,8651,74.99643002788069
2021-10-21,27.751522064208984,28.5786493077627,27.418769301825492,28.52160468289753,57542293,8048,72.11062750838038
2021-10-22,27.095529556274414,27.951176397851945,26.81031205508248,27.875118775000647,38840223,11486,66.16731038288088
2021-10-25,26.715238571166992,27.371234790015524,26.39199229328583,27.19059724740543,32597293,3570,59.260559962630914
2021-10-26,27.10503387451172,27.247642613654442,26.5726305573112,26.772281093511666,39322144,7334,49.982831480262156
2021-10-27,26.677209854125977,27.3712348826627,26.62016522742493,27.19059733944118,36682415,14829,52.400346784411994
2021-10-28,25.583877563476562,27.0479878737294,25.308169453382966,26.67720634198374,106995970,9812,60.216904175635705
2021-10-29,27.219120025634766,27.532856983791508,25.40324373642642,25.422259555920192,152027120,5324,77.64034242929863
2021-11-01,27.694482803344727,27.884626851955066,27.266656570722212,27.380742999888415,53821686,15131,68.91714287195957
2021-11-02,26.971933364868164,27.665958381700133,26.924395233086074,27.665958381700133,43235320,5498,66.97897999209201
2021-11-03,26.9814395904541,27.25714772945342,26.810308545938092,27.086019515936176,31103601,4181,51.13495114821376
2021-11-04,27.06700325012207,27.1715831738767,27.009961456891457,27.15256735546735,5311373,7545,57.84381685224281
2021-11-08,27.618419647216797,27.78004419595102,26.933901139279588,27.380740317488282,29512651,15833,68.9469075437075
2021-11-09,28.103286743164062,28.23638897544427,27.532854671245985,27.761027500013217,41662772,3402,55.9572830360876
2021-11-10,27.428279876708984,27.960683188387925,27.38074174348849,27.88462557243379,30814492,8046,57.56399890858448
