Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-10-01,492.07098388671875,492.07098388671875,459.6459477652111,468.6390206562695,2132033,5915,50.540790314556496
2021-10-04,516.6520385742188,516.6520385742188,516.6520385742188,516.6520385742188,229666,5254,55.591256761983345
2021-10-05,542.482177734375,542.482177734375,542.482177734375,542.482177734375,598641,7079,53.51654799272001
2021-10-06,569.561279296875,569.561279296875,569.561279296875,569.561279296875,87885,12917,63.101207343907774
2021-10-07,598.0393676757812,598.0393676757812,598.0393676757812,598.0393676757812,20927,6046,49.05723599505948
2021-10-08,627.9163818359375,627.9163818359375,627.9163818359375,627.9163818359375,18805,10286,58.60363993817872
2021-10-11,659.2921752929688,659.2921752929688,659.2921752929688,659.2921752929688,12686,8520,55.28328553741227
2021-10-12,626.3674926757812,692.2167942106908,626.3674926757812,692.2167942106908,772602,13313,46.200015726475534
2021-10-13,595.0916137695312,595.0916137695312,595.0916137695312,595.0916137695312,132969,4032,59.13950931704642
2021-10-14,624.8187255859375,624.8187255859375,575.007117039404,575.007117039404,862242,3740,76.11049200435512
2021-10-18,749.7724609375,749.7724609375,616.6750284908544,643.4044400756503,3670817,4982,74.21510013302971
2021-10-19,899.70703125,899.70703125,811.1751856751627,830.3604205867157,1666350,5459,46.61241084338857
2021-10-20,989.6377563476562,989.6377563476562,825.0145572976206,977.2472756961145,6155927,5672,57.91550768576727
2021-10-21,1088.5615234375,1088.5615234375,934.6300454864514,989.6377228085477,4177670,5718,45.33852704243976
2021-10-22,1197.3778076171875,1197.3778076171875,1152.7121366515553,1177.7927946785044,266248,6792,63.02478276322408
2021-10-25,1137.5238037109375,1257.2315210750335,1137.5238037109375,1244.0417298383738,1008261,10687,55.13999938461535
2021-10-26,1080.6676025390625,1080.6676025390625,1080.6676025390625,1080.6676025390625,81234,15492,49.66913556181546
2021-10-27,1026.6591796875,1077.1703229347727,1026.6591796875,1061.2825358913901,816381,6185,57.97211668703444
2021-10-28,975.3486938476562,975.3486938476562,975.3486938476562,975.3486938476562,47113,16749,68.47389297263625
2021-10-29,926.5862426757812,926.5862426757812,926.5862426757812,926.5862426757812,49548,15263,63.34439871219193
2021-11-01,880.27197265625,880.27197265625,880.27197265625,880.27197265625,48211,14344,52.093587873828625
2021-11-02,836.3058471679688,836.3058471679688,836.3058471679688,836.3058471679688,57116,17363,71.00179815422005
2021-11-03,797.5856323242188,878.073620253364,794.5379921272337,838.3542160939658,4860471,12260,70.28707260969684
2021-11-04,814.9722290039062,824.3650184579717,779.449603133444,813.2735862412634,565137,11397,72.81539885986764
2021-11-08,774.2536010742188,824.1651685305512,774.2536010742188,819.3688751177418,632449,14329,58.64741601274811
2021-11-09,812.923828125,812.923828125,741.7786159630451,753.7194306827823,3269902,6503,77.70489488419558
2021-11-10,804.0307006835938,836.8553922717579,797.3857946661047,812.3742494530617,1533686,5004,68.57148406284242
2021-11-11,788.9922485351562,811.375032446185,781.797838909921,807.3781111040855,733024,6709,56.098938960830004
2021-11-12,788.4426879882812,806.3788847982197,784.046111082909,797.3858117335556,388347,5194,57.56469598274907
2021-11-15,788.5426635742188,819.3688958078134,785.0953066320252,811.3750529218835,585353,12470,77.70906628986776
2021-11-16,775.6525268554688,797.3857860620471,774.4034889700332,789.3919435952597,403141,3377,52.25833394422385
2021-11-17,752.72021484375,777.4012168302118,750.4219972229936,777.4012168302118,487805,8482,47.93242599457514
2021-11-18,720.7947998046875,767.6087790242938,715.5488403854738,754.6187842719552,477613,3041,58.08905690333231
2021-11-22,684.7725219726562,726.7401951598039,684.7725219726562,725.4412079492658,445313,11169,64.90095186461033
2021-11-23,681.9247436523438,706.3559371585993,650.5488872288242,664.6880206431947,1191991,16758,73.64671487280575
2021-11-24,715.9984741210938,715.9984741210938,683.5234886973848,686.1714734425894,220563,13113,59.01989834744411
2021-11-25,751.7709350585938,751.7709350585938,732.3859027162927,734.3843634312627,850837,17546,68.23044558580922
2021-11-26,773.55419921875,789.342026538276,754.4189136365378,767.408908175975,1755992,7199,55.50152328067694
2021-11-29,734.8839721679688,758.0661284560416,734.8839721679688,754.4189132879205,337765,14408,75.74063813387592
2021-11-30,704.7072143554688,732.1361000505281,701.7594725834282,709.4535585854418,451495,12166,72.00924187338012
2021-12-01,711.3521118164062,727.339797444638,705.7064359336647,715.4489318633683,221037,13245,78.66358600094199
2021-12-02,746.8746948242188,746.8746948242188,709.4535081475339,711.3520700998191,300986,6898,56.50762813241164
2021-12-03,759.3151245117188,784.1959222297738,746.4250293288414,762.4127140266479,894779,5000,46.01771545727847
2021-12-06,730.1376342773438,767.3589650867992,726.2406114885981,759.6149298177179,402790,16188,45.88758424389558
2021-12-07,737.6817626953125,760.2143935708627,731.1867658006026,745.4257974543896,423878,6182,76.70674541044153
2021-12-08,735.4335327148438,755.4181395820949,733.3851227085866,744.2267475387982,262965,9820,70.95692857331196
2021-12-09,736.1329956054688,746.3751064781853,734.4342918484555,745.4258254679562,182438,11041,50.45378299695154
