Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,1521.673583984375,1538.2598046921378,1505.6409934971794,1512.2610474297355,602514,15180,48.7552824128137
2021-08-11,1490.378662109375,1533.8543817191485,1485.2992521791102,1524.778843322931,575418,4899,74.35658571003113
2021-08-12,1524.9954833984375,1530.0748933529883,1491.871119844827,1497.8412749139402,259504,6360,64.59800226523532
2021-08-13,1504.2926025390625,1534.889305906735,1493.0024271068962,1532.6264750434996,287386,15695,60.89023051013487
2021-08-16,1499.237548828125,1521.4087344319628,1473.9609796643028,1511.7795652266973,353788,7426,58.70954810430524
2021-08-17,1546.3963623046875,1573.406228607575,1499.7671815332017,1499.7671815332017,1026918,11346,61.22059887442122
2021-08-18,1547.6240234375,1567.1471862402343,1540.6669726478494,1558.9864893782026,414474,15148,76.694766233421
2021-08-20,1531.8563232421875,1563.7770419105905,1517.6532990006965,1563.7770419105905,433050,7892,65.65024962742183
2021-08-23,1547.60009765625,1552.703604583318,1522.3717202147138,1532.0008898555404,447412,17155,68.50869879714432
2021-08-24,1547.985107421875,1582.5297494796846,1535.8523785980883,1544.518630264159,550334,9264,65.5912197066734
2021-08-25,1553.3536376953125,1576.776546087704,1543.3392776496128,1557.036748106148,406620,7910,60.943852525476544
2021-08-26,1547.575927734375,1562.043659298962,1531.0377839002922,1558.480913989071,267792,5864,60.2539142190997
2021-08-27,1566.425048828125,1571.9618209386285,1537.0319872893037,1547.5759977476193,405546,6935,46.19680398415973
2021-08-30,1600.05517578125,1606.8918630699059,1574.369317422987,1574.369317422987,726446,7537,78.24728159668516
2021-08-31,1599.42919921875,1617.1468951484492,1583.9984311151288,1606.89180580911,405876,9546,70.93470845526205
2021-09-01,1604.7249755859375,1668.2533892223605,1593.6273357362231,1622.514840311502,597098,14912,75.00734857639125
2021-09-02,1628.7498779296875,1644.180645121016,1598.9235497648299,1613.3673036019106,293988,10880,59.35372825645307
2021-09-03,1656.8670654296875,1668.2535106276564,1622.9964168328513,1636.9587117269932,822686,16757,63.06454043638724
2021-09-06,1700.36669921875,1709.17741192131,1654.1225939029837,1669.6978209980573,609896,11056,75.65766259280966
2021-09-07,1691.8690185546875,1722.658261628178,1681.2528366700942,1709.1774255953135,404206,13365,50.87896491938709
2021-09-08,1667.1944580078125,1701.955736962663,1661.9946828840489,1695.6967766852897,338078,6878,76.60395895804295
2021-09-09,1682.9378662109375,1697.1408892557731,1668.301577616055,1668.7107467369756,258832,6049,73.19084688731776
2021-09-13,1727.3284912109375,1757.3233767390604,1687.8729939734142,1687.8729939734142,538688,8110,76.49951496035183
2021-09-14,1727.2803955078125,1747.9590125854693,1718.8066797052836,1738.5223798755426,344584,8296,57.34416188389165
2021-09-15,1759.1046142578125,1773.5965597881884,1729.3986531070848,1736.620529442443,594994,17562,69.32512996249773
2021-09-16,1779.181396484375,1784.7663611682544,1759.4176223978423,1769.0707696744118,281598,7043,66.02366498481878
2021-09-17,1703.4000244140625,1809.7060754498043,1697.2855255061402,1790.0625468545745,570960,17344,72.69418218153933
2021-09-20,1700.43896484375,1742.3980190589846,1689.919051366962,1706.2404447601766,515502,3625,49.296767714552985
2021-09-21,1723.7896728515625,1742.8794518747006,1694.7336106626924,1700.5111116081334,414466,17405,64.9776584689844
2021-09-22,1789.605224609375,1834.356765766809,1733.2745837708667,1735.6577796822432,735746,5358,58.20203889904352
2021-09-23,1816.0611572265625,1848.1985067082362,1796.3213620393174,1805.3969002586819,349178,16059,70.39560934235993
2021-09-24,1807.5875244140625,1845.4302049054163,1793.6493260516531,1841.5785373762633,493842,14939,52.226197324525614
2021-09-27,1737.0057373046875,1829.0364686541627,1726.0284616549063,1815.724190158405,358474,7750,72.62742490676717
2021-09-28,1690.6171875,1752.1716950472528,1656.433638828762,1752.1716950472528,715810,9877,53.09472810161666
2021-09-29,1705.68701171875,1721.2140475321519,1651.113646578868,1684.623203444755,558432,12143,46.51616011023732
2021-09-30,1789.2442626953125,1811.7524477670163,1748.1758287776906,1748.1758287776906,757602,9788,59.90180446704815
2021-10-01,1754.0733642578125,1810.235441151917,1735.6575799490604,1786.3551743783366,641992,14384,70.84589398069022
2021-10-04,1788.281005859375,1793.5770483992499,1757.2991099836838,1766.9523746673492,658814,6567,56.00595360748645
2021-10-05,1805.9747314453125,1824.7275144505436,1733.2504095044742,1787.6552140250312,713308,14169,48.63297390997077
2021-10-06,1791.699462890625,1826.1478391520452,1781.6852209750082,1819.4315171555143,211844,14115,57.868975150612314
2021-10-07,1835.2474365234375,1840.1341927651856,1797.7658492373635,1817.4574527913906,550172,14730,54.73793398500853
2021-10-08,1931.851806640625,1959.030109483282,1839.6525241554712,1839.6525241554712,1577146,17943,51.445006723261045
2021-10-11,1900.5811767578125,1949.9065675314712,1878.1933606120808,1945.0678869848111,460282,15624,74.37694437423909
2021-10-12,1873.37890625,1923.3543163583574,1865.6755711286676,1901.760858078946,387714,3769,52.10393866115408
2021-10-13,1926.9654541015625,1939.0258953640773,1866.1331262528497,1887.3173000286818,484052,3077,50.23240356963199
2021-10-14,2027.90283203125,2065.4565881799767,1970.8259137605953,1971.5721978081597,1311418,7565,56.26088329627987
2021-10-18,1987.701171875,2064.132699314786,1974.4610647594466,2046.1983724037182,497360,17448,56.08550986049162
2021-10-19,2018.25,2113.602759380947,1974.5334282980984,1997.282341824465,1417784,8188,71.74479286456173
2021-10-20,2034.30615234375,2062.567855415215,1907.1530551259173,2021.6438900299927,726160,3888,69.34778558792361
2021-10-21,1943.52734375,2043.2856258383592,1921.0191618412089,2034.3062379269686,862254,12830,51.73216261780041
2021-10-22,1864.1590576171875,1969.1652000195215,1768.252551090722,1947.4513753686244,1495080,5047,55.60403805198697
2021-10-25,1906.430908203125,1961.7745308292906,1768.5412618492662,1880.5766142047216,1020768,13319,65.11312674649201
2021-10-26,1891.9151611328125,1964.3505646973113,1849.281989951562,1906.4310870383306,738320,5612,59.8548140077132
2021-10-27,1944.1534423828125,2005.2745730267372,1904.48119302896,1973.9797717670162,1723522,16623,72.99245204404309
2021-10-28,1920.297119140625,1973.9797388683871,1905.131177244441,1952.3141075881244,752792,15380,46.122568301355756
2021-10-29,1889.0985107421875,1944.105139061928,1878.1694273549876,1924.870897350741,417422,7706,46.83325288122811
2021-11-01,1950.3399658203125,1973.3056276579644,1858.5258639622782,1903.8311506074492,445980,12237,56.08714228221575
2021-11-02,1960.643310546875,1986.7143566870716,1944.1533582886775,1950.3400289747356,342076,15055,45.43034414066901
2021-11-03,1927.278076171875,1965.794750189799,1918.7080926941746,1965.794750189799,133602,14173,77.42056678807842
2021-11-04,1949.593994140625,1959.9934270552435,1930.6244590049353,1949.6661658970881,53084,13504,70.66378101031444
2021-11-08,1975.95361328125,1983.608755392646,1922.607995088677,1955.2027076819259,609484,16763,52.38314833365595
2021-11-09,1991.962158203125,2010.0890217652097,1969.381686450449,1984.571724003879,377424,10035,70.88249173526606
2021-11-10,2000.0748291015625,2021.6440740804735,1973.9796865277306,1989.1456280217851,255868,16091,54.36780846888056
2021-11-11,1988.6881103515625,2007.031724348477,1973.9796487112626,2000.0747907851774,179188,13690,74.6229966867651
2021-11-12,1996.584228515625,2012.496336374835,1981.2015368857526,1995.2841966558397,406404,7331,59.45679258945355
2021-11-15,2049.01513671875,2058.0906761621045,1994.2010412826737,2000.4600015764145,524832,4473,51.43328524565516
2021-11-16,2070.84912109375,2079.4189872285374,2043.7910629277937,2051.0369183622156,593044,17437,52.4027377541896
2021-11-17,2078.19189453125,2089.8672646066675,2055.828050393152,2070.2718071874833,360424,13344,59.98733954995856
2021-11-18,2003.565185546875,2137.603159285907,1976.5793007323969,2093.381157503828,944192,7804,68.8688909004614
2021-11-22,1975.111083984375,2003.5653248869514,1904.192232061404,2003.5653248869514,431778,8271,50.03140617068383
2021-11-23,2011.4130859375,2024.5088501147768,1925.8338444737,1963.7005054232363,298572,5559,67.95196281890601
2021-11-24,1977.4462890625,2022.1015614107698,1959.7766694731265,2011.0038028099402,318870,9549,65.98906785637236
2021-11-25,1956.79150390625,1990.3491326829765,1945.1161370781024,1990.3491326829765,458902,10479,62.54154653562392
2021-11-26,1882.069091796875,1973.979453990882,1871.645446836863,1954.7211178543853,298778,8136,51.69429316042852
2021-11-29,1931.731689453125,1943.888515463142,1805.4692094084912,1829.5421322006043,472990,5330,46.24685575302911
2021-11-30,1992.6600341796875,2050.531430865398,1940.2774516054365,1951.0380944152632,983242,15268,58.37570482127185
2021-12-01,2025.4716796875,2034.1619105010611,1978.794189860204,1993.2379430708622,348362,7112,59.934135474026974
2021-12-02,2114.854248046875,2132.908938330216,2022.4142337961682,2026.9638746953024,980888,7602,76.0373002445067
2021-12-03,2087.724365234375,2135.172005115651,2077.8304873567386,2126.4817734560797,549884,13519,73.1666000256397
2021-12-06,2041.72119140625,2092.635428689487,2034.1861776771095,2087.7244578670193,280808,5950,58.28215893024477
2021-12-07,2010.73876953125,2069.452478422256,1988.5674698903263,2054.3829250341832,410144,3862,64.31872731825797
2021-12-08,2063.93994140625,2108.2098992119027,2026.0250932816082,2028.865650758605,720126,8162,77.26077584414561
2021-12-09,2088.638916015625,2096.486829758438,2061.1236127714565,2082.909607510515,440200,10173,50.69327754252063
2021-12-10,2088.3740234375,2098.6289934237147,2065.456556354236,2087.1943563110312,237402,12198,66.10793071613476
2021-12-13,2124.676025390625,2190.635829487275,2098.6772704912155,2099.1587289152785,1099526,5402,56.59757517314308
2021-12-14,2122.22021484375,2147.0635127316577,2082.4517080995397,2141.5267417043196,665102,15802,56.017313672385995
2021-12-15,2110.449462890625,2142.4904336557092,2087.1227033477526,2128.046677923199,393188,10239,56.644483838167005
2021-12-16,2168.34423828125,2195.4502515184454,2118.4169093599035,2118.4169093599035,766050,4667,61.892585520072615
2021-12-17,2234.03955078125,2287.938922419973,2191.141552584685,2195.4507000769336,2636644,13241,61.021095296776195
2021-12-20,2126.866943359375,2248.411238046225,2095.451775632926,2248.411238046225,896152,16307,50.03960017346853
2021-12-21,2133.005615234375,2193.9825256657914,2111.219616917233,2166.466982815399,1293550,7757,56.63922395901392
2021-12-22,2185.62890625,2204.8390520873118,2134.064657359321,2141.0458051386126,626316,12095,68.5264753350154
2021-12-23,2229.007568359375,2252.2619100352617,2176.215478101749,2200.2644140361576,541704,10132,60.1148772998011
2021-12-24,2223.399169921875,2305.6082028081823,2215.9125848271146,2258.521658973166,730208,5177,66.6579621043595
2021-12-27,2225.565673828125,2233.8950461021404,2183.3419086291847,2225.7824241664343,375820,3718,66.9232071564298
2021-12-28,2237.3857421875,2253.2256791108284,2222.4363153795725,2238.781924757554,291444,6292,66.26005639144671
2021-12-29,2237.939208984375,2255.1273694443853,2222.6289245228677,2236.3744690437093,316224,5432,73.00988646521017
2021-12-30,2316.103759765625,2339.887757027455,2230.6448962116388,2244.510803699923,977934,10077,74.58068180091456
2021-12-31,2361.240966796875,2371.1830374899355,2311.482185378514,2339.262433984576,698628,12686,61.47826703799997
2022-01-03,2345.7138671875,2401.274127809,2311.2413935934046,2378.4048504012953,606706,5385,50.18258243941273
2022-01-04,2328.429443359375,2361.529711703542,2318.246409100881,2349.51722937506,364328,7721,52.75340348115298
2022-01-05,2252.719970703125,2329.2476455917,2249.2051831810945,2328.8383589168384,739942,15946,61.029776155639155
2022-01-06,2183.0048828125,2215.190428668549,2167.5742328267474,2215.190428668549,893358,10245,61.22325871690154
2022-01-07,2188.27685546875,2205.0315155502203,2171.5219603001447,2194.9690809288204,446256,17255,58.30480122968948
2022-01-10,2163.60205078125,2213.071905335081,2144.8973434288723,2199.783605415604,688840,9242,55.232941701309244
2022-01-11,2162.687255859375,2185.5565309373847,2155.056092842236,2166.562902127221,359116,16496,68.41925329749503
2022-01-12,2159.582275390625,2184.858848672981,2154.526960734154,2184.858848672981,557828,6960,65.73740411985122
2022-01-13,2175.397705078125,2187.121264655173,2130.958951736189,2173.3033139278728,475882,12804,60.691382758132036
2022-01-14,2140.34765625,2180.982940117549,2130.5741431202155,2180.982940117549,374448,16128,70.57211494625813
2022-01-17,2107.752685546875,2133.7514389259513,2084.1370101752827,2125.6148390525136,658630,12546,65.46818143374348
2022-01-18,2093.862548828125,2147.304430391685,2074.724577727661,2095.355116862186,546856,17288,59.80552963241857
2022-01-19,2054.503662109375,2083.03007654021,2017.9849900357633,2070.3435988012197,640300,14385,59.31223647919564
2022-01-20,2044.609619140625,2104.7437303368038,2013.892430097734,2055.8275065819716,775322,6152,53.71669936327608
2022-01-21,2071.041748046875,2166.298350892059,2044.2726107892493,2049.5686538223817,1894132,15856,51.51716918146408
2022-01-24,1957.68212890625,2098.316181945908,1935.462869597327,2061.6049770188442,1060836,16241,72.36319439927694
2022-01-25,1995.187744140625,2022.5347244463776,1829.5661591631374,1954.7212564984575,934114,16922,52.86834811945536
2022-01-27,1967.49072265625,2012.6043322117894,1932.0770748003504,2000.4613087056698,1173746,6282,73.6332835376618
2022-01-28,2074.022216796875,2109.4600818261197,1972.812665482835,1983.5528548792133,918400,10574,63.95541935024001
2022-01-31,2128.73876953125,2147.4614269477947,2075.473084385842,2119.522366196447,595884,17626,46.8695599434477
2022-02-01,2175.4736328125,2197.413472065404,2125.4251166925574,2158.202115874466,685796,6256,55.82117078997261
2022-02-02,2146.179931640625,2193.519160594085,2125.3527213534912,2187.7136400984673,469574,9806,72.53366626882533
