Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,838.7440795898438,848.6615660775661,828.9252505873902,839.5828489059942,233278,13148,62.265814672712466
2021-08-11,880.2890625,891.0947080490117,839.7802841082049,843.8262049805847,1539013,6296,75.58161523864518
2021-08-12,922.9194946289062,932.5409488632092,893.0683161070945,893.0683161070945,1921038,15240,46.94802866950622
2021-08-13,908.4132690429688,931.55411150733,902.93645342077,927.0147829375064,657090,14552,52.91402719143181
2021-08-16,891.7360229492188,911.324290316467,888.4794829857096,904.4165804819079,248589,16116,46.80014058140925
2021-08-17,907.7719116210938,920.4031422756977,885.1738048846967,888.1342523926722,689765,10094,63.76956451661046
2021-08-18,892.2788696289062,913.2980343871876,878.2660730465661,910.2389294608937,817652,13794,48.898754738046534
2021-08-20,872.6904907226562,889.2196546545255,868.3978662713374,878.2660238426026,224072,6214,74.24227229024767
2021-08-23,846.58935546875,886.1606476001352,836.819854303914,879.2529365386644,250820,17825,57.57052685534914
2021-08-24,857.1481323242188,871.0622704720132,822.0175158817191,839.9282457521156,619112,16077,57.66205040529749
2021-08-25,867.7070922851562,876.2924015081854,856.802790100768,858.3323424942465,163323,9181,52.36451785498573
2021-08-26,873.4306640625,896.9169289207808,859.7632889557879,860.8981512486015,694907,11639,60.474181196401084
2021-08-27,853.9904174804688,873.3319830698327,848.6615880678601,873.3319830698327,287234,12563,55.26464967088452
2021-08-30,871.0623779296875,880.0917069753183,856.0134359565087,858.5298043715055,175659,12234,52.021088824054075
2021-08-31,862.625,880.2396368012063,859.615163819849,870.3714794379641,167601,9071,78.233261859849
2021-09-01,868.9406127929688,874.9108361455222,848.4148568569434,866.4242446297137,192836,5180,60.64621645568937
2021-09-02,886.1112670898438,911.7191493607644,876.2924377513805,876.2924377513805,935715,7965,74.74468873301208
2021-09-03,882.9041748046875,899.7787021634608,877.3779697701907,888.1342868925178,390231,5227,75.32925936156143
2021-09-06,891.7360229492188,900.4693177193028,882.9040104717998,883.2000431329052,244098,14864,60.2002647171642
2021-09-07,884.6310424804688,915.5676939464518,878.5127724292537,894.0551213938824,468231,10034,50.30074195559648
2021-09-08,881.3745727539062,897.6076447906512,874.3188155564986,885.8645726838668,287870,11164,56.623790809004376
2021-09-09,897.1636352539062,901.9989966789514,875.0096078411747,875.0096078411747,321527,13908,57.35382526468518
2021-09-13,885.765869140625,896.9662650028222,883.2001720625708,896.9662650028222,178203,5930,75.12606832398023
2021-09-14,883.2494506835938,912.804595301892,878.3647005329142,888.8743126683019,575101,12739,45.6263926785959
2021-09-15,890.9465942382812,893.0682722368823,883.2001145326074,889.713074525247,181515,5518,69.87163836567187
2021-09-16,895.2393188476562,906.7356869468578,886.3579765182756,891.4894307991203,388406,9596,76.61752536347831
2021-09-17,912.6565551757812,945.3695225590194,894.5978383462669,902.9364437802742,1901858,16567,66.01917969117791
2021-09-20,921.1652221679688,954.7547941000068,894.0561585470616,907.2644001965868,1082144,15648,61.59604310735987
2021-09-21,877.8796997070312,919.1369911504181,872.8833266334299,913.2996061260312,1384369,10416,46.37145229803143
2021-09-22,878.869140625,909.9852563301388,874.8126934007362,885.4980205658866,2018678,11655,50.546895855130145
2021-09-23,890.8901977539062,908.1549482843952,885.3496150839509,890.444963194876,998824,15750,73.74002330229516
2021-09-24,883.7665405273438,901.8227838686526,875.7030433186907,894.6497556919683,406215,7151,74.0731311833578
2021-09-27,891.0880737304688,901.3281665057178,883.7666133163913,886.4874173316391,257946,12342,63.32557078249911
2021-09-28,895.6886596679688,904.1973919977039,888.1199139066151,895.391856765258,407847,9050,62.866278991949216
2021-09-29,876.34619140625,893.9077436472446,873.1306959255046,893.9077436472446,247573,4032,53.27325800677927
2021-09-30,871.6466674804688,897.3706326955563,866.6997510929519,884.1623900957516,472213,7426,57.35591523952334
2021-10-01,887.0810546875,892.8195262152622,854.8766399120232,870.5584016625594,530082,8174,66.21849618784881
2021-10-04,900.783935546875,905.2856169746178,888.6145344125166,892.9183271252379,410173,4983,70.07728699940643
2021-10-05,895.391845703125,929.7234567263014,889.7028919873317,900.041959078684,869891,12946,50.73891300872217
2021-10-06,938.3310546875,948.8184924934611,897.37056589319,897.37056589319,1878239,14542,51.934806634469794
2021-10-07,958.5145263671875,978.4011668756389,944.8115918541569,951.2425832867435,1582833,5736,52.97726127374286
2021-10-08,960.7406005859375,968.1115179353354,939.7162063538211,963.6592932744167,605225,3359,75.7196168156091
2021-10-11,1011.1495971679688,1019.0646625078354,959.7016724588352,964.4506995853241,1356982,16698,74.87866408269309
2021-10-12,1160.5465087890625,1201.9027754000538,1011.6937923234684,1025.0010086150628,6592141,9523,46.846150269153405
2021-10-13,1115.4306640625,1172.1222499859766,1108.4554640662825,1162.5252810816683,1178176,9776,62.79667412617228
2021-10-14,1083.6715087890625,1126.907507975862,1052.307987682824,1125.4729505906255,515836,15024,59.09681415534842
2021-10-18,1107.02099609375,1135.8120259056566,1094.9010506953664,1119.9818931404209,423026,5270,54.576824610281655
2021-10-19,1102.56884765625,1161.5360721380323,1078.4278693615463,1115.9749198061884,532143,9750,78.12996751901025
2021-10-20,1102.9149169921875,1147.387643312467,1076.4489165171562,1112.066711548974,372980,8921,62.15483446813639
2021-10-21,1086.243896484375,1109.6922312461547,1068.6823437620426,1103.9538808493664,190368,12694,54.84140612424181
2021-10-22,1112.4625244140625,1132.843794732108,1084.4135340880048,1088.2226353564758,319393,17510,51.48802906607362
2021-10-25,1104.102294921875,1116.6180183839508,1035.5874983191698,1095.2473622988402,376026,15434,57.948022476602965
2021-10-26,1097.91845703125,1132.3490397068992,1093.2684044352327,1105.0914850241509,273111,12129,61.418426681323986
2021-10-27,1128.935791015625,1159.5571538944928,1091.487538871504,1107.7134481149942,518703,16046,58.773085093752606
2021-10-28,1120.4765625,1147.486774303108,1095.2968063809224,1138.8790673186447,419232,7001,66.31944543196119
2021-10-29,1107.3673095703125,1125.7204189410506,1084.5125784416643,1105.1411970426973,400846,11548,73.9824116981643
2021-11-01,1080.208740234375,1121.9606673773087,1067.5445856262047,1112.0668343316534,379797,13844,70.0986694235129
2021-11-02,1058.986328125,1097.226014554463,1043.799319526563,1088.3215653831464,711953,9339,78.90584688322998
2021-11-03,1009.9624633789062,1056.2655898705923,999.3265928742475,1040.0396795504798,547069,16093,74.85211358964116
2021-11-04,1040.435546875,1048.6968740115922,1009.1710559627855,1014.1179729037796,119434,14642,69.53586814338423
2021-11-08,1060.816650390625,1078.477237657163,1021.241321209489,1040.8311574638794,475780,4681,70.38643122437055
2021-11-09,1095.4451904296875,1103.0635146449142,1060.8167733813857,1065.5658617434578,724467,5354,52.24103047796113
2021-11-10,1084.2156982421875,1107.9115014650197,1078.427829915398,1088.3216632173742,251365,9112,76.63982268140249
2021-11-11,1067.3465576171875,1092.9220871011823,1058.6399378559395,1088.2225172835974,136021,16598,62.636086597305095
2021-11-12,1055.9193115234375,1076.9932238157865,1044.4918862653858,1068.3361200670583,174381,16403,74.18818168401879
2021-11-15,1081.9893798828125,1091.2896055720144,1032.9160001969021,1061.2123339018403,293631,7284,69.16725530948858
2021-11-16,1102.3707275390625,1132.349087200628,1068.5338699665167,1068.5338699665167,617958,14700,68.16918555309563
2021-11-17,1107.9608154296875,1119.8829319780148,1095.197747268357,1105.6357889322114,346394,8096,56.53556538673714
2021-11-18,1115.5792236328125,1145.7058977642907,1103.5086745251006,1113.0562478280028,730512,10846,57.99321729363203
2021-11-22,1093.16943359375,1141.6986031718643,1078.5265151060062,1139.7693543973207,349962,10450,50.14944869273306
2021-11-23,1071.15576171875,1102.667592957051,1062.0533636774835,1078.4277041930782,336008,17359,68.05940870078132
2021-11-24,1088.321533203125,1111.473124518855,1075.607983083752,1078.32878691676,283874,14070,47.51102027167617
2021-11-25,1098.3638916015625,1108.1092929246502,1060.8662404807644,1085.5019087372584,296641,15079,45.307272083907364
2021-11-26,1047.8558349609375,1094.6041961574456,1039.8913718142783,1088.321636320823,267018,15404,67.45987127871551
2021-11-29,1042.06787109375,1063.191178577008,979.6872714717174,1009.1708791983148,341245,17876,61.91491207347633
2021-11-30,1110.3848876953125,1114.9360265638581,1025.0999777050677,1025.0999777050677,487409,8629,78.73057547879284
2021-12-01,1086.540771484375,1153.6210124566858,1079.6646053545096,1117.7063477214124,371211,14952,66.17879782454865
2021-12-02,1075.8057861328125,1099.0068943735969,1065.9614717144727,1086.3427412478666,233378,15164,47.19601388978423
2021-12-03,1065.26904296875,1102.7666974379622,1059.8769518269507,1079.417273692605,186523,8780,54.00357198114254
2021-12-06,1043.5025634765625,1074.5198278968264,1038.852510074534,1068.5340103623776,149327,15739,72.4328761711873
2021-12-07,1068.0887451171875,1078.427751859691,1043.7993378091503,1043.7993378091503,322434,3377,73.0378744976417
2021-12-08,1097.8197021484375,1105.6358544916563,1079.4171966446506,1079.4171966446506,316219,7059,65.46704413456038
2021-12-09,1106.27880859375,1117.508283346352,1083.4734783618178,1103.4095732642932,412881,3629,62.777024023935724
2021-12-10,1089.9542236328125,1108.4556445104213,1080.3571323918866,1108.109384482638,142823,4415,72.35216663312586
2021-12-13,1061.50927734375,1111.5225264829414,1057.6506586437874,1094.8514434365443,274391,12563,71.92471000237782
2021-12-14,1059.48095703125,1075.4595195865945,1048.7956911227611,1063.5869213942863,176686,4402,63.41278693304249
