Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-16,119.21014404296875,122.07932375085458,118.83991773948419,122.07932375085458,534692,7828,67.04289174147667
2021-08-17,118.65481567382812,122.1718880014378,118.37715652881364,122.1718880014378,513083,13745,49.346264026939124
2021-08-18,117.86810302734375,120.27451756751287,117.54416383063068,120.27451756751287,359414,3604,69.20370566851858
2021-08-20,115.64679718017578,117.54416647137776,113.84198799983831,117.1276742178676,528516,10155,51.01532067114463
2021-08-23,112.03716278076172,117.86808880190004,111.06533824656664,116.61860515889498,530087,16889,70.22414522487126
2021-08-24,113.98079681396484,114.90634123460387,111.99087489732223,112.63875316723212,394446,12495,46.75736119585609
2021-08-25,116.24840545654297,116.61862472508211,114.81381550030346,114.81381550030346,309786,4781,78.07724504017742
2021-08-26,115.878173828125,117.22021765076524,115.32284851522138,116.24839305717556,318321,13384,58.622075478839974
2021-08-27,115.55423736572266,116.24839578849793,114.86007894294737,114.86007894294737,275076,12641,76.969839656639
2021-08-30,116.89627838134766,119.16385968281291,116.01700683037653,116.01700683037653,655807,10118,73.20231699263003
2021-08-31,115.46167755126953,117.5441526974848,115.23029142391228,117.5441526974848,460124,7227,49.76468445210579
2021-09-01,114.30475616455078,116.71117067153553,113.8419838723866,116.15584533320748,572342,17401,65.95401343121509
2021-09-02,115.83190155029297,117.54415755117104,114.81380396015015,114.95262999322159,474693,8122,60.86675205317691
2021-09-03,119.76545715332031,121.24633405806688,118.8399126185259,121.24633405806688,1820954,13967,63.3479557995319
2021-09-06,123.28253936767578,124.71713633934539,118.46971021473996,119.76546702113768,2445373,17775,53.403556501619846
2021-09-07,121.15379333496094,124.43947978358878,120.87614122826116,124.43947978358878,554141,8144,47.187951284833765
2021-09-08,121.6165542602539,124.02297585882948,121.29262212528126,122.95860522254976,814819,3798,58.40495796618412
2021-09-09,120.50589752197266,122.17188053563274,120.32079143660799,121.15377588209351,473445,5680,49.418207041228825
2021-09-13,117.49787902832031,120.87612514480846,117.35905299344225,120.69100493471876,1094145,7831,46.198860022699996
2021-09-14,122.1256103515625,123.37510124344065,118.05321965372805,118.37715885996329,1877345,12412,48.667469721056534
2021-09-15,121.89421844482422,124.90223833188138,121.57028631521639,122.26444475069113,841816,4332,73.43422604826225
2021-09-16,121.20006561279297,123.28254101549625,120.78357335679034,122.17189029192586,882208,3182,68.41972136884534
2021-09-17,120.96866607666016,122.44954295941514,119.30268311423295,122.0330507494805,760351,4046,57.75079965227192
2021-09-20,123.74529266357422,132.72307118708966,123.14369440788292,126.0128737877717,5990552,14584,63.02881312964837
2021-09-21,122.3911361694336,125.7999640183409,121.41050996956044,124.91273621868237,939739,7165,51.28827738013535
2021-09-22,121.17701721191406,123.8387146196965,120.56997041744835,122.99817184590499,820479,16178,48.265613289280424
2021-09-23,120.61664581298828,122.62459707146185,120.38316410274201,122.11093445880151,1202373,9150,51.28860069786129
