Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,1180.3929443359375,1217.8156929393763,1169.1317250730922,1189.6770056941082,1080745,13137,76.48328211976703
2021-08-11,1255.8687744140625,1271.1702351749882,1128.9867335293004,1134.6889088328023,7553957,6775,56.79806468039967
2021-08-12,1256.184326171875,1264.8092171568783,1226.4695089952431,1244.120681497756,1384357,8200,46.13635526368857
2021-08-13,1286.443115234375,1303.7217340102998,1241.9140426256272,1255.0664916752407,2857680,10259,52.37354969744512
2021-08-16,1275.124755859375,1300.6845587652551,1260.9408219259055,1286.443300358215,438213,7023,47.75006143395813
2021-08-17,1289.8531494140625,1302.4610768276614,1264.4078775261396,1272.832310351356,788918,4293,73.72251573476267
2021-08-18,1276.0989990234375,1316.8456151034188,1270.2534521875186,1290.913382587606,881108,11524,46.88829207028702
2021-08-20,1271.0556640625,1285.239715758979,1251.7425622142653,1273.0901463716903,438922,16985,46.81662938981912
2021-08-23,1239.965576171875,1279.1936282642012,1235.5815056270017,1275.4398885275657,525685,3583,65.90906033709582
2021-08-24,1260.7115478515625,1264.2361092099966,1231.9425273037664,1237.8740015314413,534336,16138,52.13906141234823
2021-08-25,1254.7513427734375,1279.8239451547922,1245.3526326222786,1268.8206265880876,522165,6864,56.37515721090642
2021-08-26,1267.130126953125,1273.3768257412535,1249.908711932956,1255.467755431425,541741,9765,71.7348576447887
2021-08-27,1273.5201416015625,1289.4520547855689,1266.7576414160471,1268.0757467691622,749499,8724,59.46390787812294
2021-08-30,1294.2659912109375,1297.5039300994508,1276.1849466943636,1283.721148454279,444564,11880,69.79893854203391
2021-08-31,1302.2890625,1311.4585939792855,1292.8904715002675,1301.7160561658122,579147,10933,54.58216096790882
2021-09-01,1309.8253173828125,1318.1064986989775,1296.4436882528735,1306.6447030581166,448586,6885,49.45684216110386
2021-09-02,1309.6533203125,1328.4220192737155,1302.489668371936,1315.240966442586,369395,16548,47.31293533616974
2021-09-03,1299.423583984375,1321.5448685967597,1289.5663979104895,1316.9601031722357,360640,13877,73.5063818093485
2021-09-06,1279.8526611328125,1308.9369035978914,1277.7322516854708,1303.206006054371,349468,16188,49.15134723300863
2021-09-07,1267.3592529296875,1286.9875798247376,1264.8089695793908,1281.543185493619,298228,9690,47.670284777135116
2021-09-08,1266.757568359375,1271.9440623515975,1245.3240562834712,1268.2476470464946,602879,11332,50.33993753118487
2021-09-09,1278.305419921875,1292.0022751281306,1267.1015239353435,1267.6746495155928,644632,13058,62.73186014025931
