Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,125.71418762207031,129.2908281421577,122.81420643009668,128.03416667562237,31526384,6662,54.05782200319002
2021-08-11,125.27920532226562,127.26084752541752,122.28255190519394,125.9558647148103,32222624,12543,58.64718675044508
2021-08-12,129.1941680908203,129.72583430828607,125.52087004302457,125.90752833750777,31898731,9854,62.90950783845277
2021-08-13,128.13084411621094,130.01582902190532,127.59917792484389,129.87083585610873,23715152,17229,53.00460026798107
2021-08-16,127.69585418701172,129.58083915645017,127.2608451747759,128.13084844917933,17472608,9819,56.40514427931353
2021-08-17,126.72917938232422,128.51749220232432,124.21585654061968,127.69583974450804,21755033,5933,55.295721478037706
2021-08-18,126.1008529663086,127.40585047604857,125.76253065827567,127.3091785308575,18082061,12409,73.96605274130485
2021-08-20,121.99254608154297,125.85918788919929,121.07422160223818,124.69919829691598,27402061,9120,71.64979863711984
2021-08-23,120.78422546386719,123.58754236424623,117.64257886646732,122.86254699561549,30434681,15885,77.2272054693178
2021-08-24,121.70255279541016,122.37921216409619,119.52756677101851,120.8325569106467,22809811,6800,59.50881139443873
2021-08-25,121.84754943847656,123.24920410376073,121.31588325507428,122.18587911198993,18144345,16937,49.494128604137565
2021-08-26,121.46088409423828,122.37920854962286,120.39755909983673,122.23420801060588,16968193,10739,64.44246955159772
2021-08-27,123.0075454711914,123.34587516251005,121.02588854698567,121.4608901858532,12708091,10435,50.516357003926025
2021-08-30,124.84420013427734,125.76253942742264,123.73254643740636,124.11920474499567,17545528,3077,72.189395005444
2021-08-31,124.7475357055664,126.34251956955825,123.9742043851193,125.95586128436874,24301446,5434,75.06810563477181
2021-09-01,128.95249938964844,129.77416668020206,124.40919818028067,125.37585863972352,31166001,3265,63.194147337684086
2021-09-02,129.1458282470703,130.30581771334786,128.1791679001613,129.38749333379758,25276744,9271,49.58631454960497
2021-09-03,129.38751220703125,130.93416013764914,128.80751001425674,129.58084135459993,19000628,12241,51.064691816267164
2021-09-06,127.79251861572266,130.11251272868216,127.59918946049329,129.91916882338373,14304796,6833,49.60988904599035
2021-09-07,125.71418762207031,128.13083861538166,124.94085635419725,127.98583070574273,14561241,4479,46.239011841555445
2021-09-08,128.80751037597656,129.0491754986332,125.18253353612731,126.24586597584384,16351745,9277,51.01681329871878
2021-09-09,128.3241729736328,129.82249960055128,127.35751253691994,128.75916722014006,14453584,15905,56.46635803207981
2021-09-13,126.68084716796875,128.32416688236225,126.05250906389062,128.32416688236225,13771980,9535,52.3443279705497
2021-09-14,128.56582641601562,128.85582747072667,126.92250677274147,127.11583589252673,13305823,16832,58.40492049433102
2021-09-15,135.38079833984375,137.55578434217946,128.3725101100953,128.66251119375363,68917060,3667,52.52939804885593
2021-09-16,135.57412719726562,137.26578297334558,133.88247142118567,135.33246208639707,24490647,17978,45.9278626697619
