Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,122.98954772949219,123.29137842538148,119.36764517154361,119.86781461009309,145353570,17017,55.632921842594484
2021-08-12,123.77860260009766,124.58490551077774,122.1573647742103,123.83465799535023,109431080,10992,59.41710512434561
2021-08-13,126.04656982421875,127.33580417169735,119.92383501856507,121.16131682525723,289698720,16230,75.48437903641944
2021-08-16,131.02671813964844,132.32887439514744,126.95638603732824,127.9739624836368,271144880,7171,49.191860626398004
2021-08-17,129.6728057861328,132.28575022982838,128.6422945202671,131.0267145541524,189709230,6523,73.76438507447901
2021-08-18,129.39254760742188,130.98359969978674,128.33616660086233,130.16867796092896,123317450,4009,51.220840961963695
2021-08-20,118.62599182128906,124.78322883955573,117.52217437858044,124.61507583309013,273400690,8809,69.01606269124626
2021-08-23,117.16431427001953,121.57526851929858,113.03361067584389,120.90263010312916,229257290,14133,69.76717828424408
2021-08-24,121.13115692138672,122.45488008600063,118.74673671929331,119.17791587452571,176075790,10210,61.73209342955689
2021-08-25,119.88504791259766,122.97229203468837,119.07011304811815,122.28240280117747,125650100,16443,46.35923221764532
2021-08-26,118.57858276367188,120.2774296746826,117.71190845769995,119.90229275938815,91578980,6305,48.87137529779446
2021-08-27,119.36331176757812,120.25155287379181,118.64756599729552,118.91919779374263,73940810,12956,59.73018847531626
2021-08-30,124.23133087158203,124.61077061758377,120.55768936069276,120.64391729298397,134443870,3083,69.16394103837831
2021-08-31,125.0634994506836,125.81806291646423,123.48969828233533,124.61076663463223,247521080,10864,75.95700296065932
2021-09-01,121.69598388671875,125.51623752105185,121.33379502497753,125.14973265761577,88128970,5986,55.288937014129054
2021-09-02,122.8946762084961,123.4897055389872,121.59251991667679,121.67876100982227,61480460,12738,78.04438751571514
2021-09-03,124.4943618774414,125.29634878781883,122.1487462268859,123.14476901999,84523820,10860,59.02052145814628
2021-09-06,123.92089080810547,125.2101254740262,122.72652924445659,124.78324914797892,69586760,14181,47.715729803142246
2021-09-07,123.20511627197266,125.81806065963784,122.51092421200678,124.52452331293063,63527170,3961,67.53579139529444
2021-09-08,123.3042984008789,124.40811593951209,122.33414534210453,122.97229520228494,46762240,3485,68.51874348751375
2021-09-09,124.78323364257812,125.21010991558231,122.45486904594814,122.45486904594814,53130300,13843,78.9033040578602
2021-09-13,126.20181274414062,126.93912532607978,123.87775106223722,124.78322981049234,56702080,8471,63.52328756821606
2021-09-14,125.24030303955078,127.2841013348495,124.9557231969511,127.2841013348495,55037670,6451,55.30299256513225
2021-09-15,125.48174285888672,126.2233714721814,124.55902638384082,125.24028360419008,44174640,17095,60.246207911734516
2021-09-16,123.89933013916016,126.93051900685839,123.42503044721765,125.90431053480368,56067970,13868,45.16982415344836
2021-09-17,119.51422882080078,124.2054598890434,117.28072407189369,123.92088008249087,195720300,6713,74.98638931466486
2021-09-20,108.06211853027344,116.58222290763518,107.5662651300175,116.41837272214075,282384120,9238,73.83167070657565
2021-09-21,111.43394470214844,111.83925417082985,106.32015953074875,108.48468078604006,255935400,3674,50.34829808604816
2021-09-22,112.60674285888672,113.65882098586506,110.6491859297001,112.05483410035241,111242470,11542,63.874028612374566
2021-09-23,113.71917724609375,115.50858112640404,112.6282945954969,114.69364627100961,99462510,4540,75.71194034965505
2021-09-24,109.70059204101562,114.17622687841089,108.52347487359229,113.8312888423058,132866160,14803,69.19403383286274
2021-09-27,109.56262969970703,111.1321150356487,108.74770133179362,109.69197818725519,86688770,3801,71.96489738155086
2021-09-28,110.46378326416016,111.83061374857253,108.91585175391874,109.81701456390951,81007360,13508,45.63920590721514
2021-09-29,111.72282409667969,112.95168731530677,109.2780456662264,109.51950493939356,94945770,15403,59.214278763316265
2021-09-30,111.14936065673828,113.52084597952104,110.71386550491157,112.36528901665186,75145680,14763,52.29770625974417
2021-10-01,111.92117309570312,113.0551763450236,109.08832297347979,109.95068125785512,90374700,3955,63.341182004860315
2021-10-04,114.18917083740234,114.49962035808595,110.41635319783106,111.92117740988118,96902370,7395,48.37208046348656
2021-10-05,113.55964660644531,114.9264902532739,112.98186814494258,113.3138713416033,57952160,13353,57.5313329145095
2021-10-06,110.37322998046875,114.57291700387302,109.79114211241858,113.82266954114998,86316930,17395,72.9228121215416
2021-10-07,111.17523193359375,112.69297782467669,110.6879973822554,111.67540133326216,46033670,3256,64.23427765307214
2021-10-08,112.20576477050781,115.90527641181629,111.79182327609637,112.27905786364379,107220150,12180,57.65835668314593
2021-10-11,113.24491119384766,114.46514253782237,111.93412274388872,112.53777099105899,63496580,8180,52.758184961573946
2021-10-12,114.61605072021484,115.1248389853956,112.53776395201592,113.24490411057418,60970190,13009,65.19336257767779
