Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-10,1111.3961181640625,1116.9822074110718,1077.2490506535935,1081.9531743815937,6314469,6532,57.045454100074444
2021-08-11,1111.8582763671875,1114.5043784978434,1090.6476220939103,1111.3963236410257,3430349,15444,69.79182912624913
2021-08-12,1164.73779296875,1171.6680056935727,1106.943977955769,1111.3541133261106,8613315,4872,75.50499851904011
2021-08-13,1161.8818359375,1167.6359928036634,1147.3913892642172,1159.3197159435954,4760344,4756,71.66358920861987
2021-08-16,1149.0294189453125,1175.9942301117335,1142.6452425463126,1160.8737637519955,2912430,9253,57.818984831202826
2021-08-17,1187.5445556640625,1200.229028593987,1151.2554783555522,1152.5155171862953,8042970,17766,72.90636439819598
2021-08-18,1186.53662109375,1197.0369451742256,1179.606407200636,1191.1567636891593,2939739,13318,59.155125648450465
2021-08-20,1175.364013671875,1192.8365906646916,1151.3813395186949,1151.3813395186949,4051399,7890,70.11093240497232
2021-08-23,1189.4765625,1212.115217358379,1183.5963817531779,1189.014507281578,3987240,12424,54.97707079920458
2021-08-24,1229.2518310546875,1232.3179459754085,1192.8367302556783,1194.432799910239,5366923,5318,45.956001356330425
2021-08-25,1229.0416259765625,1241.5580298713928,1218.037309413748,1228.9576439119403,3105863,3997,51.81666741042821
2021-08-26,1217.617431640625,1232.107877101681,1212.9972896095635,1226.2697386429531,1993944,12075,56.258511571432415
2021-08-27,1214.17333984375,1224.0016009136382,1202.2449116831915,1217.9114137231159,3097939,8560,69.04415350731861
2021-08-30,1192.164794921875,1222.2377651429724,1189.392770794312,1218.037635365849,2742699,11439,61.430108976492505
2021-08-31,1216.0634765625,1221.397620352017,1181.8743619777954,1196.8689058570214,6392991,11665,74.32428298958493
2021-09-01,1206.529052734375,1233.3678350304303,1199.1367849521127,1218.0373647499569,1829925,11026,68.2798229211885
2021-09-02,1207.7891845703125,1220.1795656159468,1193.844673698741,1206.2770970529418,3860958,16808,75.961211892788
2021-09-03,1211.2752685546875,1217.7854690811828,1197.1208530797196,1212.9973626140682,1919590,4490,74.4960966655822
2021-09-06,1227.4039306640625,1233.0741057956714,1206.3612397143108,1216.3575689732968,1801171,6833,67.62307283127186
2021-09-07,1205.60498046875,1237.2740144787538,1203.1689876960054,1233.9558510617965,1940043,9103,56.42796000423422
2021-09-08,1199.4310302734375,1211.6114065288825,1192.7108226842263,1209.805330230836,2256454,14706,61.29186150983798
2021-09-09,1203.967041015625,1207.8731816990014,1187.7965435172466,1197.5408228000338,2303457,6614,78.48322049260992
2021-09-13,1200.8170166015625,1209.4693243347836,1193.130759155794,1206.2771849176943,1937241,10142,69.72627039465092
2021-09-14,1219.7593994140625,1223.917485750968,1200.8167782299304,1205.436919734138,1554999,7278,54.50656297958957
2021-09-15,1230.511962890625,1243.2383762369009,1207.9152448681439,1211.4013729856322,2410087,7841,58.48153508684377
2021-09-16,1216.6513671875,1233.9979207548865,1209.637172149106,1230.5117931183752,1800078,6827,71.88580564882973
2021-09-17,1219.3394775390625,1236.5179639424382,1206.7810304424456,1218.8774223372811,2861623,7057,75.33175378236152
2021-09-20,1202.3291015625,1254.2846825315555,1198.1709118671802,1209.6372858140708,2526342,6411,47.13155006137836
2021-09-21,1227.8656005859375,1231.855722907627,1193.172598556362,1208.7970570339044,1713705,6921,54.8663988502249
2021-09-22,1271.463134765625,1283.4755457087945,1223.4976781558414,1229.7978721731217,5145820,10047,51.70164292111184
2021-09-23,1278.0992431640625,1286.079488192034,1263.3987917967468,1281.1233155083253,2015302,10104,51.6147681456673
2021-09-24,1272.42919921875,1300.2340352834306,1269.3211444857727,1285.2395938634677,3592146,4301,50.228946417616974
2021-09-27,1230.1337890625,1281.0393314974995,1225.7655934232148,1279.3592799152077,2728552,7096,54.354835238381554
2021-09-28,1187.83837890625,1230.6376471892277,1183.0922132055787,1230.1336522790236,3995669,8040,72.4919923561171
2021-09-29,1172.1298828125,1183.554212241469,1153.1453218073038,1176.036022968658,7948104,11761,48.95625249063406
2021-09-30,1159.7396240234375,1178.2622343304347,1156.7155515865559,1165.9558355861582,3856630,14453,56.100601795377244
2021-10-01,1151.8853759765625,1162.5957049054239,1146.4672505941408,1155.0354727203453,2661824,16663,76.2644354249598
2021-10-04,1175.2381591796875,1180.6983269850255,1152.5574621421295,1163.1837066833623,2538936,11086,78.55354406936503
2021-10-05,1186.99853515625,1193.676699460059,1160.0756663999587,1175.280113351211,2481825,4235,57.873071452913706
2021-10-06,1163.9818115234375,1198.6328770012772,1159.193602768443,1195.272773682214,2769341,14690,66.1530923358114
2021-10-07,1190.484619140625,1195.6088589693213,1155.5816058497387,1174.3141211812458,1956325,13747,59.123861686868175
2021-10-08,1209.5950927734375,1215.517315597483,1191.5765806323632,1191.5765806323632,2665924,8227,73.57957300620835
2021-10-11,1176.204345703125,1204.97523575109,1163.9399868042642,1192.8369012586963,3073366,3723,56.50356269255877
2021-10-12,1154.5732421875,1178.4299917461078,1143.2749379323795,1175.1959134220417,2965629,14221,62.32688374584249
2021-10-13,1177.8419189453125,1184.4360994158926,1156.715254535946,1165.0315285083675,1738985,10734,53.013931477674724
2021-10-14,1201.908935546875,1226.1016166567626,1184.8563710753092,1202.9169254731248,4328124,11513,64.95030344359347
2021-10-18,1242.9443359375,1249.0764634451346,1192.836770796647,1192.836770796647,3579606,4211,62.03247962361746
2021-10-19,1292.883544921875,1318.672395647839,1240.760011336448,1258.3585088783134,8645334,8913,73.4842693353529
2021-10-20,1293.0518798828125,1324.3008016449871,1273.3112716756084,1296.9999605073647,5159270,10527,45.696832933927915
2021-10-21,1280.409423828125,1298.806010767165,1239.9202181804135,1298.806010767165,4261416,5194,59.907376396202636
2021-10-22,1274.697265625,1312.0784183124454,1246.3884337078018,1286.0796576287412,5223521,7755,54.09570237722436
2021-10-25,1280.2833251953125,1289.4396270948523,1246.4303463480528,1286.0795238320645,3890467,17434,58.65009021068589
2021-10-26,1313.21240234375,1369.2420833894896,1296.1598372208482,1320.4366038703683,16978043,13971,61.91737840936014
2021-10-27,1317.0345458984375,1333.2050439711693,1283.1395223946881,1311.9943906549886,3624131,4920,63.59709289297959
2021-10-28,1288.0115966796875,1329.6348134319917,1281.8793673393577,1325.5607088214329,3054565,6043,49.06297887139408
2021-10-29,1241.43212890625,1295.949824751847,1232.9899309995535,1283.0134067057745,3795495,13977,71.6687845816506
2021-11-01,1278.6453857421875,1285.155586169584,1249.1604985084875,1251.6385337833183,2271900,6636,74.56139889673247
2021-11-02,1264.6046142578125,1292.0498907016304,1262.4412913027845,1291.4560617091402,2041689,16633,55.05449939658125
2021-11-03,1271.349365234375,1304.5636069159507,1267.1497907995804,1270.8827113318034,2697346,9110,48.05750603347999
2021-11-04,1277.54248046875,1285.3052357736021,1273.427827654242,1280.214918008162,166444,13012,52.41510729865027
2021-11-08,1320.2589111328125,1325.8583443794523,1276.227738593153,1279.3667269357152,3050392,4580,49.871749550570776
2021-11-09,1322.8038330078125,1333.6632187073856,1317.5438795499808,1324.3309697215198,2061369,4511,46.96980473473152
2021-11-10,1329.0819091796875,1334.8085164992156,1312.0718266126814,1320.0465746963212,1299996,12296,69.28998189744993
2021-11-11,1291.201416015625,1323.4825543595693,1285.3051729838126,1323.4825543595693,3027565,7370,57.933308144888834
2021-11-12,1344.6922607421875,1348.4675382825667,1299.133958696097,1305.2422985185208,3713868,16955,46.219798243193104
2021-11-15,1339.7291259765625,1358.690537365234,1334.8084444535966,1344.6921646730539,2448280,6093,65.32715106905678
2021-11-16,1357.333251953125,1361.6600013382792,1337.0567988218868,1344.777093381716,2864344,8396,51.96968680732647
2021-11-17,1373.07080078125,1378.6277726128953,1353.1761829646573,1356.145535090285,2304359,13333,73.66227435446808
2021-11-18,1330.0576171875,1378.4156361188907,1323.058430236904,1374.5554370422376,2938804,16918,78.98616927508232
2021-11-22,1307.6177978515625,1341.9774417465026,1289.5471288965202,1341.9774417465026,1951782,3938,58.967420550767876
