Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,40.642906188964844,41.1397632143032,39.30138994612032,39.748562027068495,329779,7730,48.96704044598883
2021-08-12,41.1397590637207,42.48127138050204,39.20201610225598,39.20201610225598,113119,6003,68.6443076727084
2021-08-13,41.3385009765625,42.034101536268494,40.74227409151056,41.3385009765625,110199,14690,65.66623125998746
2021-08-16,40.394474029541016,42.63033044171374,39.996986928867585,41.83535624036687,111671,13417,64.9242578434141
2021-08-17,40.941017150878906,41.73598758482725,39.748559604597375,39.748559604597375,896012,15038,61.138372456788055
2021-08-18,41.686302185058594,42.23284411546811,40.04667260311204,40.742273146686884,235033,17674,61.95043358131198
2021-08-20,39.698875427246094,41.73598838804265,39.649190484927765,41.437874943414535,239829,3646,71.61302342358522
2021-08-23,38.50642013549805,39.74856272051411,37.959878156234645,38.85421854301521,375320,14043,61.25904940810211
2021-08-24,39.94729995727539,40.39447197511071,38.108926948556345,38.108926948556345,121278,5358,63.00633175171475
2021-08-25,39.59950256347656,40.74227521380972,38.854217041272726,40.692590270473104,68821,16051,75.28047047069576
2021-08-26,39.10264587402344,39.74856151492831,38.7548474770551,39.25170449599171,34584,15210,74.53718192404726
2021-08-27,40.54353332519531,40.94102046975068,38.605790129245,40.146049971358295,376788,7357,49.61664121133731
2021-08-30,40.19573211669922,41.09007244357121,39.351072941037906,40.24541705862798,105606,14652,65.38726882437558
2021-08-31,39.450443267822266,41.04038401892775,39.15232985082971,41.04038401892775,77222,8366,62.4360497973461
2021-09-01,39.450443267822266,40.24541364337501,38.754842767694456,40.09635503951985,245953,13540,70.78546100703963
2021-09-02,40.44416046142578,41.13976101790594,39.351072789608935,39.351072789608935,163446,9891,66.26626137808749
2021-09-03,40.29510498046875,41.73599114726811,40.245420034865674,40.74227707233315,81821,16999,70.3771325390739
2021-09-06,39.84793472290039,41.09007737374789,39.301392714671195,41.09007737374789,123476,11716,73.4703129317057
2021-09-07,39.74856185913086,40.24541888237,39.25170483589172,40.24541888237,58318,9213,64.42413304048692
2021-09-08,40.29510498046875,40.74227707233315,39.00327744119698,39.00327744119698,95994,11041,77.133704024002
2021-09-09,40.34478759765625,40.742274720977434,39.50013219899642,40.742274720977434,102906,9684,59.27294863059489
2021-09-13,40.692588806152344,42.2328447384706,39.99698825231627,42.2328447384706,97724,15492,67.21113072077812
2021-09-14,40.09636306762695,40.89133739306748,39.74856464328561,39.74856464328561,90205,12681,70.51361542939213
2021-09-15,39.84793472290039,40.742278947798006,39.5498212448407,40.09636325306989,126337,3091,68.99980108661683
2021-09-16,40.742271423339844,41.090069785056826,39.79824242489938,40.54352787776535,142221,5281,72.55512223140522
2021-09-17,39.94729995727539,41.09006867983484,39.89761501989763,40.74227032747278,94754,8762,57.323236065164465
2021-09-20,38.65547561645508,40.34478636203709,38.25798850530753,39.649189603605926,179644,10190,50.428892061158486
2021-09-21,38.903907775878906,39.54981965390597,38.10893347874038,38.10893347874038,81957,15085,75.44129181680663
2021-09-22,39.351078033447266,39.89762383754622,38.655481174991465,38.754851071708416,92413,12621,61.677441993092046
2021-09-23,41.0403938293457,41.189452468832286,38.80453698135899,38.80453698135899,344677,3804,67.35714042418391
2021-09-24,39.84793472290039,41.63662317269562,39.5498212448407,41.288820956027195,67049,9575,69.03677230835414
2021-09-27,39.00327682495117,40.49384791380281,38.70516336532451,39.54981879938644,176317,6437,73.0954107260285
2021-09-28,39.00327682495117,39.69887742455893,38.854218199778686,39.45044890975033,93395,6876,58.7393714130036
2021-09-29,38.705162048339844,39.35107389043339,38.50641848511176,38.75484699146732,130474,13945,55.76185596413069
2021-09-30,38.60578918457031,39.599503230924434,38.5064192962222,38.55610424039626,130076,13793,67.4272621327346
2021-10-01,38.80453109741211,39.202018215292746,38.257989153364804,38.257989153364804,62475,17386,54.0123799696997
2021-10-04,39.3013916015625,39.54982012469591,38.556106032162255,39.500135178212915,206848,8461,66.59280005904148
2021-10-05,40.742271423339844,41.04038484634266,38.85421342645891,38.85421342645891,218957,9655,49.947629858792915
2021-10-06,40.245418548583984,41.18944764305244,39.897620151488454,39.897620151488454,274786,6787,48.046599708084344
2021-10-07,41.0403938293457,41.23913741842159,40.24542326376083,41.0403938293457,216113,10773,63.99602121942657
2021-10-08,41.98441696166992,42.2328454644017,40.841644332816514,41.63661857413268,341944,15408,59.88618328019068
2021-10-11,43.624046325683594,44.02152965316068,41.835358084523385,42.58064358810078,594013,14290,74.63735588673191
2021-10-12,45.760528564453125,45.760528564453125,43.4253021999998,43.4253021999998,474885,16753,64.83559458403133
2021-10-13,48.046077728271484,48.046077728271484,48.046077728271484,48.046077728271484,442278,3873,75.95695973936817
2021-10-14,45.81021499633789,50.43098672485308,45.66116016714854,50.43098672485308,1606531,5361,68.04769041321427
2021-10-18,48.095760345458984,48.095760345458984,44.96555964917397,47.15173126318904,1050044,13765,63.72890363253629
2021-10-19,46.50581741333008,50.48067366730219,45.71084692067932,50.48067366730219,1174240,14675,72.68902258115797
2021-10-20,48.791358947753906,48.791358947753906,46.75424587796917,47.59890510544364,970019,4616,61.48770576845729
2021-10-21,51.225955963134766,51.225955963134766,49.73538496251561,50.48067046282519,520901,17262,48.94658233866798
2021-10-22,53.75992965698242,53.75992965698242,53.75992965698242,53.75992965698242,318876,11121,47.50541553696108
2021-10-25,56.442955017089844,56.442955017089844,56.442955017089844,56.442955017089844,258505,7397,70.6105612831119
2021-10-26,59.22535705566406,59.22535705566406,59.22535705566406,59.22535705566406,336636,17079,63.559013150961036
2021-10-27,62.15681076049805,62.15681076049805,62.15681076049805,62.15681076049805,582392,13546,78.62135836480732
2021-10-28,65.2373275756836,65.2373275756836,59.07629983249414,65.2373275756836,5560931,6886,77.9843112047341
2021-10-29,68.4668960571289,68.4668960571289,62.05744000452333,66.08198094290233,2560826,16319,66.23674836977823
2021-11-01,71.84552764892578,71.84552764892578,71.84552764892578,71.84552764892578,351678,4686,73.11763039828962
2021-11-02,75.42290496826172,75.42290496826172,71.05056122287431,75.42290496826172,3095193,6567,69.70543185822301
2021-11-03,79.14932250976562,79.14932250976562,74.52855084131674,77.21157563902965,1405616,17755,65.17808639092601
2021-11-04,82.47826385498047,83.0744907521027,80.83863420181709,82.77638109425975,611890,6681,69.09870784471123
2021-11-08,78.3543472290039,85.40971509878601,78.3543472290039,82.37889195363199,111415,16613,54.75144506238968
2021-11-09,82.0807876586914,82.22984629817799,74.47887285924912,74.47887285924912,844157,16080,63.477544221671835
2021-11-10,80.09335327148438,85.11161240428548,78.10592511297888,80.24241189965964,570762,12329,46.1126489889215
2021-11-11,77.0128402709961,81.28581379602603,76.11849609349719,81.28581379602603,340654,15125,67.22346712745855
2021-11-12,79.54680633544922,80.49083157442676,73.18703541081227,77.36063105246743,834720,15729,74.35903427309208
2021-11-15,77.80781555175781,83.47198277920026,76.4166143224838,83.47198277920026,515952,11861,70.62392775846303
2021-11-16,75.47257995605469,78.40404098702932,74.82667188107747,77.50969681518221,386571,17991,67.16995426603594
2021-11-17,77.41032409667969,79.000265021068,74.62792179292288,75.96943421095563,264953,10900,56.23960586489402
2021-11-18,76.21786499023438,78.60278023865652,73.58452880948477,78.40404046021992,319475,3810,47.38746954495234
2021-11-22,78.70215606689453,79.99398746852634,74.03170268826351,78.20529900187263,433449,6535,71.90932315352337
2021-11-23,82.1801528930664,82.62732878614304,75.87006988543817,78.80153102415088,669464,10209,50.1255102493236
2021-11-24,86.25438690185547,86.25438690185547,81.98141323981172,82.47827028974997,337411,6570,46.66848204299106
2021-11-25,90.52734375,90.52734375,88.44054586936953,90.12985663429988,634955,7079,67.18579906705259
2021-11-26,86.35375213623047,94.25377577141822,86.00595373632697,93.50849023672366,681470,17216,63.204564699664445
2021-11-29,82.0807876586914,86.30407281599965,82.0807876586914,86.30407281599965,411649,4392,71.2050602675613
2021-11-30,80.09335327148438,83.32292402905583,78.10592511297888,79.99398337984645,149609,5394,78.3867724765086
2021-12-01,81.18643951416016,82.87575804502295,76.61535613797533,78.55310319560292,194520,17755,75.35592487433402
2021-12-02,80.39146423339844,83.42228738895193,79.09963299894208,80.83863250147539,114935,15751,51.730506076056976
2021-12-03,80.49083709716797,81.98140815452294,79.49712305893132,81.98140815452294,136022,16707,60.27985986606137
2021-12-06,82.72669219970703,83.4719777150197,78.75183611803942,80.490835653769,277481,11501,56.4026352002074
2021-12-07,86.8506088256836,86.8506088256836,83.47197956509484,83.67071934100856,140728,7285,76.5684075325288
2021-12-08,91.17325592041016,91.17325592041016,90.42797044967111,91.17325592041016,181144,8123,76.15489008975437
2021-12-09,88.78833770751953,94.40282290164109,87.44682542467807,94.40282290164109,371789,15493,45.72523504224743
2021-12-10,88.63928985595703,89.43426412520009,85.45940794185785,88.44055007936453,172145,9092,59.982929378251356
2021-12-13,88.04305267333984,92.9122524461639,87.44682583168367,91.32231167460223,190873,12071,50.41373065572403
2021-12-14,86.15499877929688,89.83174504331329,83.91914233089192,86.05562889787718,191633,16048,56.09082758950775
2021-12-15,87.54620361328125,88.4405477472372,86.45311970797344,86.45311970797344,111556,15944,64.54772921185258
2021-12-16,91.91854858398438,91.91854858398438,84.51538202790292,88.44054944837416,329718,6927,67.05256509494455
2021-12-17,90.77577209472656,94.40282969946699,88.29148710263532,93.30974581923407,272645,4455,51.33860420543141
