Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,548.2772216796875,549.8902569668884,531.8538446049921,545.1000779727677,1737537,14179,59.34272721544201
2021-08-12,539.6255493164062,552.6762520499609,538.7457011844558,548.4237919683042,1066784,3232,65.1790190714257
2021-08-13,540.9453735351562,544.4158399201319,535.2265384974287,541.5808261690877,1898186,10642,45.726290288663506
2021-08-16,526.1838989257812,540.4565827679174,492.21289941315536,535.2265390838184,3196518,5369,71.70707691029877
2021-08-17,517.9232788085938,529.5565362726201,511.86225441277264,528.1390294891514,1687108,16300,56.71894845595637
2021-08-18,513.2308959960938,518.2654705569148,509.320565359933,517.1412266322545,2265646,8317,67.46228613271181
2021-08-20,499.05596923828125,512.7421270626415,497.5895951856712,511.2757530100315,1591038,3684,55.931721126186424
2021-08-23,490.06219482421875,503.6994854016638,488.79134924955247,502.67303550162234,1343003,10335,64.6427252807373
2021-08-24,496.6608581542969,498.7137877056432,483.9034163830353,491.72407765791263,1716068,13024,68.69894383691687
2021-08-25,507.6098327636719,512.5954808219801,496.66089424973404,496.66089424973404,2806811,8012,53.11011965043821
2021-08-26,497.78509521484375,511.031328133119,495.14561013758924,509.5160869653888,1187899,12897,74.27465772268825
2021-08-27,499.64251708984375,501.98870957100144,495.0478665294239,499.15372574654185,1162494,5352,53.63844023102963
2021-08-30,508.1474304199219,511.52010236892266,493.728086874883,501.49988058338715,1986619,6613,46.10183844695607
2021-08-31,513.3775634765625,524.9618942596621,506.5833519806018,524.9618942596621,4309112,14844,57.86787539176021
2021-09-01,517.97216796875,521.9314256238312,511.37348476616484,517.1412465433376,1619926,12407,71.58096654592123
2021-09-02,518.2655029296875,521.8336440579171,513.4753237344142,521.0515898152171,1142560,5814,62.79874993793575
2021-09-03,528.2857055664062,533.5157490517753,517.6300304588457,518.9008760128977,2265705,16160,59.152788317460555
2021-09-06,534.2000732421875,537.5238185902695,527.4547288098983,533.3690921549828,1460001,13374,73.42395327979654
2021-09-07,541.38525390625,545.6866413874852,529.458733769106,535.7152865296465,1930617,3797,55.643613026967316
2021-09-08,534.3466796875,546.4687290282368,531.8049885355291,546.4687290282368,1941273,3176,65.24649840773007
2021-09-09,532.5381469726562,535.8130249734618,526.5259898266233,532.5870141716262,1421480,11243,77.43641259648987
2021-09-13,533.4180297851562,534.4444796976717,526.5260239434523,526.5260239434523,773914,5171,65.54295188146637
2021-09-14,537.6216430664062,538.5503586084382,532.0982766850449,534.2489706595093,1274163,10429,63.123080213192786
2021-09-15,536.0574340820312,542.3139870467666,533.0758188671618,537.6704693568663,866324,15060,60.81268813960644
2021-09-16,532.4892578125,541.580764121593,531.5116752057824,537.6704336947223,1160127,14237,53.51815959013312
2021-09-17,534.8355102539062,548.3750674351045,529.3610706019823,536.6929413859432,3038827,6065,66.98675628335857
2021-09-20,533.1736450195312,537.4261060299464,523.1534220330702,532.5870595811506,1363420,7611,54.55890835865014
2021-09-21,521.1981811523438,535.3731286917622,508.3429462412122,533.17356786668,2119176,17461,73.78239426268772
2021-09-22,527.9923706054688,528.87221886591,519.0963922694976,523.1044573072626,789554,7506,48.06135160296069
2021-09-23,527.601318359375,532.684759593136,525.3528904098954,530.8273288666201,1058373,12713,67.86574108964267
2021-09-24,525.1574096679688,531.3650356068911,521.1004178179612,529.5565315775101,1374432,3586,59.2498318143781
2021-09-27,542.7538452148438,544.5134818763956,525.9394133743283,527.4057872034389,2327317,13698,68.8111164190976
2021-09-28,543.1448974609375,549.3525830998719,531.8538297662868,547.4951521947303,1555165,16477,56.450914813691895
2021-09-29,538.4036254882812,544.8556468838381,530.8762274155266,537.8659669831361,966528,12746,52.85246136499691
2021-09-30,537.1327514648438,546.2242573722903,535.9107732604315,537.6704099414043,1339499,6636,52.71721557764605
2021-10-01,551.3078002929688,556.9777682735596,532.7337281609852,538.5503574199105,3518568,12806,48.48408509086437
2021-10-04,547.9351196289062,562.1100692000376,545.1978999209673,561.1324864709941,2842764,5608,67.89803734377153
2021-10-05,549.4014282226562,556.244506510127,541.9228973703002,546.4686803851688,1910687,7925,65.40720154234721
2021-10-06,531.804931640625,553.3117487290326,527.9434684572796,552.8229574315689,2025110,4194,45.74153791530239
2021-10-07,545.2467651367188,550.57460292397,532.0005311398415,535.5198050848054,2873448,6448,68.70585069957386
2021-10-08,547.201904296875,556.0001484034794,542.6072537744881,555.2669613945958,1781059,4200,70.3491799606644
2021-10-11,546.517578125,554.191637862108,543.927019857255,548.4238762592835,1680108,15525,46.41283822244595
2021-10-12,560.9857788085938,566.9979359618496,546.0287762243613,546.4687003494379,4445077,3096,54.472512753822606
2021-10-13,564.2607421875,573.4499836991833,561.1324656373241,566.0692463023188,1587573,9440,70.51627971161709
2021-10-14,570.7127685546875,575.502947653367,558.2485891247065,566.0692507278319,2413386,12463,51.838997233943104
2021-10-18,572.7657470703125,577.6536607347906,561.034754275565,570.7127875310828,2022170,13356,61.292514657717064
2021-10-19,570.1751098632812,585.3765089172524,564.2607464607481,578.7289584896057,2398150,3610,49.26899228205857
2021-10-20,566.3136596679688,577.555860985793,558.0530737227933,567.975562230943,1094973,17011,73.83466156325238
2021-10-21,564.1140747070312,575.0630126786644,553.3117980044608,569.8329691968004,1429062,13189,76.68178110228304
2021-10-22,605.90576171875,618.6632043612954,585.5231857458143,600.2357938406092,18455677,17862,74.40740034222101
2021-10-25,586.0609130859375,606.101361323238,578.777908988266,605.1237784823942,2875675,3462,75.58617414059853
2021-10-26,611.8690185546875,615.2416310411191,586.5496034714073,590.264405693344,2525727,6736,65.25788329932055
2021-10-27,611.820068359375,614.7039490665318,606.7855535883538,613.7263664313538,1380261,15482,68.27215479888879
2021-10-28,637.3350219726562,641.783011106348,608.3496724710054,610.7936291012658,7408494,12857,56.60309757605817
2021-10-29,647.6973876953125,666.4181197394063,623.9421406882717,638.3614851068412,6069828,7191,58.00026803588494
2021-11-01,656.2512817382812,663.4854178844608,640.4144294094252,647.697432759245,3395775,5947,78.61937948264566
2021-11-02,682.3526611328125,690.9553761592716,661.8234263422837,661.872293539356,6921074,17622,68.58715136774227
2021-11-03,690.7110595703125,698.9716454959198,680.348706594761,684.3079046813201,3662182,3052,67.55783408242002
2021-11-04,692.8616943359375,697.8962687858829,689.1957594452712,696.0388379078483,273871,6618,58.256824565785784
2021-11-08,696.2832641601562,703.3707385935169,689.782315468309,693.1061204486497,1531643,5851,72.85020786972441
2021-11-09,715.0528564453125,795.7034267812675,710.409338759303,738.0749164078302,25844281,4623,70.22686161523873
2021-11-10,736.6085205078125,739.8833984906854,705.4725372369866,715.0528351920938,3682913,12888,66.59428808531837
2021-11-11,730.3031616210938,748.6328376858102,726.3928307272876,734.1646253121102,3344306,15109,70.1087272015074
2021-11-12,712.7066040039062,735.1421372811749,702.6863820529328,735.1421372811749,4094224,13279,61.318870941312156
2021-11-15,719.6475219726562,727.3215222315874,714.4662859759175,716.0793212831154,2138789,13146,53.58694382487532
2021-11-16,721.5537719726562,733.9202170795905,716.9591809845431,723.4112029822138,2419607,17647,69.6761679338669
2021-11-17,723.1178588867188,732.4537607540733,719.7451869939092,721.4559565385467,1754996,7553,46.733493270256155
2021-11-18,707.6232299804688,725.366380264762,703.3707690033642,724.3887975420332,1834193,8882,54.80651428061455
2021-11-22,693.93701171875,714.8573040387502,689.1957597912053,707.6231686507739,1714646,14722,48.975786949097746
2021-11-23,696.7720336914062,703.8595079029287,680.5441855704082,680.5441855704082,1642526,16041,74.14128636753391
2021-11-24,686.4097290039062,717.2524518096487,684.6011651762656,717.2524518096487,2966210,4543,52.70655704729888
2021-11-25,685.774169921875,697.016369428791,683.6723435386028,686.2629612047845,2020161,14256,71.9345812624558
2021-11-26,661.6279907226562,684.2101879609771,659.8683537128052,684.1123938862037,1323904,3233,60.34792556280044
2021-11-29,668.9597778320312,678.9799997304609,639.3390362510303,659.1839515896608,1687675,5310,63.937556934561414
2021-11-30,671.1105346679688,679.1755920765787,659.0374119897242,669.644160593676,6521283,15661,51.57972546876562
2021-12-01,662.99658203125,682.352707060324,660.3570968757147,674.3365171929952,1802639,10595,64.92645643764655
2021-12-02,665.0006103515625,667.6889626903597,654.2472009963737,660.8458840097851,1032008,9169,64.84144969906596
2021-12-03,657.228759765625,670.3283902674709,654.6870689121472,662.8009924318402,784522,8450,45.942931463198654
2021-12-06,646.3287963867188,658.4996527110798,643.7870456829171,656.4467530018144,1068384,16717,48.943082948477894
2021-12-07,651.314453125,661.823466815197,648.3817051184334,648.3817051184334,644440,10578,62.93442418261755
2021-12-08,667.2490234375,669.2041887305068,648.8216144176752,659.3306278675865,879154,6042,45.31092915381241
2021-12-09,669.3019409179688,670.5727863455261,658.8906625173638,669.6440709560745,871861,14990,56.638363333555255
2021-12-10,666.955810546875,675.5096593446546,663.3387425504311,669.6441630261771,1066005,4421,78.85462329172132
2021-12-13,660.1615600585938,676.3894680563809,658.010866267693,668.6665411557997,780239,12579,62.36347936544522
2021-12-14,645.3511352539062,661.4812471040734,643.0537804932861,661.4812471040734,1294853,14153,72.71043078777495
2021-12-15,658.6951293945312,692.9105196386347,648.0395150900822,648.1372494811603,14240307,16273,51.602198254050755
2021-12-16,622.3292236328125,663.2899692561515,618.8588164197573,663.2899692561515,6951407,16858,55.20131356025718
2021-12-17,601.7509765625,620.8138378664878,596.3254048939775,619.7873880373471,3261223,5868,59.11039319310535
2021-12-20,593.4904174804688,600.2357617973995,576.7737776229083,591.4375177319653,2559927,14573,65.94311789477628
2021-12-21,600.9200439453125,605.4169000968591,593.4903802888305,594.8590198133398,1412370,4972,70.41133878450307
2021-12-22,603.4129028320312,610.6959056541921,599.7958350210006,605.221406904091,1160140,7979,55.13847867352746
2021-12-23,606.4434204101562,609.3761685891371,602.7774851864302,609.0340385016884,504198,6208,46.73251186727231
2021-12-24,596.814208984375,608.8384636693514,592.4150870508292,608.5940680063767,1040322,5983,66.37469678935439
2021-12-27,592.0729370117188,594.174703842238,586.5495713480943,594.174703842238,868742,7788,53.813054975674
2021-12-28,596.9119873046875,600.9201122725449,593.0505832790849,594.3702960894916,713046,7647,48.298533056360704
2021-12-29,609.2783813476562,610.6470209125936,589.3356715932196,596.3254113470844,1165031,13464,66.18558121699729
2021-12-30,601.897705078125,611.9667953688622,599.0138240611346,610.9892126286563,756389,8547,62.00038448754522
2021-12-31,612.9442749023438,616.3658139169502,601.8976037314242,601.8976037314242,728420,8866,78.03998404766385
2022-01-03,615.1439208984375,618.7609888625301,602.4842128575701,610.9891943766761,1188070,16229,61.97508280741276
2022-01-04,616.3170166015625,621.3026644356586,612.4555530567291,616.854675145724,574936,3773,78.29545353288958
2022-01-05,624.382080078125,629.7587849079293,615.2905729356564,618.6143183030242,1056096,14594,47.8304307511297
2022-01-06,634.3534545898438,635.4287717213757,615.8771172068718,620.7650308354978,1042775,6775,59.85929301543755
2022-01-07,626.6793212890625,639.3390280438006,622.9645192980305,636.2596189502211,715951,16220,77.47464377229711
2022-01-10,635.2332153320312,638.3614918502849,628.0968736811761,630.5408303881068,771849,10115,64.92946820115527
2022-01-11,628.2922973632812,638.1658569457845,626.7770563910815,632.4958902647361,389969,6428,45.77008942171939
2022-01-12,640.1211547851562,643.3960927058105,628.0968992313094,630.5408560376569,810304,6952,69.92058145359552
2022-01-13,645.6444091796875,648.1860999511883,628.5855816933533,642.7116615201539,1892618,6995,74.19414037692161
2022-01-14,643.9825439453125,649.2615139028605,638.0681810917959,644.1780724005748,697133,6548,69.36822520671052
