Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-13,191.9646453857422,198.85171054962947,185.02909164556985,193.95316545146903,34425,10143,59.59567440340781
2021-08-16,193.85617065429688,198.85170763290645,184.93208217814202,194.0016659833234,22733,6879,77.66203827618578
2021-08-17,199.67620849609375,203.507738206127,198.85169554532325,198.85169554532325,45416,13609,49.85869222455074
2021-08-18,193.46815490722656,203.3137481567055,190.70364009815978,203.3137481567055,13635,9140,64.87543389250409
2021-08-20,184.10757446289062,191.8676407011482,183.81656901872563,189.63661869741878,27453,4155,78.88291178889341
2021-08-23,175.42601013183594,192.74064971768058,174.94100597310944,192.74064971768058,22294,11021,62.67786960886357
2021-08-24,184.15609741210938,184.15609741210938,166.69594652009113,168.7814586228431,37371,10873,74.89893004448496
2021-08-25,192.93466186523438,193.3226740999449,189.20013846349838,193.3226740999449,48557,11163,67.51099439706263
2021-08-26,192.0616455078125,198.1727008251097,191.57664135248973,197.8816953716856,16445,9571,58.29918063415713
2021-08-27,190.8976287841797,194.00165226011117,185.85358878564708,192.15864248410068,11813,4188,70.0367558234428
2021-08-30,190.99462890625,196.91168547395785,181.92506015550526,196.91168547395785,11914,12969,55.70662522390148
2021-08-31,189.58811950683594,194.87466178807657,189.10311535624226,194.87466178807657,8981,6619,74.36259453172985
2021-09-01,187.21160888671875,193.90466048604196,186.24160055051814,193.90466048604196,9207,5790,60.29104981280779
2021-09-02,186.4355926513672,190.99462870973463,184.30157734757307,184.30157734757307,7048,16154,48.51352029739654
2021-09-03,185.8050994873047,188.66662111467463,179.5485486882054,183.42858202732464,9431,6747,59.824740486084515
2021-09-06,184.10757446289062,188.6666104176366,181.39154831927016,181.39154831927016,8328,10514,76.84535162424716
2021-09-07,182.65257263183594,188.08461043282782,180.42155049877115,187.21160885087545,10685,5400,65.77935000748789
2021-09-08,183.57408142089844,188.08461435701417,182.45857773166853,188.08461435701417,7685,5997,74.64321504878751
2021-09-09,182.31304931640625,186.29008909871416,179.4515279126244,183.57406301331986,21363,4503,47.39805636123774
2021-09-13,180.3245391845703,186.14458905347934,178.5785360648194,186.14458905347934,18229,7609,74.82478767332412
2021-09-14,186.33860778808594,189.10312267273915,177.12352857027003,180.32454424711557,32680,11078,68.15021732777716
2021-09-15,185.85360717773438,190.1216380293609,183.38008290640752,188.18162131477558,12769,16586,59.627577703547615
2021-09-16,186.33860778808594,189.05461929557273,185.27159269503568,186.24160103375314,8512,10056,49.08605390654785
2021-09-17,181.29454040527344,189.05460659364087,179.35452385818158,184.30157197372648,17970,16908,59.23925029013377
2021-09-20,177.65701293945312,185.27158395983375,176.05650517649124,185.27158395983375,13722,5101,66.6264397883608
2021-09-21,178.2875213623047,186.24158614362506,172.66147048731906,183.0405559215512,14626,7561,69.15283212270269
2021-09-22,176.9295196533203,181.3915640476817,175.57151386433364,181.3915640476817,8319,4128,50.655059120919404
2021-09-23,176.4445037841797,179.45153543352663,174.35899186041303,179.45153543352663,18764,3292,53.98533353914317
2021-09-24,182.31304931640625,184.30156920756022,175.57149487667579,182.3615526895859,50141,11613,75.52793583734089
2021-09-27,177.89952087402344,184.30158173910598,175.66851356757726,184.30158173910598,15840,15220,72.40787455249401
2021-09-28,176.63851928710938,182.36156239939547,174.79549461621139,180.4215457781253,19861,14906,57.29820172064475
2021-09-29,178.09353637695312,179.45154212663965,175.57150878336094,175.57150878336094,11651,8624,78.35947096491246
2021-09-30,178.14202880859375,180.4215543675699,175.71700791655653,179.451546010755,9198,14052,59.87595043019803
2021-10-01,178.7725372314453,180.42154842347236,175.86251225687317,179.451540098615,18941,4577,72.97389710801616
2021-10-04,187.6966094970703,187.6966094970703,180.42154711346294,180.6640491929165,54864,13728,75.06493572503841
2021-10-05,193.0316619873047,196.42669121823718,189.1516285805247,190.99463852828407,48068,3767,78.32503225575608
2021-10-06,185.22308349609375,196.81467981919965,184.495577264922,195.94167826225444,17892,6975,63.65031714889581
2021-10-07,185.0775909423828,190.9946328305128,181.44005973204176,188.86061748067655,10815,4278,66.69037713292404
2021-10-08,184.10757446289062,189.1516145575277,179.54853850814467,184.7865772985078,19234,15715,63.01959838608851
2021-10-11,184.0105743408203,188.13310967835045,181.34305147535963,182.16756446332658,28017,14118,77.51304478705245
2021-10-12,185.22308349609375,190.07312503723864,181.4400570144616,181.4400570144616,43589,3221,74.11348247917596
2021-10-13,185.27159118652344,188.2301195557534,181.39155786324545,186.14459276379998,50971,3333,65.6530706741517
2021-10-14,184.8350830078125,187.2116003630719,183.33156719492533,183.33156719492533,30855,11069,46.37748188338906
2021-10-18,188.90911865234375,193.03165397595072,181.87655839442593,181.87655839442593,72057,12602,68.08384094517004
2021-10-19,184.4470672607422,190.84912778544128,181.44005049398785,189.15161330704473,46709,8370,60.95825007198586
2021-10-20,181.8765411376953,187.50259177045152,178.43300899859145,183.38005683799707,39409,10735,76.5331567071847
2021-10-21,179.83953857421875,187.16310443053789,178.5300362085898,185.17458439256146,20471,3676,60.72597114514535
