Date,Open,High,Low,Close,Volume,No_of_Trades,Delivery_Pct
2021-08-11,977.5516967773438,980.3363029440676,933.7792789036597,973.6434441165648,3056763,15966,62.87807417083771
2021-08-12,963.5308227539062,985.5147430249057,959.4759869387307,982.0461212295432,988482,11599,58.904718449785
2021-08-13,963.2376098632812,976.4279613926057,956.7890174141351,963.3841931787972,681794,7246,66.2845442750052
2021-08-16,965.33837890625,968.3184095456714,945.7971161753543,952.7342405907418,1180167,5509,68.60880012968408
2021-08-17,966.6574096679688,973.5945938576479,956.2517228362536,967.2925245735374,760961,4616,70.71676273936038
2021-08-18,965.924560546875,974.3273390205377,960.9904037998051,966.7062587380616,530954,7768,47.57706253191063
2021-08-20,955.2745971679688,967.097036729472,946.7741363388158,962.4071458139665,752256,16755,54.02520069760611
2021-08-23,950.5358276367188,961.4789464524846,938.615705341088,959.1828719861622,886416,3499,54.664404388648215
2021-08-24,951.3175048828125,957.4729904450975,940.9606003101311,952.636516205017,1074080,6875,54.39895574168655
2021-08-25,938.176025390625,954.7372573012183,933.0952852090435,946.7253277420168,1684223,11551,60.11690595101654
2021-08-26,935.4402465820312,951.4152045971827,933.0952712609082,942.8659023735879,1303680,11341,77.74385195965456
2021-08-27,962.7491455078125,967.7322033255151,935.0494292173662,935.440278329218,3120205,8877,66.72189234568873
2021-08-30,963.7261962890625,975.0601644001475,958.6943569409316,958.6943569409316,821765,3146,46.28753582105675
2021-08-31,973.0082397460938,978.8706181982714,964.4589378366682,965.8756912229838,1194523,10967,63.425930836287094
2021-09-01,1021.8126220703125,1024.9391762343657,980.97133740639,985.8566528317206,4136191,13772,78.1633793444282
2021-09-02,1060.4554443359375,1072.8153167850367,1022.252299805414,1025.9162865430678,3411153,3117,49.70310173086985
2021-09-03,1063.972900390625,1071.838306684761,1057.1334581419528,1061.0906117225618,1442027,5212,61.15563589724936
2021-09-06,1097.4371337890625,1111.5557659572735,1064.6078402479243,1064.6078402479243,3228416,8253,73.83223290408861
2021-09-07,1160.0181884765625,1180.5854148475414,1100.1730724149163,1100.9058697544467,8872964,17576,65.13054848458583
2021-09-08,1178.9244384765625,1189.9653003935252,1150.980454687137,1167.2485808931212,4224233,16056,46.96979729967984
2021-09-09,1185.2752685546875,1191.0399649215135,1168.567512753183,1173.5505109016456,2068928,8532,45.440690818641336
2021-09-13,1185.2264404296875,1192.016981262326,1172.915349960988,1178.58236364564,1098804,14085,74.88941786927313
2021-09-14,1199.5892333984375,1205.695877836426,1185.4218183023045,1190.6979829508064,2076578,11748,74.06732973973308
2021-09-15,1213.6590576171875,1219.5214367200163,1199.8824905796218,1200.3221213041707,1946221,9896,47.036599241801774
2021-09-16,1219.374755859375,1223.8204406982718,1205.1584399639128,1219.9609698686893,1276950,16487,69.5722647453742
2021-09-17,1225.3836669921875,1230.1223990040098,1206.33093722207,1228.5102210924597,1342750,8314,76.38060068743616
2021-09-20,1193.0919189453125,1223.2342965615112,1188.6463526894174,1221.3290709190442,1405843,8579,71.11370735549552
2021-09-21,1196.8046875,1207.6011638463922,1183.8586006412293,1200.8106225984443,836075,16701,57.824179983180635
2021-09-22,1210.1903076171875,1216.4435351862803,1196.9022735768622,1196.9022735768622,861920,12073,60.57794292719713
2021-09-23,1219.9609375,1235.984795861693,1212.5841828102564,1216.443534267042,625566,5021,59.932416673022914
2021-09-24,1200.566162109375,1227.9728269871473,1195.1923156055284,1220.5959536237126,1267241,14428,55.63566008833781
2021-09-27,1190.2581787109375,1211.558201247478,1176.921363282875,1211.558201247478,739560,15584,64.516786811623
2021-09-28,1181.2203369140625,1195.3389696722047,1162.2654089946961,1192.0169314190894,664613,17458,45.71481182233459
2021-09-29,1177.556396484375,1195.680964637084,1170.0330583476266,1179.3151577666683,696580,10821,53.61157253447793
2021-09-30,1190.1119384765625,1214.2942538958948,1179.0221751810611,1179.1199769223206,1757392,10252,75.41949471311143
2021-10-01,1187.3758544921875,1192.6031178806795,1172.4267423333172,1189.8185120821736,765614,13017,56.92825043429522
2021-10-04,1199.1005859375,1204.7186982773987,1178.973111669506,1187.3758297498855,526778,14331,75.60684674413571
2021-10-05,1221.5732421875,1227.679887069461,1187.1317650532394,1196.9023968643771,1207112,11168,72.49916082131472
2021-10-06,1201.68994140625,1240.3816166619076,1195.5343961124504,1227.972962887904,1637172,7080,77.15733142433193
2021-10-07,1253.5718994140625,1261.3884038531214,1201.0058593532347,1202.76462056018,2199106,3788,45.63436721414822
2021-10-08,1252.0086669921875,1267.6416764273442,1237.1084548743038,1263.8311065234454,1849583,4290,57.71549792554541
2021-10-11,1273.7484130859375,1288.8928920742349,1245.5112638923858,1252.594971806267,987429,12053,70.97281576327674
2021-10-12,1268.5699462890625,1284.202957050637,1263.3426821697424,1270.1821243779314,556746,12322,71.52971532527246
2021-10-13,1280.83203125,1294.4620136762321,1270.865916148637,1270.865916148637,546360,11677,66.78206728755995
2021-10-14,1294.5111083984375,1299.8849562095886,1279.9528422923272,1293.485144289961,698768,17848,49.25626787503718
2021-10-18,1307.0172119140625,1316.1039461098378,1287.4271690594446,1305.1608875103263,1040171,4918,52.29406063761089
2021-10-19,1275.5557861328125,1325.7768497473091,1262.8539667381542,1316.1039018926836,761312,15222,59.5766617910317
2021-10-20,1218.98388671875,1272.0384601916608,1215.0268527681474,1270.1820164673597,1278748,12966,72.4409042523709
2021-10-21,1164.7081298828125,1211.3628934613869,1134.5656374738435,1205.8912446201457,3270210,17947,70.95059267068731
2021-10-22,1150.05224609375,1172.4757980227732,1126.3095634756264,1157.9664338763225,1383292,10291,72.13629838518021
2021-10-25,1161.7769775390625,1170.4239624979027,1120.153992243596,1151.0780645642237,1198644,10396,47.5799606186327
2021-10-26,1165.8316650390625,1175.113764662846,1146.876735960498,1171.498678833322,693503,4809,61.11148326386851
2021-10-27,1153.667236328125,1175.064941719859,1150.0032497634581,1167.883551907191,477583,9655,65.68379851206366
2021-10-28,1128.8011474609375,1162.2655616101044,1124.599728049375,1150.9804340939736,536155,5698,49.25185882058048
2021-10-29,1176.92138671875,1194.801569611615,1116.9784710390154,1128.8010297835694,2516853,3763,59.41968262293328
2021-11-01,1216.83447265625,1220.3518761473497,1172.6711466489633,1173.4528448782762,1590433,15787,56.60295221508888
2021-11-02,1193.0919189453125,1225.383907288579,1183.22360390637,1220.8405392906766,542396,13238,77.28169065871192
2021-11-03,1182.63720703125,1195.5343923187438,1170.5216006661021,1193.189417010909,461077,17349,69.30531643201923
2021-11-04,1192.0657958984375,1198.8563362398884,1184.2003908090828,1184.7866047722373,50958,10665,59.12259880574122
2021-11-08,1211.46044921875,1215.4663837032444,1189.867380564916,1195.9251235150894,790144,12871,49.86910820605202
2021-11-09,1223.3319091796875,1240.5769775786894,1213.5612781228485,1214.2940754521114,1989568,6602,56.30295584607014
2021-11-10,1218.98388671875,1231.0994928837488,1209.2132558228473,1222.892139077111,312238,15493,78.8764467614865
2021-11-11,1220.254150390625,1236.961905833346,1207.1614807718001,1222.305959081766,579476,9297,49.37713136057508
2021-11-12,1235.3497314453125,1245.657795065529,1224.7975213155896,1226.7027466907007,569624,14430,70.57019437375455
2021-11-15,1237.9388427734375,1252.594788031213,1235.300820335193,1246.7324099281027,591556,8564,52.106878180761505
2021-11-16,1203.3997802734375,1241.8471890626429,1200.8105392273708,1241.8471890626429,1089946,17351,52.644497628567514
2021-11-17,1207.112548828125,1214.6847877881446,1192.9940348624407,1203.3997806422244,751036,5652,51.07124820321471
2021-11-18,1206.8682861328125,1232.9559423077078,1196.90229028108,1204.718795033936,1489052,8891,70.90052317955886
2021-11-22,1158.2105712890625,1212.8772016043467,1146.0949655316654,1205.7934944431322,758527,16922,57.220027130533644
2021-11-23,1178.63134765625,1185.372988101354,1144.043287643533,1154.8886649578376,479994,12892,63.868848855675715
2021-11-24,1172.0848388671875,1188.450645344831,1157.331210314555,1179.7059785470242,227763,6108,65.56825670885881
2021-11-25,1173.7947998046875,1178.2404848771873,1157.8198410418618,1165.1478147193418,281801,10290,60.89745029868229
2021-11-26,1137.5947265625,1170.130859419948,1132.367343048714,1162.7052029860517,1002955,14728,49.533799292219854
2021-11-29,1150.0032958984375,1162.705116498845,1105.302658016234,1132.4161596824886,745724,11448,78.03181547222562
2021-11-30,1173.4527587890625,1213.7077099669239,1142.2844226907112,1150.0032448748764,1468977,16037,54.50674120167041
2021-12-01,1194.6063232421875,1198.2214093071696,1170.5216919535035,1174.4299446812279,699953,16104,74.58556556292783
